"NEH.5.1", "Nna ɔman no na hɔn yernom mu nkekamu kɛse soɛree tsiaa hɔn nuanom Judafo no.", ""
"NEH.5.2", "Na binom wɔ hɔ a wɔsee dɛ, Hɛn, hɛn mbabanyin na hɛn mbabaa, yɛdɔɔ so: wɔmma yɛnhwehwɛ eburow, na yendzi na yeenya nkwa.", ""
"NEH.5.3", "Binom so wɔ hɔ a wɔsee dɛ, Yɛdze hɛn haban, na wenyin nture, na hɛn adan risisi nhoba: wɔmma yɛnhwehwɛ eburow osian ɔkɔm no ntsi.", ""
"NEH.5.4", "Binom so wɔ hɔ a wɔsee dɛ, Yɛafemfɛm sika dze eyi ɔhen no tow, wɔ hɛn nhaban na hɛn wenyin nture no do.", ""
"NEH.5.5", "Naaso afei hɛn honam tse dɛ hɛn nuanom honam, hɛn mba tse dɛ hɔn mba: na, hwɛ, yɛdze hɛn mbabanyin na hɛn mbabaa reba ɔsom mu dɛ wɔnyɛ asomfo, na hɛn mbabaa mu binom wɔ hɔ a wɔahɛn nkowaasom mu dada: nkyii so ahoɔdzen bi nnyi hɛn afamu a yɛdze bɛyɛ hwee: osiandɛ hɛn nhaban na hɛn wenyin nture wowɔ binom nsamu.", ""
"NEH.5.6", "Na aber a metsee hɔn nkekamu na nsɛm yi no, mo bo fuuw dodow.", ""
"NEH.5.7", "Nna mara mutuu me tsir mu egyina, na menye ekunyin na mpanyimfo no hamee, na mesee hɔn dɛ, Hom sii akaperɛ gyegyee nsiho, obiara wɔ no nua hɔ. Na mobɔɔ hɔn do ngua kɛse.", ""
"NEH.5.8", "Na mesee hɔn dɛ, Hɛn dze, dɛ mbrɛ hɛn tum tse no na yɛdze apon hɛn nuanom Judafo a wɔtɔɔn hɔn maa amanamamfo no; na hom so hom pɛ dɛ wɔtontɔn hom nuanom, na wɔntontɔn hɔn ma hɛn anaa? Nna wɔyɛɛ komm, na woennya asɛm biara ammfa emmbua.", ""
"NEH.5.9", "Eso mesee dɛ, Adze a hom reyɛ yi onnye: ana ɔnnsɛ dɛ hom nantsew hom Nyankopɔn no suro mu, osian hɛn atamfo amanamamfo enyimtsiabu no ntsi bi a?", ""
"NEH.5.10", "Na emi so dɛmara, mo nuanom na mo nkowaa, yɛfemfɛm hɔn sika na eburow gye nsiho, meserɛ hom, wɔmma yengyaa nsiho yi ekyir dzi.", ""
"NEH.5.11", "Meserɛ hom, ndɛ da yi ara, hom ndan hɔn nhaban, hɔn wenyin nture, hɔn  olive   ndua, na hɔn efi mma hɔn, na sika, na eburow, nsa, na ngo mu ɔha mu ebupɛn no a hom si akaperɛ gyegye no wɔ hɔn hɔ no.", ""
"NEH.5.12", "Nna wɔsee dɛ, Yɛbɛdan ama, na yɛnnkɔhwehwɛ hɔn hɔ hwee; dɛmara na yɛbɛyɛ, dɛ mbrɛ ereka no ara. Nna mefrɛɛ asɔfo no, na memaa wɔkekaa ntam, dɛ wɔbɛyɛ dɛ mbrɛ anohoba yi tse.", ""
"NEH.5.13", "Eso mopopoo m’akoko mu, na mesee dɛ, Dɛmara na Nyankopɔn mpopo nyimpa biara a ɔmma anohoba yi nntsim no mfi ne fi, na n’edwuma mu; mekyerɛ mbrɛ wobesi apopo no, na wɔato no pan nye yi. Na mboanofo no nyinara see dɛ, Amen, na woyii EWURADZE ayɛw. Na ɔman no yɛɛ dɛ mbrɛ anohoba yi tse.", ""
"NEH.5.14", "Nkyii so ofi ber a wɔdze me sii hɔn ambrado wɔ Juda asaase do no, ofi ɔhen Artasɛkeses n’afe a otsia eduonu do araa dze kodu afe a otsia eduasa ebien do no, ɔnye dɛ, mfe duebien, emi na mo nuanom yenndzii ambrado edziban.", ""
"NEH.5.15", "Na kan no ambradofo a wodzii m’enyim no wɔyɛɛ adzesoa dze maa ɔman no, na wɔgyee hɔn hɔ edziban na nsa, ɔsor dwetɛ dwetɛbona eduanan so; nyew, hɔn nkowaa mpo so hoom ɔman no do: naaso emi dze, osian Nyankopɔn no suro ntsi, mannyɛ dɛm.", ""
"NEH.5.16", "Nyew, fasu yi ho edwuma no so mowɔɔw do ara suoo mu, nkyii so yɛanntɔ asaase biara: na mo nkowaa nyinara ano boae wɔ edwuma no ho hɔ.", ""
"NEH.5.17", "Nkyii so Judafo na mpanyimfo no mu nyimpa ɔha eduonum ka hɔn a wofifi amanamamfo a wɔabɔ hɛn ho aprɔw no mu ba hɛn nkyɛn no ho, nna wodzidzi mo pon do.", ""
"NEH.5.18", "Afei dza wosiesiei dze maa da kor nye ɔnantwi kor na nguan a wɔasan mu eyiyi esia; eso ntumbowa na wosiesiei maa me, na dadu biara mu nsa ahorow nyinara pii: naaso iyi nyinara mu memmbisa ambrado edziban, osiandɛ nkowaasom no yɛɛ durdur wɔ ɔman yi do.", ""
"NEH.5.19", "Ao, me Nyankopɔn, mesrɛ wo, kaa dza osian ɔman yi ntsi mayɛ no nyinara fa ma me wɔ me yieyɛ ntsi.", ""
