"JER.7.1", "Asɛm a ofi EWURADZE nkyɛn baa Jeremia hɔ, dɛ,", ""
"JER.7.2", "Gyina EWURADZE fie ɔponkɛse no mu, na bɔ asɛm yi dawur wɔ hɔ, na se dɛ, Hom Judafo nyinara a hom hɛn ɔponkɛse yi mu dɛ wɔrobɔsɔr EWURADZE, hom ntsie EWURADZE n’asɛm.", ""
"JER.7.3", "Mbrɛ dɔm EWURADZE, Israel Nyankopɔn no ɔse nye yi, Hom nsakyer hom akwan nye hom ndzeyɛɛ, na mebɛma hom atsena bea yi do ha.", ""
"JER.7.4", "Mma hom nntwer atorsɛm, dɛ, EWURADZE n’asɔrdan, EWURADZE n’asɔrdan, EWURADZE n’asɔrdan nye yinom.", ""
"JER.7.5", "Na sɛ hom sakyer hom akwan nye hom ndzeyɛɛ koraa; sɛ hom bu nyimpa nye ne nyɛnko ntamu atsɛn nokwarmu;", ""
"JER.7.6", "sɛ hom anntseetsee hɔho, egyanka, nye kunafo, na hom annka onndzi fɔ bɔgyaa enngu wɔ bea yi do, eso hom ennkedzi abosom afofor bi ekyir annyɛ homankasa homho bɔn a,", ""
"JER.7.7", "ɔno na mebɛma hom atsena bea yi do, asaase a medze maa hom egyanom, ofir tsetse kesi daa no.", ""
"JER.7.8", "Hom nhwɛ, hom twer atorsɛm a ɔnnyɛ mfaso bi no.", ""
"JER.7.9", "Aso hom bowia adze, edzi ewu, ato awar, na hom aka ntanhun, na hom ahyew eduhuam ama Baal na hom edzi abosom a hom nnyim hɔn no ekyir,", ""
"JER.7.10", "na hom aba ebegyina m’enyim wɔ ofi yi a wɔdze me dzin ato no yi mu na hom ase dɛ, Wɔagye hɛn nkwa: ama hom aayɛ ekyiwadze yinom nyinara?", ""
"JER.7.11", "Aso ofi a wɔdze me dzin ato no yi adan edwotwafo tu wɔ hom enyiwa mu? Hwɛ, emi mara mehu, EWURADZE na ɔse.", ""
"JER.7.12", "Na afei hom nkɔ me bea a ɔwɔ Siloh a memaa wɔkyerɛɛw me dzin wɔ hɔ asɔpɔn no, na hom nkɔhwɛ dza medze yɛɛ no wɔ me man Israel emumuyɛ ntsi.", ""
"JER.7.13", "Na afei osiandɛ hom ayɛ dɛm ndzeyɛɛ yinom nyina ntsi, EWURADZE na ɔse, na mekasaa kyerɛɛ hom, mosoɛɛr ahema mekasae, naaso hom enntsie; na mefrɛɛ hom, naaso hom anngye do:", ""
"JER.7.14", "dɛm ntsi na mebɛyɛ ofi a wɔdze me dzin ato no a hom dze hom werɛ twer no, ɔnye bea a medze maa hom nye hom egyanom no, dɛ mbrɛ mayɛ Siloh.", ""
"JER.7.15", "Na mobɔtow hom efi m’enyim akyen, dɛ mbrɛ matow hom nuanom, mekyerɛ Efraim asefo nyinara, akyen no.", ""
"JER.7.16", "Dɛm ntsi mma nnsɔr mma ɔman yi, eso mma mmpegya osu anaa mpaabɔ wɔ hɔn ntsi, eso mma nndzi nkotoserɛ nnkyerɛ me: osiandɛ mirinntsie wo.", ""
"JER.7.17", "Ana innhu dza wɔreyɛ no Juda nkurow nye Jerusalɛm abrɔn mu?", ""
"JER.7.18", "Mbofra tase nyena, na egyanom kua gya, na mbaa fetsew mbɔr, dɛ wɔreyɛ tatar ama ɔsor hembaa, na woehue ɔnom afɔr ama abosom afofor bi, ama wɔdze eeyi me ebufuw.", ""
"JER.7.19", "Aso emi na woyi me ebufuw? EWURADZE na ɔse; aso wonnyi hɔnankasa hɔnho ebufuw, dze gu hɔnankasa hɔn enyim ase?", ""
"JER.7.20", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye yi: Hwɛ, m’ebufuw na m’ebufuhyew bohue egu bea yi do, nyimpa, abowa, na haban mu ndua, na daadze eduaba do; na ɔbɛdzɛw, na orunndum.", ""
"JER.7.21", "Mbrɛ dɔm EWURADZE, Israel Nyankopɔn no, ɔse nye yi: Hom mfa hom ɔhyew afɔr nka hom okum afɔr ho, na hom ndzi nam.", ""
"JER.7.22", "Na mannkasa annkyerɛ hom egyanom, eso mannhyɛ hɔn mbra da no a miyii hɔn fii Egypt asaase no do no, wɔ ɔhyew afɔr na okum afɔr ho:", ""
"JER.7.23", "na mbra a mehyɛɛ hɔn nye iyi, dɛ, Hom ntsie me ndze, na mebɛyɛ hom Nyankopɔn, na hom so ayɛ me man: na hom nnantsew ɔkwan a mahyɛ hom nyina mu, ama eesi hom yie.", ""
"JER.7.24", "Naaso woenntsie, eso wɔammbrɛ hɔn aso adze, na mbom wɔnantseew hɔnankasa hɔn akoma bɔn n’egyinatu na ne ntsintsiman do, na wɔsaan ekyir na wɔannkɔ kan.", ""
"JER.7.25", "Ofitsi, da a hom egyanom fiir Egypt asaase do bae dze bodu ndɛ, masoma mo nkowaa nkɔnhyɛfo no nyinara aba hom nkyɛn, dabiara mosoɛr ahanamakye na mosoma hɔn:", ""
"JER.7.26", "naaso woenntsie me, eso wɔannkyɛn aso, na mbom wɔsorowee mbordo: wɔyɛɛ bɔn seen hɔn egyanom.", ""
"JER.7.27", "Ntsi ɔwo na ebɛka nsɛm yinom nyinara akyerɛ hɔn; naaso wonnketsie; ebɛfrɛ hɔn so; na wɔnnkɛgye wo do.", ""
"JER.7.28", "Na ebɛka akyerɛ hɔn dɛ, Woyi nye ɔman a woenntsie EWURADZE hɔn Nyankopɔn ne ndze, eso wɔanngye ntsea: nokwar asa, na oetu efi hɔn anomu.", ""
"JER.7.29", "Jerusalɛm, pra wo tsinhwi gu, na twa ewuo wɔ mpampaa pataa do; osiandɛ EWURADZE apow mbasantsen a wɔhyɛɛ no ebufuw no na ɔadan hɔn egya.", ""
"JER.7.30", "Na Judamba ayɛ dza omuo wɔ m’enyim, EWURADZE na ɔse: wɔdze hɔn ekyiwadze esisi ofi a wɔdze me dzin ato do no mu, dze egu ho fi.", ""
"JER.7.31", "Na woesi Tofet a ɔwɔ Hinom ba no bɔnsa no mu nsorɔnsorɔmbea, dɛ wɔbɛhyew hɔn mbabanyin na hɔn mbabaa wɔ gya mu; dza nnyɛ emi na mehyɛe, eso ɔmmbaa m’adwen mu.", "#2 Ahe 23.10; Jer 32.35; Nka 18.21"
"JER.7.32", "Dɛm ntsi hwɛ, nda reba a, EWURADZE na ɔse, wɔremmfrɛ no Tofet bio, anaa Hinom ba no bɔnsa, na mbom Okum bɔnsa: na wobesie efun wɔ Tofet ara ma ekodu dɛ wonnya siebea bio.", ""
"JER.7.33", "Na ɔman yi hɔn efun bɛyɛ edziban ama ɔsor nnoma, nye asaase mbowa: na obiara remmpam hɔn.", ""
"JER.7.34", "Nna mebɛma ahosɛpɛw ndze na enyigye ndze, ayeforkun ndze na ayefor ndze, abɔ adze wɔ Juda nkurow, na Jerusalɛm abrɔn mu: na asaase no bɛdan amamfo.", "#Jer 16.9; 25.10; Nyi 18.23"
