"EZK.16.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", ""
"EZK.16.2", "Onyimpa ba, ma Jerusalɛm nhu n'ekyiwadze,", ""
"EZK.16.3", "na se dɛ, Mbrɛ EWURADZE Nyankopɔn ka kyerɛ Jerusalɛm nye yi: W'awoe na w'awobea wɔ Keenanfo asaase do; w'egya yɛ Amorinyi, na wo na yɛ Hitinyi.", ""
"EZK.16.4", "Na w'awobea dze, da a wɔwoo wo no, woenntwa wo funuma, eso wɔammfa nsu ennguar wo ma wo ho emmfir; wɔammfa nkyen ennhura wo ho koraa, eso wɔammfa tam annkyekyer wo ho koraa.", ""
"EZK.16.5", "Obiara ne yamu annhyehye no amma wo, annyɛ iyinom amma wo, ammfa ennhu wo mbɔbɔr; mbom wɔtoow wo kyeen sardo prododo, osiandɛ wo nyimpamu yɛ hɔn tan, wɔ da a wɔwoo wo no mu.", ""
"EZK.16.6", "Na mubotwaa mu wo nkyɛn, na muhun wo dɛ ereyankam wo bɔgyaa mu no, mesee wo dɛ, Kaansa ewɔ wo bɔgyaa mu mpo a, nya nkwa; nyew, mesee wo dɛ, Kaansa ewɔ wo bɔgyaa mu mpo a, nya nkwa.", ""
"EZK.16.7", "Memaa edɔɔr dɛ hamu nkukuduuduw, na ɔwo yɛɛ pii na yɛɛ kɛse, na w'ahoɔfɛw gyinaa mu mbordo; wo mpokuwa bobɔe, na wo tsinhwi fuwii; naaso nna idzi adagyaw na kwatserkwa.", ""
"EZK.16.8", "Afei mubotwaa mu wɔ wo nkyɛn, na mohwɛɛ wo no, hwɛ, wo ber no yɛ ɔdɔ ber; na medze m'atarse tserɛɛw wo do, na mekataa w'adagyaw do: nyew, mekaa ntam kyerɛɛ wo, na menye wo dzii ahyɛmu, EWURADZE Nyankopɔn na ɔse, na ebɛyɛɛ medze.", ""
"EZK.16.9", "Nna medze nsu guaar wo; nyew, mohohoor wo ho bɔgya koraa fii wo ho, na medze ngo seraa wo.", ""
"EZK.16.10", "Mehyɛɛ wo atar a woedzi mu akye so, na mehyɛɛ wo nsukraman nwoma mpaboa, na medze ndwera pa kyekyeer wo ho, na medze serekye kataa wo do.", ""
"EZK.16.11", "Medze ahyehyɛdze hyehyɛɛ wo so, na medze nkaba hyɛɛ wo nsa, na medze ntweaban too wo kɔn mu.", ""
"EZK.16.12", "Na medze pɛtsea hyɛɛ wo hwen mu, na medze asowamuadze hyehyɛɛ w'asowa mu, na medze abɔtsir fɛɛfɛw bɔɔ wo tsir.", ""
"EZK.16.13", "Mbrɛ wɔdze sika na dwetɛ hyehyɛɛ wo nye yi; na wo ntar yɛ ndwera pa, na serekye, na nkyermu, isiam pa na ewo, na ngo, nna idzii: na wo ho yɛɛ fɛw mbordo, na idzii yie kodur ahendzi mu.", ""
"EZK.16.14", "Na w'ahoɔfɛw ne nka tahyee kɔr amanaman mu; osiandɛ odzi mu, osian m'enyimnyam a medze mehyɛɛ wo no ntsi, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.16.15", "Naaso ɔwo edze wo werɛ tweer w'ahoɔfɛw, na egoor ndwamangor wɔ w'atsenka ntsi, na ihuee wo ndwamangor guu obiara a orutwa mu no do; ɔyɛɛ nedze.", ""
"EZK.16.16", "Na ɔwo efaa w'atar bi, na edze yɛɛ nsorɔnsorɔmbea a wɔaka no edur horow maa woho, na egoor do ndwamangor: ndzɛmba a ɔtse dɛm bi nnkɛba, ɔrennyɛ dɛm so.", ""
"EZK.16.17", "Ɔwo efaa wo ndwindze fɛɛfɛw, me sika na dwetɛ a medze memaa wo no so bi, na edze yɛɛ mbarimba ehonyi maa woho, na enye hɔn goor ndwamangor;", ""
"EZK.16.18", "na efaa wo ntar a woedzi mu akye no dze kataa hɔn do, na edze mo ngo na m'eduhuam sii hɔn enyim.", ""
"EZK.16.19", "M'edziban so a medze maa wo no, isiam pa, na ngo, na ewo a medze nyɛɛn wo no, edze sii hɔn enyim mpo dɛ nka huanhuam, nna mbrɛ ɔyɛe nye no; EWURADZE Nyankopɔn na ɔse.", ""
"EZK.16.20", "Bio so afa wo mbabanyin na wo mbabaa a awo hɔn ama me no, na woyinom na edze hɔn abɔ afɔr ama hɔn dɛ wɔmmemen hɔn. Aso wo ndwamanyɛ yɛ adze ketseaba,", ""
"EZK.16.21", "dɛ ekuku me mba, na eyi hɔn ama, dɛ wondua gya mu mma hɔn?", ""
"EZK.16.22", "Na w'ekyiwadze na wo ndwamanyɛ nyinara mu annkaa wo mbofraber mu nda a idzii adagyaw na kwatserkwa, na ereyankayankam wo bɔgyaa mu no.", ""
"EZK.16.23", "Na ɔaba dɛ w'emumuyɛ nyinara ekyir no, (ndom, ndom nka wo! EWURADZE Nyankopɔn na ɔse,)", ""
"EZK.16.24", "na atow dampan ama woho, na ayɛ sorɔnsorɔmbea wɔ abrɔn nyinara mu ama woho.", ""
"EZK.16.25", "Akwan nyina tsir na ayɛ mpampaa, na ayɛ w'ahoɔfɛw ekyiwadze, na ebue w'anan mu ama obiara a oetwa mu asen no, na ama wo ndwamanyɛ adɔɔ so.", ""
"EZK.16.26", "Enye Egyptfo, w'amanyimfo abran no so, agor ndwamangor; na ama wo ndwamanyɛ adɔɔ so dze eyi me ebufuw.", ""
"EZK.16.27", "Dɛm ntsi, hwɛ, matsen me nsa wɔ wo do, na mehuan wo daa daa edziban no do, na medze wo ahyɛ hɔn a wokyir wo no hɔn pɛ nsa, Filistiafo mbabaa a hɔn enyi to wo ndwamambra ho no.", ""
"EZK.16.28", "Enye Asiriafo so agor ndwamangor, osiandɛ ammee; nyew, enye hɔn agor ndwamangor, naaso ammee.", ""
"EZK.16.29", "Nkyii so ama wo ndwamanyɛ adɔɔ so wɔ Keenan asaase do, ekodu Kaldea; na iyiara so mpo ammee wo.", ""
"EZK.16.30", "Mbrɛ w'akoma dua yɛ mberɛw a, EWURADZE Nyankopɔn na ɔse, dɛ eyɛ ndzɛmba yinom nyina a ɔyɛ ɔbaa edwaman a oepirim n'enyim ne ndzeyɛɛ;", ""
"EZK.16.31", "wɔ dɛ etow wo dampan wɔ akwan nyina tsir, na eyɛ wo sorɔnsorɔmbea wɔ abrɔn nyina mu no; na ɔwo annyɛ dɛ edwaman, wɔ dɛ epow apɛdze.", ""
"EZK.16.32", "Ɔyer a ɔto awar! Ɔgye ahɔho hyɛ no kun ananmu!", ""
"EZK.16.33", "Wɔkyɛ ndwaman nyinara akyɛdze: naaso ɔwo dze, edze w'akyɛdze mema w'adɔfo nyinara, na ema hɔn mboaba, ama wofi mbeambea nyinara aba wo nkyɛn abɔgor ndwamangor.", ""
"EZK.16.34", "Ntsi ɔwo wo ndwamanyɛ no, yɛ soronko fi mbaa binom dze ho, osiandɛ obi ammbɔ wo paa wɔ ndwamangor mu: mbom dɛ ɔwo na ema akatua, na wɔmma wo akatua no, eyɛ soronko ampa.", ""
"EZK.16.35", "Dɛm ntsi, edwaman e, tsie EWURADZE n'asɛm:", ""
"EZK.16.36", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ wohuee w'ahonamfi gui, na ɔnam wo ndwamangor a enye w'adɔfo goree ma w'adagyaw daa edzi; na osian w'ekyiwadze abosom no nyinara, na wo mba hɔn bɔgyaa a edze maa hɔn no ntsi;", ""
"EZK.16.37", "dɛm ntsi hwɛ, mibehyiahyia w'adɔfo nyinara a enye hɔn agye enyi, na hɔn a ekyir hɔn no nyinara; mobɔboaboa hɔn ano wɔ mbeambea nyina metsia wo, na meyi w'adagyaw edzi makyerɛ hɔn, ma woeehu w'adagyaw nyina.", ""
"EZK.16.38", "Na mubobu wo atsɛn, dɛ mbrɛ mbaa a wɔtoto awar ano na wɔka bɔgya gu no wobu hɔn atsɛn; na medze ebufuhyew na nyinkuntwe bɔgyaa bɛba wo do.", ""
"EZK.16.39", "Na medze wo bɛhyɛ hɔn nsa so, na w'edwuruw wo dampan na woebubu wo sorɔnsorɔmbea: na wɔbɛpa wo ho efuradze, na wɔafa wo ndwindze fɛɛfɛw no: na wɔbɛdan wo egya adagyaw na kwatserkwa.", ""
