"EZK.13.1", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.13.2", "Onyimpa ba, hyɛ Israel nkɔnhyɛfo a wɔhyɛ nkɔm no do nkɔm, na se hɔn a wofi hɔnankasa hɔn akoma mu hyɛ nkɔm no dɛ, Hom ntsie EWURADZE n'asɛm:", ""
"EZK.13.3", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ndom nka nkɔnhyɛfo nkwasea a wodzi hɔnankasa hɔn sunsum ekyir na wonnhun hwee no!", ""
"EZK.13.4", "Ao Israel, wo nkɔnhyɛfo ayɛ dɛ ekurofo mu nsɔ.", ""
"EZK.13.5", "Hom mmfowee nnkɔr ntokur no mu, eso hom nngyee Israel fi ho ban, dɛ wobegyina akono wɔ EWURADZE ne da no mu.", ""
"EZK.13.6", "Woehu egyangyandze na ator mbusu nkɔnhyɛ, dɛ wɔka dɛ EWURADZE na ɔse; naaso na EWURADZE nnsomaa hɔn: na wɔama adasa enya enyidado dɛ asɛm no bɛhyɛ ma.", ""
"EZK.13.7", "Ana hom nnhun enyido adzehu gyangyan, na hom nnhyɛɛ ator mbusu nkɔm, ber a hom se dɛ, EWURADZE na ɔse; naaso na nnyɛ emi na maka?", ""
"EZK.13.8", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ hom aka nsɛm huhuw na hom ehu ator ntsi, dɛm ntsi, hwɛ, menye hom enya, EWURADZE na ɔse.", ""
"EZK.13.9", "Na me nsa bɛda nkɔnhyɛfo a wohu egyangyandze, na wɔhyɛ nkɔntor no do: wɔrommfora me man baguafo mu, eso wɔrennkyerɛw hɔn wɔ Israel fi nkyerɛwee no mu, eso wɔrennhɛn Israel asaase mu, na hom bohu dɛ emi nye EWURADZE Nyankopɔn.", ""
"EZK.13.10", "Osian, osian ara dɛ hom adaadaa me man, dɛ, Asomdwee; na asomdwee biara nnyi hɔ; na sɛ obi tow fasu a, hwɛ, wɔdze kaadow twuw ho ntsi:", "#Jer 6.14; 8.11"
"EZK.13.11", "se hɔn a wɔdze kaadow twuw ho no dɛ, obobu; nsupramee bɛba; na hom, sorabo akɛse, hom bɔtotɔ; na ehum mframa bɛpaapaa mu.", ""
"EZK.13.12", "Hwɛ, sɛ fasu no dwuruw a, ana wɔnnkɛse hom dɛ, Ntwuwho a hom dze etwuw ho no wɔ hen?", ""
"EZK.13.13", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Ehum mframa na medze mebɛpaapaa mu mpo wɔ m'ebufuhyew mu; na nsupramee bɛba wɔ m'ebufuw mu, na sorabo akɛse aba wɔ m'ebufuhyew mu ahyew no.", ""
"EZK.13.14", "Nna mubodwuruw fasu a hom dze kaadow etwuw ho no, na medze aka famu, ma ne fapem ho ada hɔ: na obobu, na hom adwerew wɔ mu; na hom bohu dɛ emi nye EWURADZE.", ""
"EZK.13.15", "Mbrɛ mubowie m'ebufuhyew wɔ fasu no, na hɔn a wɔdze kaadow twuuw ho no nye no; na mebɛse hom dɛ, Fasu no nye hɔn a wotwuuw ho no nnyi hɔ bio;", ""
"EZK.13.16", "mekyerɛ Israel nkɔnhyɛfo no a wɔhyɛ Jerusalɛm ho nkɔm na wohu asomdwee ho enyido adzehu ma no, na asomdwee nnyi hɔ no, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.13.17", "Na ɔwo, onyimpa ba, fa w'enyi si wo man ne mbabaa a wofi hɔnankasa hɔn akoma mu hyehyɛ nkɔm no ho; na hyɛ nkɔm gu hɔn do,", ""
"EZK.13.18", "na se dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ndom nka mbaa a wɔpempam nsɛbɛ bobɔ hɔn nsakɔn nyina, na wɔyɛ nduukuu ma nyimpa horow hɔn etsir dɛ wɔdze rotwee akra! Aso hom bɔtwee me man hɔn akra, na hom agye akra nkwa ama hom ho?", ""
"EZK.13.19", "Na hom egu mo ho fi wɔ me man mu wɔ atoko nsa amaama na boodoo esinesin ntsi, dɛ hom ruku akra a wɔnnsɛ dɛ wowu, na hom dze regye akra a wɔnnsɛ dɛ wɔtsena ase nkwa, ɔnam hom ator a hom dzidzi kyerɛ me man a wotsiee atorsɛm no do.", ""
"EZK.13.20", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, Mitsia hom nsɛbɛ a hom dze tweetwee akra wɔ hɔ ma woeetu no, na mebɛtsetsew hɔn mefi hom abaw do; na mebɛma akra no akɔ, mekyerɛ akra a hom tweetwee hɔn ma woeetu no.", ""
"EZK.13.21", "Hom nduukuu no so mebɛtsetsew mu na meyi me man efi wo nsamu, mma wɔaannda ho anntsena hom nsamu, mma wɔaanntweetwee hɔn; na hom bohu dɛ emi nye EWURADZE.", ""
"EZK.13.22", "Osiandɛ hom dze ator ahow ɔtseneneenyi a emi mara mennhyɛɛ no awerɛhow no no werɛ; na hom ahyɛ mumuyɛnyi ne nsa dzen, amma ɔaannsan emmfi n'emumuyɛ kwan no ho ma wɔaanngye no nkwa:", ""
"EZK.13.23", "dɛm ntsi hom runnhu egyangyandze, anaa hom rennhyɛ mbusu nkɔm bio: na mibeyi me man mefi hom nsamu; na hom bohu dɛ emi nye EWURADZE.", ""
