"EZK.18.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", ""
"EZK.18.2", "Hom fa no dɛn, na hom bu bɛ yi wɔ Israel asaase ho, dɛ, Egyanom edzi wenyinamba yerɛyerɛw ma mba hɔn se afemfem?", "#Jer 31.29"
"EZK.18.3", "Metse ase yi, EWURADZE Nyankopɔn na ɔse, hom rinnya ho kwan bio ebu bɛ yi wɔ Israel.", ""
"EZK.18.4", "Hwɛ, akra nyinara yɛ medze; dɛ mbrɛ egya ne kra yɛ medze no, mbrɛ ɔba so ne kra tse ara nye no: ɔkra a ɔyɛ bɔn no, ɔnoara na obowu.", ""
"EZK.18.5", "Na sɛ nyimpa tsen na ɔyɛ dza ɔfa mbra mu na ɔtsen,", ""
"EZK.18.6", "na onndzidzii wɔ mbepɔw no do, eso ɔmmaa n'enyiwa do nnhwɛɛ Israelmba hɔn abosom no, eso onnguu ne nyɛnko ho fi, eso ɔnnkɔr ɔbaa a ɔayɛ bra ho;", ""
"EZK.18.7", "eso ɔmmfoom obiara, na mbom ɔdze kafonyi n'ahobadze asan ama no, ɔmmfaa apempensi mmfoom obiara n'adze, ɔdze n'edziban ama nyia ɔkɔm dze no, na ɔdze n'atar ama nyia odzi adagyaw;", ""
"EZK.18.8", "nyia ɔmmbɔɔ bosa nnsii akaperɛ, eso ɔnngyee nsiho, ɔatwe ne nsa efi emumuyɛ ho, oebu nyimpa na nyimpa ntamu atsɛn nokwar,", ""
"EZK.18.9", "ɔanantsew m'ahyɛmudzi do, na oedzi m'atsɛmbudze do, dɛ oedzi nokwar a; ɔno na ɔtsen, nkwa ara na obenya, EWURADZE Nyankopɔn na ɔse.", "#Lev 18.5"
"EZK.18.10", "Sɛ ɔwo babanyin a ɔyɛ odwotwafo, bɔgyakagufo, na ɔyɛ ndzɛmba yinom mu kor biara", ""
"EZK.18.11", "na onndzi ndwuma no no mu biara, mbom oedzidzi wɔ mbepɔw no do mpo, na oegu ne nyɛnko ne yer ho fi,", ""
"EZK.18.12", "ɔafom ɔbɔbɔfo na ohianyi, ɔdze apempensi afa obi n'adze, ɔmmfaa ahobadze nnsanee mmae, na ɔama n'enyiwa do ahwɛ abosom, ɔyɛ ekyiwadze,", ""
"EZK.18.13", "ɔabɔ bosa esi akaperɛ, na ɔagye nsiho a: aso obenya nkwa? Onnkenya nkwa. Ɔayɛ ekyiwadze yinom nyinara: owu ara na obowu; no bɔgyaa bogu n'etsifi.", ""
"EZK.18.14", "Afei, hwɛ, sɛ ɔwo babanyin a ohu n'egya no bɔn a ɔayɛ nyinara na osuro, na ɔnnyɛ ne saso,", ""
"EZK.18.15", "onndzidzi wɔ mbepɔw no do, eso ɔmma n'enyiwa do nnhwɛ Israel fie abosom, onngu ne nyɛnko ne yer ho fi,", ""
"EZK.18.16", "eso ɔmmfom obiara, ɔnngye biribiara nsi ahoba, eso ɔmmfa apempensi mmfa obi n'adze, mbom ɔdze n'edziban ama nyia ɔkɔm dze no, na ɔdze atar ahyɛ nyia odzi adagyaw,", ""
"EZK.18.17", "ɔatwe ne nsa efi ɔbɔbɔfo ho, onnsi akaperɛ, na ɔnngye nsiho, ɔayɛ m'atsɛmbudze, ɔanantsew m'ahyɛdze do a; orunnwu wɔ n'egya n'emumuyɛ ntsi, nkwa ara na obenya.", ""
"EZK.18.18", "Na n'egya dze, susuampaara dɛ ɔayɛ emim, ɔdze apempensi afa no nua afo, na ɔayɛ dza onnye wɔ ɔman no no mu no, hwɛ, obowu wɔ n'emumuyɛ mu.", ""
"EZK.18.19", "Naaso hom se dɛ, Ɔyɛ dɛn ntsi na ɔba nnsoa n'egya n'emumuyɛ? Sɛ ɔba ayɛ dza ɔfa mbra mu na ɔtsen, na oedzi m'ahyɛdze nyinara do, na ɔayɛ a, nkwa ara na obenya.", ""
"EZK.18.20", "Ɔkra a ɔyɛ bɔn no, ɔno na obowu: ɔba ronnsoa egya n'emumuyɛ; eso egya ronnsoa ɔba n'emumuyɛ; ɔtseneneenyi ne ndzeyɛtsenenee bɛtsena no do, na omumuyɛnyi n'emumuyɛ atsena no do.", "#Deut 24.16"
"EZK.18.21", "Sɛ omumuyɛnyi san fi ne ndzebɔn a ɔayɛ nyinara ho, na odzi m'ahyɛdze nyinara do, na ɔyɛ dza ɔfa mbra mu na ɔtsen a, nkwa ara na obenya, orunnwu.", ""
"EZK.18.22", "Na mbrato a ɔato no mu biara wɔrennkaa nntsia no: ne ndzeyɛtsenenee a ɔayɛ no no mu na ɔbɛtsena ase.", ""
"EZK.18.23", "Aso mowɔ enyigye bi wɔ omumuyɛnyi no wu ho? EWURADZE Nyankopɔn na ɔse: na nnyɛ dɛ mbom ɔbɛdan efi no kwan mu, na oenya nkwa?", ""
"EZK.18.24", "Na sɛ tseneneenyi san fi ne ndzeyɛtsenenee ho, na ɔyɛ emumuyɛ, na ɔyɛ ekyiwadze a omumuyɛnyi yɛ no bi a, aso ɔbɛtsena ase? N'atseneneedze a ɔayɛ no, wɔrennkaa no mu biara: na mbrato a ɔato no mu, na no bɔn a ɔayɛ no mu, ɔnoara mu na obowu.", ""
"EZK.18.25", "Naaso hom se dɛ, EWURADZE n'amambu nnsaa. Israelmba e, hom ntsie: Aso m'amambu nnsaa? Ana nnyɛ homara hom amambu na ɔnnsaa?", ""
"EZK.18.26", "Sɛ tseneneenyi dan fi ne ndzeyɛtsenenee ho, na ɔyɛ emumuyɛ na owu wɔ mu a; n'emumuyɛ a ɔayɛ no mu na obowu.", ""
"EZK.18.27", "Bio so, sɛ omumuyɛnyi dan fi n'emumuyɛ a ɔayɛ no ho, na ɔyɛ dza ɔfa mbra mu na ɔtsen a, ɔbɛgye ne kra nkwa.", ""
"EZK.18.28", "Osiandɛ ɔdwendwen ho, na ɔdan fi ne mbrato a ɔato nyinara ho no, nkwa ara na obenya, orunnwu.", ""
"EZK.18.29", "Naaso Israel fie se dɛ, EWURADZE n'amambu nnsaa. Ao Israelfo, aso m'amambu nnsaa? Aso nnyɛ homara hom amambu na ɔnnsaa?", ""
"EZK.18.30", "Dɛm ntsi, Israel fie, mubobu hom atsɛn, obiara dɛ mbrɛ n'akwan tse, EWURADZE Nyankopɔn na ɔse. Hom nsan, hom nsan mfi hom mbrato nyinara ho; annyɛ dɛm a emumuyɛ bɛma hom asɛɛ.", ""
"EZK.18.31", "Hom ntow hom mbratodze a hom dze ato mbra no nyina mfi hom ho ngu; na hom nya akoma fofor na sunsum fofor mma homho: na ɔyɛ dɛn ntsi na hom bowu, Israel fie?", ""
"EZK.18.32", "Na minnyi nyia owu no wu ho enyigye, EWURADZE Nyankopɔn na ɔse: dɛm ntsi hom nsakyer, na hom nnya nkwa.", ""
