"EZK.33.1", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.33.2", "Onyimpa ba, kasa kyerɛ wo man ne mba, na se hɔn dɛ, Sɛ medze afona no ba asaase bi do, na sɛ asaase no mu mba no yi barimba bi fi hɔn mu, na wɔdze no si ɔweɔmfo ma hɔnho:", ""
"EZK.33.3", "na sɛ ber a obohu afona dɛ ɔreba asaase no do no, ɔbɔ akasamu no mu dze bɔ ɔman no kɔkɔ", ""
"EZK.33.4", "na obi tse akasamu no ndze, na ɔammfa kɔkɔbɔ no a, sɛ afona no ba, na ɔfa no kɔ a, no bɔgyaa bobua nankasa n'etsifi.", ""
"EZK.33.5", "Sɛ ɔtsee akasamu no ne ndze, na ɔammfa kɔkɔbɔ no a, no bɔgyaa bobua n'etsifi: naaso sɛ ɔfaa kɔkɔbɔ no a, nkyɛ ɔagye ne kra nkwa.", ""
"EZK.33.6", "Na sɛ ɔweɔmfo no hu dɛ afona no reba, na ɔammbɔ akasamu no mu, na ɔman no ennya nkaabɔ, na afona no ba bɛfa nyimpa biara fi hɔn mu kɔ a; ɔnoara dze wɔafa no kɔ wɔ n'emumuyɛ mu, naaso no bɔgyaa no mibebisa no wɔ ɔweɔmfo no nsamu.", ""
"EZK.33.7", "Dɛm ntsi ɔwo, onyimpa ba, medze wo esi ɔweɔmfo ama Israelfo; dɛm ntsi tsie m'anomu asɛm, na fa me nkaabɔ ma hɔn.", ""
"EZK.33.8", "Sɛ mese mumuyɛnyi dɛ, Mumuyɛnyi, wu ara na ibowu, na ɔwo annkasa ammbɔ mumuyɛnyi no kɔkɔ emmfi ne bra ho a, mumuyɛnyi no dze, obowu n'emumuyɛ mu, naaso no bɔgyaa no dze, mibebisa no wɔ wo nsamu.", ""
"EZK.33.9", "Naaso, sɛ ɔwo ebɔ mumuyɛnyi no kɔkɔ wɔ ne bra ho dɛ ɔnsan mfi ho, na ɔanndan emmfi ne bra ho a; obowu n'emumuyɛ mu, na ɔwo dze agye wo kra nkwa.", ""
"EZK.33.10", "Na ɔwo, onyimpa ba, se Israelfo dɛ: Mbrɛ hom kasa nye yi, dɛ, Hɛn mbrato na hɛn bɔn hyɛ hɛn do, na yɛafomfɔn wɔ mu; yebesi dɛn koraa atsena ase?", ""
"EZK.33.11", "Se hɔn dɛ, Metse ase yi, EWURADZE Nyankopɔn na ɔse, Minnyi enyigye wɔ mumuyɛnyi no wu mu; na mbom dɛ mumuyɛnyi bɛdan efi ne bra ho na oenya nkwa a: hom nsan, hom nsan mfi hom bra bɔn no ho; na ɔyɛ dɛn ntsi na hom bowu, Israel fifo?", ""
"EZK.33.12", "Na ɔwo, onyimpa ba, se wo man no ne mba no dɛ, Ɔtseneneenyi ne ndzeyɛtsenenee renngye no wɔ ne mbrato da no mu; na mumuyɛnyi n'emumuyɛ dze, orinnsian ɔno ntsi mma ɔnnhwe ase wɔ da a ɔbɛsan efi n'emumuyɛ ho no: eso nyia ɔyɛ tseneneenyi no nam dɛm do runntum ntsena ase wɔ da a ɔbɛyɛ bɔn no mu.", ""
