"EZK.34.1", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"EZK.34.2", "Onyimpa ba, hyɛ nkɔm tsia Israel nguanhwɛfo, hyɛ nkɔm, na se hɔn, mekyerɛ nguanhwɛfo no, dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ndom nka Israel nguanhwɛfo a wɔnyɛn hɔnankasa hɔnho! Aso nnyɛ nguan na nguanhwɛfo wɔsɛ dɛ wɔnyɛn hɔn?", ""
"EZK.34.3", "Hom dzi angoa no, na hom fura nguannhwi, hom ku dza wɔadɔ angoa no; na hom nnyɛn nguan no.", ""
"EZK.34.4", "Hom annhyɛ hɔn a woegura no dzen, eso hom annsa dza ɔyar no yarba, eso hom annkyekyer dza ebubu no, eso hom annkɛfa dza wɔapam no no ammba, eso hom annhwehwɛ dza ayew no n’ekyir kwan; na mbom hom dze nhyɛ na etsiɔdzen edzi hɔn do tum.", ""
"EZK.34.5", "Na wɔbɔɔ hɔn petsee, osiandɛ wonnyi guanhwɛfo: na wɔbɛyɛɛ edziban maa hambowa nyinara, na wɔbɔɔ hɔn petsee.", "#Nka 27.17; 1 Ahe 22.17; Mat 9.36; Mar 6.34"
"EZK.34.6", "Mo nguan kyinkyiin mbepɔw nyina na koko tsentsen biara do: nyew, wɔbɔɔ mo nguan petsee asaase nyina enyi; na biara nnyi hɔ a ɔhwehwɛɛ hɔn anaa otsiiw hɔn.", ""
"EZK.34.7", "Dɛm ntsi, hom nguanhwɛfo, hom ntsie EWURADZE n’asɛm:", ""
"EZK.34.8", "Metse ase yi, EWURADZE Nyankopɔn na ɔse, ampaara, susuampaara dɛ mo nguan bɛyɛɛ afonam, na mo nguan bɛyɛɛ edziban maa hambowa nyinara, osiandɛ guanhwɛfo biara nnyi hɔ ntsi, eso mo nguanhwɛfo annhwehwɛ mo nguan, na mbom nguanhwɛfo no nyɛɛn hɔnankasa hɔnho, na wɔannyɛn mo nguan no;", ""
"EZK.34.9", "dɛm ntsi, hom nguanhwɛfo, hom ntsie EWURADZE n’asɛm;", ""
"EZK.34.10", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, menye nguanhwɛfo no enya; na mibebisa mo nguan wɔ hɔn nsamu, na mama woegyaa nguan no nyɛn; eso nguanhwɛfo no rennyɛn hɔnankasa hɔnho ara bio; na mebɛgye mo nguan efi hɔn anomu, mma wɔannyɛ edziban amma hɔn.", ""
"EZK.34.11", "Na mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, emi mara, marankasa, mobɔhwehwɛ mo nguan, na metsiw hɔn.", ""
