"EZK.30.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", ""
"EZK.30.2", "Onyimpa ba, hyɛ nkɔm, na se dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Hom mbɔ mbubuw, Ndom nka da no!", ""
"EZK.30.3", "Osiandɛ da no abɛn mekyerɛ EWURADZE ne da no abɛn, mununkum da a; ɔbɛyɛ amanamamfo hɔn da.", ""
"EZK.30.4", "Na afona bɛba Egypt do, na ahoguan aba Etiopia, ber a atɔfo bɔtotɔ Egypt; na wɔbɛfa ne nyimpadodow no akɔ, na woedwuruw ne fapem no.", ""
"EZK.30.5", "Etiopia, na Put, na Lud, na aforaforafo no nyina, na Kub, na asaase a oedzi ahyɛmu ne mba no, wɔnye hɔn bɔtotɔ afona ano.", ""
"EZK.30.6", "Mbrɛ EWURADZE se nye yi: Hɔn a wosuo Egypt mu gyina no so bɔtotɔ, na n'ahoɔdzen nkontompɔ no bodwuruw: ofi Migidɔl kɔ Siene na wɔbɔtotɔ wɔ mu wɔ afona ano, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.30.7", "Na wɔbɛyɛ afo wɔ nkurow nkurow a wɔayeyɛ afo no mu, na no nkurow afora nkurow a wɔayeyɛ amamfo no mu.", ""
"EZK.30.8", "Na wobohu dɛ emi nye EWURADZE, ber a mato gya wɔ Egypt, na n'aboafo nyina asɛɛ.", ""
"EZK.30.9", "Da no mu na abɔfo befi m'enyim efir edzi wɔ ahɛn mu ekopuw Etiopiafo a hɔn enyi nnyi hɔnho do no; na ahoguan bɛba hɔn do, dɛ Egypt da no mu; na, hwɛ, ɔreba.", ""
"EZK.30.10", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Eso mebɛma Egypt nyimpadodow no nam Babilɔnhen Nebukadenezar nsa do abɔ asa.", ""
"EZK.30.11", "Ɔno na ne man a wɔka no ho no, amanaman mu etsiɔdzenfo no, wɔdze hɔn bɛba ma wɔabɛsɛɛ asaase no; na wɔbɔtwetwe hɔn mfona wɔ Egypt do, na wɔama atɔfo ahyɛ asaase no do ma.", ""
"EZK.30.12", "Na mebɛma esutsen no awewew, na matɔn asaase no ahyɛ emumuyɛfo nsamu, na menam ananaben nsa do mayɛ asaase no na dza ɔwɔ mu nyina amamfo: emi EWURADZE na maka.", ""
"EZK.30.13", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Mebɛsɛɛ abosom no so, na mama ehonyi no abɔ adze wɔ Memfis; na bapɔmba biara rummpue Egypt asaase do bio: na medze hu bɛba Egypt asaase no do.", ""
"EZK.30.14", "Na mebɛma Patros ayɛ afo, na mato gya wɔ Zoan, na mayɛ atsɛmbudze wɔ Tebes.", ""
"EZK.30.15", "Na mubohue m'ebufuw egu Sin, Egypt abandzendzen no do: na mubotwa Tebes nyimpadodow no egu.", ""
"EZK.30.16", "Na mobɔto Egypt gya; ahoguan kɛse bɛba Pelusium do, na woebubu Tebes mu: na Memfis benya ahohiahiafo ewiaber.", ""
"EZK.30.17", "On kurow na Pi-beset kurow mu mberantsɛ bɔtotɔ afona ano: na nkurow yi bɔkɔ ndɔmmum.", ""
"EZK.30.18", "Da no bɛhyɛ sum wɔ Tehafenehes so, ber a mubobubu Egypt nkɔndua wɔ hɔ, na ahopɔw n'ahoɔdzen no abɔ adze: ɔnodze, mununkum bɛkata no do, na ne mbabaa akɔ ndɔmmum.", ""
"EZK.30.19", "Mbrɛ mibesi ayɛ atsɛmbudze wɔ Egypt nye yi: na wobohu dɛ emi nye EWURADZE.", ""
"EZK.30.20", "Na ɔbaa dɛ, afe a otsia dubiako no, bosoom a odzi kan no, bosoom no ne da a otsia esuon no, na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.30.21", "Onyimpa ba, mebu Egypthen Farao ne basa; na, hwɛ, wɔnnkɛkyekyer no mbrɛ wɔyɛ no yarsa edur, dɛ wɔdze ntamadan rekyekyer ma ɔaayɛ dzen, dɛ otum suo afona mu.", ""
"EZK.30.22", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, menye Egypthen Farao enya, na mubobubu ne mbasa, dza ɔyɛ dzen no, na dza ebu no; na mebɛma afona no efi ne nsamu atɔ famu.", ""
"EZK.30.23", "Na mobɔbɔ Egyptfo apetse amanaman mu, na mapansam hɔn akɔ nkurow nkurow do.", ""
"EZK.30.24", "Na mebɛhyɛ Babilɔnhen n'abasa dzen, na medze m'afona mahyɛ ne nsa: na mubobubu Farao ne basa mu, ma ɔaapempen nyimpa a ɔda atɔe mu n'apen wɔ n'enyim.", ""
"EZK.30.25", "Na mebɛma Babilɔnhen ne basa ayɛ dzen, na Farao ne basa atɔ famu; na wobohu dɛ emi nye EWURADZE, ber a medze m'afona bɛhyɛ Babilɔnhen nsa, ma ɔaatsen no wɔ Egypt asaase do.", ""
"EZK.30.26", "Na mobɔbɔ Egyptfo apetse amanaman mu, na mapansam hɔn akɔ nkurow nkurow do; na wobohu dɛ emi nye EWURADZE.", ""
