"EZK.38.1", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.38.2", "Onyimpa ba, fa w'enyi tsim Gog do, wɔ Magog asaase do, Mesek, na Tubal safohen no, na hyɛ nkɔm tsia no,", "#Nyi 20.8"
"EZK.38.3", "na se dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Hwɛ, Gog, Mesek, na Tubal safohen, menye wo enya:", ""
"EZK.38.4", "na mebɛdandan wo, na medze nkwaba ewurawura w'adadaw mu, na meyi wo efir edzi, ɔnye wo dɔm nyinara, mpɔnkɔ na mpɔnkɔdofo, hɔn nyinara wɔhyehyɛ dadzentar twem asafo kɛse pa a wɔhyehyɛ kyɛm na dadzekyɛw, hɔn nyinara wɔdzedze mfona:", ""
"EZK.38.5", "Persia, Kus, na Put ka hɔn ho: hɔn nyina wɔwɔ kyɛm na dadzekyɛw:", ""
"EZK.38.6", "Gomer, na no dɔmtutuw no nyina: Togarma fi a ɔwɔ kwaamu afamu noho noho no na no dɔmtutuw no nyina: mekyerɛ aman pii ka wo ho.", ""
"EZK.38.7", "Da wo ho do, ɛhɛɛ, mia, ɔwo na w'asafo asafo a wɔaboaboa ano ehyia wo nkyɛn nyinara, na yɛ weɔmfo ma hɔn.", ""
"EZK.38.8", "Nda pii ekyir no wɔbɛba abɛsera wo: mfe a odzi ekyir no mu no ebɛba asaase a wɔdze asan efi afona ano no mu, na wɔaboa ano efi aman pii mu, wɔ Israel mbepɔw do a wɔayeyɛ amamfo daa no mu: na woeyi efi aman mu, na wɔbɛtsena dwudwoodwo, hɔn nyinara.", ""
"EZK.38.9", "Na ebɔfow sor, na aba dɛ ehum, ebɛyɛ dɛ nsuwusiw akata asaase no do, ɔwo, na wo dɔmtutuw nyinara, na aman pii a wɔkeka wo ho.", ""
"EZK.38.10", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Ɔbɛba dɛ da no mu no, nsɛm bi bɛba w'adwen mu, na ebɛhyehyɛ tsirmu nhyehyɛɛ bɔn bi:", ""
"EZK.38.11", "na ase dɛ, Mobɔfow makɔ nkurow a afasu mmbɔ ho aprɔw no n'asaase no do; mubokotua hɔn a hɔn asomu adwe hɔn, wɔtse hɔ dwudwoodwo a hɔn nyinara wɔtsetse mbrɛ afasu nnyi, na wonnyi adaban na mbobotsen so no:", ""
"EZK.38.12", "dɛ mebɛfa asadze na mafa afo; madan wo nsa wɔ amamfo a ndɛ wɔtsetse do no do, na ɔman a wɔaboaboa ano efi amanaman a woenyinya anyɛmbowa na ndzɛmba ndzɛmba a wɔtsetse asaase ne finimfin no do.", ""
"EZK.38.13", "Seba, na Dedan, na Tarsis eguadzifo wɔnye hɔn ngyatafɔr nyinara, wɔbɛse wo dɛ, Aso asadze na aba rebɛfa, aso apon w'asafo dɔm rebɛfa afo, dɛ erobɔsoa dwetɛ na sika akɔ, erebɛfa anyɛmbowa na ndzɛmba ndzɛmba akɔ, rebɛfa asadze kɛse?", ""
"EZK.38.14", "Dɛm ntsi, onyimpa ba, hyɛ nkɔm, na se Gog dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Aso da no a me man Israel bɛtsena ase dwudwoodwo no, ana innkohu?", ""
"EZK.38.15", "Na ibefi wo tsenabea wɔ kwaamu afamu etsiwatsiwa mu no ho aba, ɔwo, na aman pii ka wo ho, hɔn nyinara wɔtsetse mpɔnkɔ do, asafo kɛse na dɔm akatakyi a:", ""
"EZK.38.16", "na ɔwo Gog botu aba me man Israel do, dɛ nsuwusiw abɛkata asaase do; nda a odzi ekyir no mu no, ɔbɛba dɛ medze wo bɛba m'asaase do, ma amanaman ehu me, ber a mo krɔnkrɔnyɛ bɛda edzi wɔ wo mu wɔ hɔn enyiwa do.", ""
"EZK.38.17", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Aso ɔwo nye nyia no a mekaa no ho asɛm tsetsebaado, menam mo nkowaa Israel nkɔnhyɛfo a wɔhyɛɛ nkɔm nda no mu mfe pii dɛ medze wo bɛba hɔn do no?", ""
"EZK.38.18", "Na da no mu no, ɔbɛba dɛ, ber a Gog botua Israel asaase no, EWURADZE Nyankopɔn na ɔse, m'ebufuhyew bɛdzɛw m'ahwentokura mu.", ""
"EZK.38.19", "Na me nyinkuntwe na m'ebufuw ne gya no mu na makasa dɛ, Ampaara nda no mu na ɔwosow kɛse bɛba Israel asaase do;", ""
"EZK.38.20", "ma po mu nam, nnoma a wɔwɔ wimu, na hambowa, na aweaweambowa a wɔweawea asaase do nyinara, na adasamba a wɔwɔ asaase enyi nyinara hɔn ho bɔwosow wɔ m'enyim, na wobodwuruw mbepɔw egu famu, na mbotan kronkronn no bɔhwehwe ase, na fasu biara bɛka famu.", ""
"EZK.38.21", "Na mebɛfrɛ afona aba no do ekitsa me mbepɔw nyina, EWURADZE Nyankopɔn na ɔse: nyimpa biara n'afona botwa no nua.", ""
"EZK.38.22", "Na medze yardɔm na bɔgya menye no bedzi; na mobɔtɔ nsupramee, na sorbo akɛse, gya, na sɔɔfee megu ɔno, na no dɔmtutuw, na aman pii a wɔka no ho no do.", ""
"EZK.38.23", "Na mubohuhor moho, na mayɛ mo ho krɔnkrɔn, na mama woehu me wɔ aman pii enyim, na wobohu dɛ emi nye EWURADZE.", ""
