"EZK.45.1", "Nkyii so sɛ hom rotwe asaase no ho tonto akyɛ egyapadze a, hom nyi do ayɛyɛdze mma EWURADZE, dɛ asaase no mu kyɛfa krɔnkrɔn: ne tsentsen nyɛ ndzɛmbir ne tsentsen basafa mpem duebien nye ahaenum, na ne tɛtɛr nyɛ mpemdu: ɔnyɛ krɔnkrɔn wɔ n’ahe do nyinara nhyiahyia.", ""
"EZK.45.2", "Susu iyi mu dza ne tsentsen yɛ basafa ahaebien eduonum na ne tɛtɛr yɛ basafa ahaebien eduonum a ɔda etwaanan hyia ma krɔnkrɔnbea no; na basafa eduonu enum nyɛ ne mfikyir asaase ntwa ho nhyia.", ""
"EZK.45.3", "Na nsusui yi ara mu na susu dza ne tsentsen yɛ basafa mpem duebien nye ahaenum, na ne tɛtɛr yɛ mpemdu: na iyi mu na krɔnkrɔnbea no, akrɔnkrɔndze mu akrɔnkrɔndze no nsi.", ""
"EZK.45.4", "Asaase no mu akrɔnkrɔndze nye no, ɔnyɛ asɔfo no dze, krɔnkrɔnbea asomfo a wɔtwe bɛn bɔsom EWURADZE; na ɔnyɛ hɔn adan sisibea, na bea krɔnkrɔn mma krɔnkrɔnbea no.", ""
"EZK.45.5", "Na dza ne tsentsen yɛ basafa mpem duebien nye ahaenum, na ne tɛtɛr yɛ basafa mpemenum no ɔnyɛ Levifo a wɔyɛ fi no mu asomfo no dze, ɔnyɛ hɔnankasa hɔn kyɛfa, mpia eduonu.", ""
"EZK.45.6", "Na hom nyi kurow no ne kyɛfa a ne tɛtɛr yɛ basafa mpem ebien nye ahaenum, na ne tsentsen yɛ basafa mpem duebien nye ahaenum wɔ krɔnkrɔnbea ayɛyɛdze no ne nkyɛn: na ɔnyɛ Israel fifo no nyinara dze.", ""
"EZK.45.7", "Na bapɔmba no n’afamudze biara ɔda ayɛyɛdze krɔnkrɔn na kurow no ne kyɛfa ha na ha, wɔ ayɛyɛdze krɔnkrɔn no enyim, na kurow no ne kyɛfa enyim, wɔ anee afamu dze rokɔ anee, na boka afamu dze rokɔ boka: na ne tsentsen ɔnye kyɛfa no mu kor nsɛ, mfi anee he do nkɔ boka he do.", ""
"EZK.45.8", "Asaase no do ɔnyɛ ne kyɛfa wɔ Israel mu: na mma me mbapɔmba nnda ho nnhyɛ me man do bio; na mbom wɔmfa asaase no mma Israel fifo dɛ mbrɛ hɔn mbusuakuw tsetsee.", ""
"EZK.45.9", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Israel mbapɔmba, hom mma ɔndɔɔ hom so: hom nyi emimdzi na nhyɛdo, na hom nyɛ atsɛmbudze na pɛrpɛr; hom ngyaa me man epoobɔ, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.45.10", "Hom nya nsɛn tsenn, na efa tsenn, na  bat  tsenn.", "#Lev 19.36 #45.10 BAT: Bɛyɛ dɛ galɔn du."
"EZK.45.11", "Esusudze efa na bat nsusui nyɛ kor, na bat no nyɛ esusudze homer nkyɛmu du mu kor, na efa no nyɛ homer nkyɛmu du mu kor: no nsusui nyɛ dɛ homer dze.", ""
"EZK.45.12", "Na dwetɛbona nyɛ gera eduonu: hom mina nyɛ dwetɛbona eduonu, dwetɛbona eduonu enum, dwetɛbona duenum.", ""
"EZK.45.13", "Iyi nye ayɛyɛdze a hom mfa mma; ewifua homer mu efa nkyɛmu esia mu kor, na hom mfa atoko homer mu efa nkyɛmu esia mu kor mma:", ""
"EZK.45.14", "na ngo ho nhyehyɛɛ no dze, ngo bat no, bat nkyɛmu du mu kor na hom mfa mfi susukora a ɔyɛ homer a odzi bat du no mu ma; na bat du ɔyɛ homer kor:", ""
"EZK.45.15", "na eguambaa kor mfi nguankuw no mu, nguan ahaenu a wɔwɔ Israel dzidzibea a ɔyɛ fɔɔfɔɔ no mu; ma ɔnyɛ edziban afɔr na hyew afɔr, na asomdwee afɔr, mfa mpata mma hɔn, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.45.16", "Asaase no do nkorɔfo nyinara mfa ayɛyɛdze yi mma Israel mu bapɔmba.", ""
"EZK.45.17", "Na bapɔmba no n’afamu dze nye dɛ ɔma hyew afɔr na edziban afɔr, na ɔnom afɔr, wɔ afahyɛ no mu, na abosoom fofor no mu, na ahomgyenda no mu, wɔ Israel fifo afahyɛ a wɔahyehyɛ nyinara mu: ɔno na onsiesie bɔn ho afɔr no, na edziban afɔr no, na hyew afɔr no na asomdwee afɔr no wɔdze ayɛ mpata ama Israel fifo.", ""
"EZK.45.18", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Bosoom a odzi kan no mu no, bosoom no ne da a odzi kan no mu no, fa nantwifɔr a onndzii dzɛm; na tsew krɔnkrɔnbea no ho.", ""
"EZK.45.19", "Na sɔfo no mfa bɔn ho afɔr no bɔgyaa no bi, na ɔmfa ngugu fi no n’apondua no, na afɔrmbukyia no ne bamba aduodoo anan no na fie afamu abangua no n’abobokɛse apondua no ho.", ""
"EZK.45.20", "Na dɛmara na hom nyɛ no bosoom no ne da a otsia esuon no mma biara a ɔfom, na nyia ɔyɛ kotobonyi no: dɛm na hom mfa nyɛ mpata mma fi no.", ""
"EZK.45.21", "Na bosoom a odzi kan no, ne da a otsia duanan no, hom ndzi apaho no, ndaesuon afahyɛ no; epitsi na wondzi.", "#Eks 12.1-20; Nka 28.16-25"
"EZK.45.22", "Na da no mu no bapɔmba no mfa nantwinyin nsiesie nankasa na asaase no do nkorɔfo nyinara tsir do bɔn ho afɔr.", ""
"EZK.45.23", "Na afahyɛ no ne ndaesuon no, onsiesie hyew afɔr mma EWURADZE, anantwinyin esuon na nguannyin esuon a wonndzii dzɛm daa daa ndaesuon; na bɔn ho afɔr so apɔnkyenyin daa daa.", ""
"EZK.45.24", "Na onsiesie edziban afɔr so, nantwinyin kor dze efah kor na dwanyin kor dze efa kor, na ngo hin kor nka efa kor ho.", ""
"EZK.45.25", "Bosoom a otsia esuon no mu, bosoom ne da a otsia duenum no mu, afahyɛ no mu, ɔnyɛ dɛmara ndaesuon: dɛ mbrɛ bɔn ho afɔr no tse, dɛ mbrɛ hyew afɔr no tse, na dɛ mbrɛ edziban afɔr no tse, na dɛ mbrɛ ngo no tse.", "#Lev 23.33-36; Nka 29.12-38"
