"EZK.14.1", "Nna Israel mpanyimfo no bi baa me nkyɛn na wɔtsenatsenaa m’enyim.", ""
"EZK.14.2", "Na EWURADZE n’asɛm baa mo hɔ, dɛ;", ""
"EZK.14.3", "Onyimpa ba, mbarimba yi wɔdze hɔn abosom esuma hɔn akoma mu, na wɔdze hɔn emumuyɛ ne fintsidua esi hɔn enyim: aso ɔsɛ dɛ wɔba mo hɔ ebisa?", ""
"EZK.14.4", "Dɛm ntsi kasa kyerɛ hɔn na se hɔn dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Israel fi mu ɔbarimba biara a ɔdze n’abosom bosuma n’akoma mu, na ɔdze n’emumuyɛ ho fintsidua esi n’enyim, na ɔaba nkɔnhyɛnyi hɔ no; emi EWURADZE mubobua no wɔ mu dɛ mbrɛ n’abosom dodow tse;", ""
"EZK.14.5", "ama meesuo Israelmba mu wɔ hɔnara hɔn akoma mu, osiandɛ wɔnam hɔn abosom do atsew hɔnho efi me nkyɛn.", ""
"EZK.14.6", "Dɛm ntsi se Israelmba dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Hom nsan, na hom ndan hom ho mfi hom abosom ho; na hom ndan hom enyi mfi hom ekyiwadze nyinara ho.", ""
"EZK.14.7", "Na Israelmba anaa ahɔho a wɔakɛyɛ amamforafo wɔ Israel no mu obiara a ɔbɛtsew noho efi me nkyɛn na ɔdze n’abosom esuma n’akoma mu, na ɔdze n’emumuyɛ ho fintsidua esi n’enyi do, na ɔaba nkɔnhyɛnyi hɔ ebebisa mo hɔ adze no; emi EWURADZE mara na mubobua no:", ""
"EZK.14.8", "na medze m’enyi bɛsa nyimpa no, na mayɛ no ahobowdze ma ɔaayɛ asɛnkyerɛdze na kasabɛbu na mubotwa no efi me man mu akyen; na hom bohu dɛ emi nye EWURADZE.", ""
"EZK.14.9", "Na sɛ nkɔnhyɛnyi bi wɔdaadaa no ma ɔka asɛm bi a, emi EWURADZE na madaadaa nkɔnhyɛnyi no, na mebɛtsen me nsa wɔ no do, na masɛɛ no efi me man Israel mu.", ""
"EZK.14.10", "Na wɔbɔsoa hɔn emumuyɛ: nkɔnhyɛnyi n’emumuyɛ bɛyɛ dɛ nyia ɔba no hɔ no n’emumuyɛ no ara;", ""
"EZK.14.11", "amma Israelmba aanntɔ gon emmfi me nkyɛn bio, eso wɔaammfa hɔn mbrato eenngu hɔnho fi bio; na mbom ama wɔaayɛ me man na emi so maayɛ hɔn Nyankopɔn, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.14.12", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"EZK.14.13", "Onyimpa ba, sɛ asaase bi dze mbrato yɛ me bɔn, na metsen me nsa wɔ no do, na mubu n’edziban dua mu, na mema kɔm ba do, na mutwa nyimpa, na abowa fi do kyen;", ""
"EZK.14.14", "kaansa mbarimba baasa yi, Noa, Daniel, na Job, wɔ hɔ mpo a, hɔnara hɔn akra ara na wɔnam hɔn tsenenee do bɛgye, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.14.15", "Sɛ mema mbowa bɔn kyin asaase no do, na wɔsɛɛ no, ma ɔyɛ afo, ma biara nndua do wɔ mbowa ntsi a:", ""
"EZK.14.16", "kaansa mbarimba baasa yi wɔ mu a, dɛ metse ase yi, EWURADZE Nyankopɔn na ɔse, wɔrenngye mbabanyin anaa mbabaa; hɔnara nko na wɔbɛgye hɔn, na asaase no dze, ɔbɛyɛ afo.", ""
"EZK.14.17", "Anaaso sɛ medze afona ba asaase no do, na mese dɛ, Afona e, fa asaase no do ɛ; ma muntwa nyimpa na abowa fi do nkyen;", ""
"EZK.14.18", "kaansa mbarimba baasa yi wɔ hɔ mpo a, dɛ metse ase yi, EWURADZE Nyankopɔn na ɔse, wɔrenngye mbabanyin anaa mbabaa, na hɔnara nko na wɔbɛgye hɔn.", ""
"EZK.14.19", "Anaaso sɛ mosoma yardɔm ba asaase no do, na muhue m’ebufuhyew gu do wɔ bɔgya mu, dɛ murutwa nyimpa na abowa mefi do a:", ""
"EZK.14.20", "kaansa Noa, Daniel, na Job wɔ hɔ mpo a, dɛ metse ase yi, EWURADZE Nyankopɔn na ɔse, wɔrenngye babanyin anaa babaa; hɔnara hɔn akra ara na wɔnam hɔn tsenenee do bɛgye.", ""
"EZK.14.21", "Na mbrɛ EWURADZE Nyankopɔn se nye iyi: Na akantam dɛ mobɔsoma m’atsɛmbudze yerɛyerɛw anan, afona, na kɔm, na mbowa bɔn, na yardɔm maba Jerusalɛm do eebotwa nyimpa na abowa efi mu?", "#Nyi 6.8"
"EZK.14.22", "Naaso, hwɛ, wobegyaa nkaase bi wɔ mu a wɔdze hɔn befir edzi akɔ, mbabanyin na mbabaa nyina: hwɛ, wobefir edzi aba hom nkyɛn, na hom ehu hɔn abrabɔ na hɔn ndzeyɛɛ: na wɔbɛkyekye hom werɛ wɔ mbusu a medze aba Jerusalɛm do no ho, dza medze aba do nyinara no ho a.", ""
"EZK.14.23", "Na wɔbɛkyekye hom werɛ, ber a hom bohu hɔn abrabɔ na hɔn ndzeyɛɛ no: nna hom bohu dɛ dza mayɛ no wɔ mu nyinara nnyɛ kwa ara na mayɛ, EWURADZE Nyankopɔn na ɔse.", ""
