"HAB.1.1", "Iyi nye nsɛm a EWURADZE yii kyerɛɛ nkɔnhyɛnyi Habakuk.", ""
"HAB.1.2", "Ao EWURADZE, menkeka mu ma onkodu dabɛn, ana ɔwo etsie me? Musu frɛ wo wɔ enyimpisɛm ntsi, naaso ɔwo enngye mo do.", ""
"HAB.1.3", "Ɔyɛ dɛn ntsi na ema muhu emumuyɛ, na ɔbrakyew rokɔ do pii na ennyɛ ho hwee yi? Ɔsɛɛ na emimdzi wɔ m’enyim: na aperper wɔ hɔ, na mansotwe so soɛr.", ""
"HAB.1.4", "Dɛm ntsi mbra no mu atow, na atsɛntsenenee nnyi hɔ bio: na omumuyɛfo twa ɔtseneneenyi ho hyia; dɛm ntsi sɛ atsɛmbu ba a, nna ɔakyea.", ""
"HAB.1.5", "Hom nhwɛ amanaman mu, na hom nhu, na hom ho mbow hom bow paara: na mibedzi dwuma bi wɔ hom nda mu a, sɛ wɔka kyerɛ hom mpo a, hom renngye nndzi.", "#Ndwu 13.41"
"HAB.1.6", "Na, hwɛ, muruhuenyan Kaldeafo, ɔman ayamuɔwemfo horopohoropofo a wɔnantsew asaase no ne tɛtɛr mu dɛ wɔrekɛfa tsenambea a ɔnnyɛ hɔndze edzi do.", "#2 Ahe 24.2"
"HAB.1.7", "Hɔn ho yɛ ahomtsew dɛ; na hɔn ho yɛ hu so yie: ahomemadofo a wɔyɛ dza hɔnara wɔpɛ a.", ""
"HAB.1.8", "Hɔn mpɔnkɔ so ho yɛ har sen nsebɔ, na wɔyɛ abɔyafo sen anadwe mpataku; na hɔn mpɔnkɔdofo twetwe hɔn mu kɔ kan: nyew, hɔn mpɔnkɔdofo fi ekyirekyir; na wotu dɛ ɔkɔr a ɔrepɛ ntsɛm akɛmemen adze.", ""
"HAB.1.9", "Hɔn nyinara reba ebedzi emim; hɔn enyi do hyehyeehyew dɛ boka mframa; na wɔsesaw ndɔmmumfo dɛ anhwea.", ""
"HAB.1.10", "Ɛhɛɛ, hɔn dze wosi ahemfo atwetwe, na asafohemfo ho yɛ hɔn serew: wɔserew akoban biara; na wɔhɔr dɛtse pempe, na wɔfa.", ""
"HAB.1.11", "Na wobotwa mu dɛ mframa, na wɔasen akɔ, na oekedzi so: mekyerɛ hɔn a hɔn bosom nye hɔn ahoɔdzen no.", ""
"HAB.1.12", "Ao EWURADZE, me Nyankopɔn, mo Krɔnkrɔnnyi, ana nnyɛ ɔwo na ifi tsetsentserdee no? Ao EWURADZE, nnkɛma yeewuwu osiandɛ atsɛmbu ara na ahyɛ Kaldeafo dɛ wombu hɛn; na ao ɔbotan, hɛn ntsea ara ntsi na edze etsim hɔ.", ""
"HAB.1.13", "Ɔwo a w’enyiwa yɛ krɔnkrɔn a inntum nnhwɛ ndzebɔn ne nyɛe, na eso inntum nnhwɛ ɔbrakyew, ɔyɛ dɛn ntsi na ehwɛ hɔn a wotwa nkontompɔ, na nnka hwee ber a omumuyɛnyi remen nyimpa a ɔtsen sen no no?", ""
"HAB.1.14", "Na afei ayɛ nyimpa dɛ po mu nam, dɛ aweaweambowa a obi nndzi hɔn do panyin.", ""
"HAB.1.15", "Dɛm ntsi wɔdze nkwaba twe hɔn nyina, na wɔdze no eboa fa hɔn, na wɔboaboa hɔn twuwii mu; na wodzi ehurusi na hɔn enyi gye.", ""
"HAB.1.16", "Ne dɛm ntsi omumuyɛnyi no bɔ okum afɔr ma no boa, na ɔhyew huam ma no twuwii; osiandɛ hɔn na wɔma ne kyɛfa tɔ angoa, na n’edziban yɛ pii.", ""
"HAB.1.17", "Aso dɛm ntsi ɔnto no boa pan, na ɔnkɔ do ara nkuku amanaman daa a onnya ayamuhyehye biara?", ""
