"EPH.5.1", "Dɛm ntsi hom nsuasua Nyankopɔn, dɛ hom yɛ ne mba a ɔdɔ hom;", ""
"EPH.5.2", "na hom nnantsew ɔdɔ mu, dɛ mbrɛ Kraest so dɔɔ hom, na ɔdze noho mae maa hɛn, dɛ ayɛyɛdze nye afɔrbɔdze a otu nka huahuam ma Nyankopɔn no.", "#Eks 29.18; Dwom 40.6"
"EPH.5.3", "Dɛ hom yɛ ahotseweefo yi, mma wɔmmbɔ ndwamansɛm anaa efifidze anaa enyiber dzin mpo wɔ hom mu.", ""
"EPH.5.4", "Mma hom mma ɔbra a ɔmmfata, anaa kasafi, anaa fɛwdzi a ɔnnyɛ mfaso mmpue hom mu: na mbom hom nda Nyankopɔn ase.", ""
"EPH.5.5", "Na hom nhu iyi pefee dɛ edwaman biara, obiara a ɔyɛ efifidze anaa onyiberfo (ɔno nye dɛ ɔbosonsɔrnyi) nnyi egyapadze wɔ Kraest nye Nyankopɔn ahendzi no mu.", ""
"EPH.5.6", "Mma obi mmfa nsɛnhun nndaadaa hom: na dɛm ndzɛmba yi ntsi na Nyankopɔn ebufuw reba hɔn wɔyɛ asoɔdzen no do.", ""
"EPH.5.7", "Dɛm ntsi mma hom nye hɔn nnya anyɛnkofa biara:", ""
"EPH.5.8", "na nkan no nkyɛ hom yɛ sum, na afei dze, hom yɛ kan wɔ Ewuradze mu; dɛm ntsi hom nnantsew dɛ hɔn a wɔwɔ kan:", ""
"EPH.5.9", "(osiandɛ kan no n'aba wɔ papayɛ nye tsenenee nye nokwar nyina mu),", ""
"EPH.5.10", "hom nsɔ dza ɔsɔ Ewuradze enyi yie nhwɛ;", ""
"EPH.5.11", "na mma hom nnye sum edwuma a ɔnnsow aba no nnyɛ nyɛnko, na mbom hom ntsia;", ""
"EPH.5.12", "na dza wɔyɛ no nsumaa mu no ɔyɛ enyito dɛ wɔbɔ dzin mpo.", ""
"EPH.5.13", "Na ndzɛmba biara a kan no da no edzi no bɛyɛ kan ma wohu.", ""
"EPH.5.14", "Dɛm ntsi ɔse, Nyan, ɔwo a ada! Soɛr fi ewufo mu, na Kraest bɛhyerɛn wo do.", ""
"EPH.5.15", "Dɛm ntsi hom nhwɛ yie mbrɛ hom si nantsew, nnyɛ dɛ nkwasea na mbom dɛ enyansafo;", ""
"EPH.5.16", "hom mfa mber a hom nya no ndzi dwuma pa, osiandɛ mber no yɛ mber bɔn.", "#Kol 4.5"
"EPH.5.17", "Dɛm ntsi mma hom nnyɛ nkwasea, na mbom hom nhu dza Ewuradze pɛ.", ""
"EPH.5.18", "Eso mma hom mmbow nsa; osiandɛ ɔno na ɔdze sakasakayɛ ba, na mbom hom mma Sunsum no nhyɛ hom ma;", ""
"EPH.5.19", "ber a hom dze nsankudwom, ayɛyindwom nye sunsum mu ndwom rekasa kyerɛ homho no, na hom mfa hom akoma ntow ndwom enyigye mu mma Ewuradze.", "#Kol 3.16, 17"
"EPH.5.20", "Adze nyina mu no, hom nda Nyankopɔn Egya no ase daa wɔ Jesus Kraest dzin mu.", ""
"EPH.5.21", "Hom mfa Kraest mu suro mbrɛ homho adze mmema homho nkorkor.", ""
"EPH.5.22", "Yernom, hom mbrɛ homho adze mma homankasa hom kunnom dɛ hom dze ma Ewuradze.", "#Kol 3.18; 1 Pet 3.1"
"EPH.5.23", "Na okun no yɛ yer no ne tsir dɛ mbrɛ Kraest so yɛ asɔr no ne tsir, ɔno a ɔyɛ ne nyimpadua n'agyenkwa no.", ""
"EPH.5.24", "Na dɛ mbrɛ asɔr brɛ noho adze ma Kraest no, dɛmara na yernom so nyɛ mma hɔn kunnom wɔ adze nyina mu.", ""
"EPH.5.25", "Kunnom, hom ndɔ hom yernom dɛ mbrɛ Kraest so dɔɔ asɔr no, na ɔdze no nkwa too hɔ maa no no:", "#Kol 3.19; 1 Pet 3.7"
"EPH.5.26", "ama ɔayɛ no krɔnkrɔn, dɛ ɔdze nsuguar no atsew ho wɔ asɛm no mu,", ""
"EPH.5.27", "ama oeetu asɔr no esi hɔ ama nankasa noho, dɛ enyimnyam asɔr a onnyi nkekaa anaa mpomponee, anaa biribiara a ɔtse dɛm, na mbom ɔyɛ krɔnkrɔn na onndzii dzɛm.", ""
"EPH.5.28", "Dɛmara na ɔsɛ dɛ kunnom dɔ hɔnankasa hɔn yernom, dɛ hɔnankasa hɔn honam. Nyia ɔdɔ nankasa ne yer no, ɔdɔ nankasa noho:", ""
"EPH.5.29", "osiandɛ obiara nntan nankasa no honam pɛn, na mbom ɔnyɛn no na ɔhwɛ no yie, dɛ mbrɛ Kraest so yɛ ma asɔr no;", ""
"EPH.5.30", "na yɛyɛ ne nyimpadua ho akwaa.", ""
"EPH.5.31", "Iyi ntsi na banyin begya n'egya nye ne na hɔ, na ɔdze noho akɛbata ne yer ho, na hɔn beenu no ayɛ honankor.", "#Gye 2.24"
"EPH.5.32", "Esumasɛm yi so: na emi dze maka no Kraest nye asɔr no ho.", ""
"EPH.5.33", "Na hom so, obiara ndɔ nankasa ne yer dɛ mbrɛ ɔdɔ nankasa noho, na ɔyer so ondzi no kun nyi.", ""
