"1TI.1.1", "Paul, Kraest Jesus somafo, dɛ mbrɛ hɛn Agyenkwa Nyame nye hɛn enyidado Kraest Jesus n'ahyɛdze tse;", ""
"1TI.1.2", "dze kɛma Timoti, mo nokwar ba wɔ gyedzi mu; Adom, mbɔbɔrhu nye asomdwee mfi Egya Nyankopɔn nye Kraest Jesus hɛn Ewuradze hɔ nka wo.", "#Ndwu 16.1"
"1TI.1.3", "Dɛ mbrɛ morokɔ Masidonia a meserɛɛ wo dɛ tsena Efeso na eetu binom fo, amma wɔaamma nkyerɛkyerɛ fofor bi,", ""
"1TI.1.4", "na eso woeenntsie anansesɛm nye nananom edzin a wɔkan a wonnwie da a ɔdze nsɛmbisa ba kyɛn Nyankopɔn ne fihwɛ a ɔwɔ gyedzi mu no; dɛmara so na meyɛ no sesei.", ""
"1TI.1.5", "Na ahyɛdze no no botae nye ɔdɔ a ofi akoma a no mu tsew mu nye tsibowa pa nye nokwar gyedzi mu no.", ""
"1TI.1.6", "Ɔno na binom apaa efi ho akɔ nsɛnhun mu;", ""
"1TI.1.7", "wɔpɛ dɛ wɔyɛ mbrakyerɛfo, naaso wɔnntse dza hɔnara wɔka no ase, na dza wɔhom do dzendzen ka ho asɛm no so wonnyim n'adzeban.", ""
"1TI.1.8", "Na hɛn dze, yenyim dɛ mbra no, sɛ obi dzi do nokwar mu a, oye,", ""
"1TI.1.9", "dɛ yenyim dɛ mbra wɔnnhyɛ nnto hɔ mma ɔtseneneenyi, na mbom wɔhyɛe maa mbratofo nye asoɔdzenfo, hɔn a wonnsuro Nyankopɔn, nye ndzebɔnyɛfo, hɔn a hɔn ho nntsew, nye hɔn a hɔn ho egu fi, hɔn a woku hɔn egyanom nye hɔn nanom, nye nyimpakumfo nyina,", ""
"1TI.1.10", "ndwaman, hɔn a wɔnye mbarimba deda, edwotwafo, atorfo, ntamtofo, ɔnye biribiara a otsia nkyerɛkyerɛ pa no;", ""
"1TI.1.11", "dɛ mbrɛ Osiarfo Nyankopɔn n'enyimnyam asɛmpa a wɔdze hyɛɛ me nsa no tse.", ""
"1TI.1.12", "Na meda Kraest Jesus, hɛn Ewuradze a ɔhyɛɛ me dzen no dɛ oebu me nokwafo dze me ahyɛ ɔsom no mu no ase;", ""
"1TI.1.13", "emi a nkyɛ nkan no meyɛ busuyɛnyi nye ɔhonankanyi nye ɔbofo, naaso minyaa ehumbɔbɔr; osiandɛ minnyim na meyɛe wɔ ekyingye mu;", ""
"1TI.1.14", "na hɛn Ewuradze n'adom dɔɔ so mbordo maa me na ɔmaa me gyedzi nye dɔ a ɔwɔ Kraest Jesus mu no.", ""
"1TI.1.15", "Ɔyɛ nokwasɛm a ɔsɛ dɛ wɔgye pen koraa, dɛ Kraest Jesus baa wiadze bɛgyee ndzebɔnyɛfo nkwa; hɔn mu otsitsir nye emi;", ""
"1TI.1.16", "na eso iyi ntsi na minyaa ehumbɔbɔr ama ɔnam emi, otsitsir yi mu, Kraest Jesus eeyi ne penkyɛr nyina edzi, ma maayɛ mfatoho ama hɔn a ekyir no wɔbɛgye no edzi akɔ onnyiewiei nkwa mu no.", ""
"1TI.1.17", "Na afei, mbersantsen Hen a ɔtse ase daa, enyiwa nnhu no, na no nkotsee nye Nyankopɔn no, ɔno na enyidzi nye enyimnyam nka no mbersantsen mfesantsen. Amen.", ""
"1TI.1.18", "Me ba Timoti, dɛm kasakyerɛ yi na medze hyɛ wo nsa, dɛ mbrɛ nkɔnhyɛnsɛm a wɔkaa faa wo ho kan no tse no, ama aafa do ako ɔko pa,", ""
"1TI.1.19", "eesuo gyedzi nye tsibowa pa a binom egyaa mu akyen egu esu wɔ gyedzi no ho no mu dzen;", ""
"1TI.1.20", "hɔn mu bi nye Himeneus nye Alɛksanda a meyi hɔn ama Satan, ama woeesua dɛ onnyi dɛ wɔka ebususɛm wɔ Nyankopɔn ho.", ""
