"EXO.12.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron wɔ Egypt asaase do dɛ,", "#Lev 23.5; Nka 9.1-5; 28.16; Deut 16.1, 2"
"EXO.12.2", "Bosoom yi bɛyɛ abosoom ahyɛse ama hom: ɔbɛyɛ afrenhyia mu bosoom a odzi kan ama hom.", ""
"EXO.12.3", "Hom nkasa nkyerɛ Israel mboanofo no nyinara dɛ, Bosoom yi ne da a otsia du no mu, wɔmfefa nguambaa nkorkor, dɛ mbrɛ hom egyanom efiefi tsetsee, fie kor eguambaa kor:", ""
"EXO.12.4", "na sɛ ofidua no suar dodow dze ma eguambaa kor a, ɔno wɔmma ɔnye ne nyɛnko a ɔbɛn ne fi mfa kor dɛ mbrɛ akra no hɔn dodow tse; dɛ mbrɛ nyimpa biara n’edzidzi tse no, na hom mfa mbu eguambaa no ano.", ""
"EXO.12.5", "Hom eguambaa nyɛ dza onndzi dzɛm, onyin a oedzi afrenhyia a: hom nyi no wɔ nkɔsɔw anaa mpɔnkye mu:", ""
"EXO.12.6", "na hom mfa no nsie ma onkodu bosoom kor no ara ne da a otsia duanan no: na Israel mboanofo kuw no nyina nkuku hɔn ewimbir.", ""
"EXO.12.7", "Na wɔmfa bɔgya no bi, na wɔmfa nsera efi a wobedzi no wɔ mu no n’apondua ebien no nye mpondua etsifi no ho.", ""
"EXO.12.8", "Na wondzi nam no anadwe no ara, wɔmfa gya ntoto, na wɔmfa epitsi boodoo, nye fan wenwen ndzi.", ""
"EXO.12.9", "Mma wonndzi no amon, nkyii so mma wɔmmfa nsu nnoa, mbom wɔmfa gya ntoto; ne tsir nye no ntwɛr na ɔnye n’ayamudze no.", ""
"EXO.12.10", "Na mma hom mma no ho biribiara nnka ma adze nnkye do; na dza ɔbɛka ma adze akye do no hom mfa gya nhyew.", ""
"EXO.12.11", "Na mbrɛ hom ndzi no nye yi; hom mbobɔ hom asen do, hom mpaboa nhyehyɛ hom anan, na hom mpoma nkitsakitsa hom nsamu: na hom ndzi no ɔhar do: ɔyɛ EWURADZE apaho.", ""
"EXO.12.12", "Osiandɛ mubotwa mu wɔ Egypt asaase do anadwe no, na muboku Egypt asaase do mbakan nyinara, nyimpa nye mbowa nyina; na mubobu Egypt enyame nyinara ntsɛn: emi nye EWURADZE.", ""
"EXO.12.13", "Na bɔgya no bɛyɛ asɛnkyerɛdze ama hom wɔ efi a hom wɔ mu no ho: na sɛ muhu mbɔgya no a, mebɛpa hom ho, na ɔyardɔm bi nnkɛba hom do abɛsɛɛ hom, sɛ morobɔbɔ Egypt asaase no a.", ""
"EXO.12.14", "Na da yi nyɛ nkaa mma hom, na hom nhyɛ no fa mma EWURADZE: hom mfa mbra do nyɛ no afahyɛ wɔ hom ebusuasantsen mu daa.", "#Eks 23.15; 34.18; Lev 23.6-8; Nka 28.17-25; Deut 16.3-8"
"EXO.12.15", "Nda esuon na hom ndzi epitsi boodoo; da a odzi kan no ara na hom nyi mbɔrkaw mfi hom efiefi: na obiara a obedzi mbɔrkaw boodoo ofitsi da a odzi kan no do dze kodu da a otsia esuon no do no, ɔkra no wobotwa no efi Israel.", ""
"EXO.12.16", "Na da a odzi kan no hom nyɛ no nhyiamu krɔnkrɔn, na da a otsia esuon no so nhyiamu krɔnkrɔn; mma wɔnnyɛ edwuma biara wɔ mu, gyedɛ dza nyimpa biara bedzi nko na hom nyɛ.", ""
"EXO.12.17", "Na hom ndwen epitsi afahyɛ no do; na dɛm da yi ara so na miyii hom dɔm no mifii Egypt asaase do: dɛm ntsi hom ndwen da yi do wɔ hom ebusuasantsen mu nyɛ no mbra daa.", ""
"EXO.12.18", "Bosoom a odzi kan no mu, bosoom no mu da a otsia duanan ewimbir no, na hom ndzi epitsi ma onkodu bosoom no mu da a otsia eduonu biako ewimbir.", ""
