"EXO.14.1", "Na EWURADZE kaa kyerɛɛ Moses dɛ,", ""
"EXO.14.2", "Ka kyerɛ Israelmba dɛ wɔnsan hɔn ekyir na wɔnkɛkyer nsera wɔ Pi-hahirot a wɔ Migidɔl nye Mbɛw po  no ntamu na ɔbɛn Baal-zefon no enyim: ne tsentsendo na hom nkyer nsera no wɔ po no ne nkyɛn.", "#14.2 MBƐW PO: Dɛm po yi ara so na wɔfrɛ no Po kɔkɔɔ no."
"EXO.14.3", "Na Farao bɛse wɔ Israelmba ho dɛ, Wɔatoto wɔ asaase no do, sar no atow hɔn mu.", ""
"EXO.14.4", "Na mibepirim Farao n’akoma, na obetsiw hom; na mebɛhyɛ m’enyim nyam wɔ Farao nye no dɔm nyinara do; na Egyptfo bohu dɛ emi nye EWURADZE. Na wɔyɛɛ dɛm.", ""
"EXO.14.5", "Na wɔkaa kyerɛɛ Egypthen no dɛ ɔman no eguan kɔ: na Farao nye no nkowaa no hɔn akoma sakyeree wɔ ɔman no ho, na wɔsee dɛ, Ebɛnadze na yɛayɛ yi, dɛ yɛama Israel egyaa hɛn som kɔ yi?", ""
"EXO.14.6", "Na ɔhyehyɛɛ ne tseaseanam, na ɔfaa ne man kaa no ho:", ""
"EXO.14.7", "na ɔfaa ntseaseanam a wɔasan mu eyi ahaesia, na Egypt ntseaseanam nyinara, na hɔn nyinara hɔn do asafohemfo.", ""
"EXO.14.8", "Na EWURADZE piriim Egypthen Farao n’akoma, na otsiiw Israelmba no: na Israelmba no dze ahosɛpɛw kɛse fiir edzi kɔree.", ""
"EXO.14.9", "Na Egyptfo tsiiw hɔn, Farao no mpɔnkɔ nye ne ntseaseanam nyinara, nye no mpɔnkɔdofo, nye no dɔm no, na wɔbɔtoo hɔn dɛ wɔakyer nsera wɔ po no ano, Pi-hahirot nkyɛn, wɔ Baal-zefon enyim.", ""
"EXO.14.10", "Na aber a Farao bɛnee no, Israel memaa hɔn enyi do, na, hwɛ, Egyptfo etu dzi hɔn ekyir reba; na wosuroo dodow; na Israelmba no sui frɛɛ EWURADZE.", ""
"EXO.14.11", "Na wɔsee Moses dɛ, Osiandɛ ndakamona nnyi Egypt ntsi, na eyi hɛn hɔ ma yerubowuwu wɔ sar do yi? Ebɛnadze ntsi na enye hɛn edzi no dɛm yi, dɛ iyii hɛn fii Egypt bae yi?", ""
"EXO.14.12", "Ana nnyɛ yi nye asɛm a yɛkaa kyerɛɛ wo wɔ Egypt no, dɛ, Gyaa hɛn ma yɛnsom Egyptfo no? Osiandɛ nkyɛ obeye ama hɛn dɛ yɛbɔsom Egyptfo mbom sen dɛ yebowuwu wɔ sar do.", ""
"EXO.14.13", "Na Moses see ɔman no dɛ, Mma hom nnsuro, hom ngyina dzinn, na hom nhwɛ EWURADZE no nkwagye a ɔrebɛyɛ akyerɛ hom ndɛ da yi: na Egyptfo a hom ehu hɔn ndɛ da yi, hom nnkohu hɔn bio dabiarada.", ""
"EXO.14.14", "EWURADZE bɔko ama hom, na hom nka hom ano nto mu.", ""
"EXO.14.15", "Na EWURADZE bisaa Moses dɛ, Ebɛnadze ntsi na isu frɛ me yi? Kasa kyerɛ Israelmba, ma wɔnkɔ kan.", ""
"EXO.14.16", "Na ma wo poma no do, na tsen wo nsa wɔ po no do, na paa mu: na Israelmba nnantsew mfa po no ne finimfin wɔ daadze kɛsɛɛ do.", ""
"EXO.14.17", "Na emi, hwɛ, mibepirim Egyptfo akoma, na wobedzi hom ekyir: na mebɛhyɛ m’enyim nyam wɔ Farao do, nye no mpɔnkɔdofo do.", ""
"EXO.14.18", "Na Egyptfo no bohu dɛ emi nye EWURADZE, aber a mahyɛ m’enyim nyam wɔ Farao do, ne ntseaseanam do, nye no mpɔnkɔdofo do no.", ""
"EXO.14.19", "Na Nyankopɔn no bɔfoe a odzi Israel nseraban enyim no, ɔtwee noho na okedzii hɔn ekyir; na mununkum dum no twee fii hɔn enyim, na okegyinaa hɔn ekyir:", ""
"EXO.14.20", "na ɔbaa Egypt nseraban no nye Israel nseraban no ntamu; na ɔyɛɛ mununkum nye sum, naaso ɔmaa kan anadwe: na kor ammba kor nkyɛn anadwe ne nyinara.", ""
"EXO.14.21", "Na Moses tseen ne nsa wɔ po no do; na EWURADZE dze boka mframa dzendzen maa po no kɔr ekyir anadwe no nyinara, na ɔyɛɛ po no asaase kɛsɛɛ, na nsu no mu paae.", ""
"EXO.14.22", "Na Israelmba no nantsewee faa po no ne finimfin wɔ daadze kɛsɛɛ no do: na nsu no yɛɛ hɔn fadum wɔ hɔn nsa enyimfa, nye hɔn abankum.", "#1 Kor 10.1, 2; Heb 11.29"
"EXO.14.23", "Na Egyptfo no tsiiw hɔn, na wodzii hɔn ekyir kɔr po no ne finimfin, Farao no mpɔnkɔ, ne ntseaseanam, nye no mpɔnkɔdofo nyinara.", ""
"EXO.14.24", "Na ɔbaa dɛ anapa dasu mu no, EWURADZE nam ogya nye mununkum dum no mu hwɛɛ Egyptfo dɔm no, na ɔkaa Egyptfo dɔm no gui.", ""
