"EXO.25.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"EXO.25.2", "Ka kyerɛ Israelmba ma wɔmfa ayɛyɛdze mbrɛ me: nyimpa biara a n’akoma pɛ no no hɔ na hom ngye m’ayɛyɛdze.", ""
"EXO.25.3", "Na iyi nye ayɛyɛdze a hom ngye no wɔ hɔn hɔ; sika, nye dwetɛ, nye boran;", ""
"EXO.25.4", "nye bibir, nye ɔberdum, nye serdaa, nye ndwera fɛɛfɛw, nye mpɔnkyenhwi;", ""
"EXO.25.5", "nye nguannyin nwoma a wɔahyɛ no memen, nye nsukraman nwoma; nye akeesia dua;", ""
"EXO.25.6", "kandzea ho ngo, ɔserango ho nduhuam, nye nduhuam a wɔhyew ho edur;", ""
"EXO.25.7", "abo a no su tse dɛ epopobibir, nye abo a wɔdze besisi egugudo no, nye akatabo no mu no.", ""
"EXO.25.8", "Na ma wɔnyɛ krɔnkrɔnbea mma me; ma maatsena hɔn mu.", ""
"EXO.25.9", "Dɛ mbrɛ merekyerɛ wo no nyinara, ntamadan no saso, nye no mu ndzɛmba nyinara ne saso, dɛmara pɛ na hom nyɛ no.", ""
"EXO.25.10", "Na wɔnyɛ akeesia dua adaka: ne tsentsen nyɛ bɛyɛ basafa kor na fa, na ne tɛtɛr bɛyɛ anamɔn ebien na fa, na no krɔn so bɛyɛ anamɔn ebien na fa.", ""
"EXO.25.11", "Na fa sika mapa dura ho, no mu nye n’ekyir na fa dura, na yɛ ho sika hankra twa ho hyia.", ""
"EXO.25.12", "Na gu no ho sika nkaba anan, na fa tuatua n’anan anan no ho; na nkaba ebien ndzi n’afa fakor, na nkaba ebien ndzi n’afa no ho.", ""
"EXO.25.13", "Na fa dua sian mpoma, na fa sika dura ho.", ""
"EXO.25.14", "Na fa mpoma no hyehyɛ nkaba no mu wɔ adaka no ne nkyɛn mu, ma wɔmfa nsoa adaka no.", ""
"EXO.25.15", "Mpoma no nhyehyɛ adaka no ne nkaba no mu: mma wonnyiyi mmfi mu.", ""
"EXO.25.16", "Na fa dase a medze mebɛma wo no to adaka no mu.", ""
"EXO.25.17", "Na fa sika mapa yɛ mbɔbɔrhu egua: ne tsentsen nyɛ bɛyɛ basafa kor nye fa, na ne tɛtɛr bɛyɛ anamɔn ebien nye fa.", "#Heb 9.5"
"EXO.25.18", "Na yɛ sika kerubim ebien; ɔbor edwuma na fa yɛ, wɔ mbɔbɔrhu egua ne tsir ebien no do.", ""
"EXO.25.19", "Na yɛ kerubim kor wɔ ne tsir kor, nye kerubim kor wɔ ne tsir kor so: mbɔbɔrhu egua no mu na hom mma kerubim ebien no mfi wɔ ne tsir ebien no do.", ""
"EXO.25.20", "Na kerubim no ntserɛtserɛw hɔn ntsaban mu wɔ ɔsor, mfa hɔn ntsaban no nkata mbɔbɔrhu egua no do, hɔn enyim ndzi abɔenyim; mbɔbɔrhu egua no do na kerubim no hɔn enyim mbedzi.", ""
"EXO.25.21", "Na fa mbɔbɔrhu egua no si adaka no do sor; na adaka no mu na fa dase a medze mebɛma wo no to.", ""
"EXO.25.22", "Na hɔ na menye wo behyia, na mefi mbɔbɔrhu egua no do wɔ kerubim ebien a wɔwɔ dasedaka no do no ntamu maka wo ndzɛmba a mebɛhyɛ wo dɛ fa kyerɛ Israelmba no nyinara ho nsɛm.", ""
"EXO.25.23", "Na fa akeesia dua pon: ne tsentsen nyɛ basafa kor, ne tɛtɛr anamɔn kor nye fa, na no krɔn bɛyɛ anamɔn ebien nye fa.", ""
"EXO.25.24", "Na fa sika mapa dura ho, na yɛ ho sika hankra hyia.", ""
"EXO.25.25", "Na yɛ ho ntotoano a ɔbɛyɛ nsatseama  hyia, na yɛ ntotoano no ho sika hankra hyia.", "#25.25 NSATSEAMA: Iyi yɛ abasamu kor ne tsentsen."
"EXO.25.26", "Na yɛ ho sika nkaba anan, na fa nkaba no sisi nkutuw anan a ɔwowɔ n’anan anan no ho no do.", ""
"EXO.25.27", "Ntotoano no nkyɛn papaapa na nkaba no ndzi, ma ɔnyɛ beebi mbrɛ wɔdze mpoma no bɛhyehyɛ dze asoa ɔpon no.", ""
"EXO.25.28", "Na fa akeesia dua sinsian mpoma no, na fa sika duradura ho, ama wɔdze aasoa pon no.", ""
"EXO.25.29", "Na yɛ do mboyaa, nye ntser, nye nkɔɔpow, nye nkorbaa a wɔdze bohue: sika mapa na fa yɛ.", ""
"EXO.25.30", "Na fa kyerɛpaanoo si pon no do wɔ m’enyim daa.", "#Lev 24.5-8"
"EXO.25.31", "Na fa sika mapa yɛ kandzeadua: ɔbor edwuma na fa yɛ kandzeadua no, n’anan, nye no dua; no ho mpokuwa, no nkukuduuduw, nye ne nhyiren, mfi sin kor no ara mu:", ""
"EXO.25.32", "na abaw esia mfifi ne nkyɛn mu; kandzeadua n’abaw ebiasa mfi n’afa fakor, na kandzeadua no n’abaw ebiasa so mfi n’afa kor so:", ""
"EXO.25.33", "mpokuwa ebiasa a wɔayɛ no dɛ almɔnd nhyiren wɔ abaw kor ho, kukuduuduw nye nhyiren; na mpokuwa ebiasa a wɔayɛ no dɛ almɔnd nhyiren wɔ abaw kor no so ho, kukuduuduw nye nhyiren: dɛm na yɛ wɔ abaw esia a efifir wɔ kandzeadua no ho no ho:", ""
"EXO.25.34", "na kandzeadua no ho mpokuwa anan a wɔayɛ no dɛ almɔnd nhyiren, no kukuduuduw nye ne nhyiren:", ""
"EXO.25.35", "na kukuduuduw nhyɛ abaw ebien a otuatua ho no ase, na kukuduuduw nhyɛ abaw ebien a otuatua ho no ase, na kukuduuduw nhyɛ abaw ebien a otuatua ho no ase wɔ abaw esia a efifir kandzeadua no mu no ase.", ""
