"JOL.3.1", "Na, hwɛ, nda na ber no mu a medze Juda na Jerusalɛm ndɔmmum bɛsan aba bio no,", ""
"JOL.3.2", "mobɔboa amanaman nyina ano, na medze hɔn aba Jehosafat bɔnsa no mu; na menye hɔn edzi asɛm wɔ me man na m'egyapadze Israel ntsi, dɛ wɔabɔ hɔn apetse amanaman, na wɔakyɛ m'asaase mu.", ""
"JOL.3.3", "Na wɔatwe me man ho tonto: na wɔdze abanyimbasiaba apɛ edwaman, na wɔatɔn akataasia agye nsa anom.", ""
"JOL.3.4", "Hom reyɛ me dɛn, ao Taere, na Zidon, na Filistia amantɔw nyina? Ana hom bɛyɛ biribi ahyɛ me ananmu? Na sɛ hom yɛ biribi hyɛ me ananmu a, ɔhardo ntsɛmara na mebɛdan hom ahyɛnanmu no egu hom etsifi.", "#Isa 14.29-31; 23.1-18; Jer 47.1-7; Eze 25.15—28.26; Amos 1.6-10; Zef 2.4-7; Zek 9.1-7; Mat 11.21-22; Luk 10.13-14"
"JOL.3.5", "Osiandɛ hom afa mo dwetɛ na me sika, na hom dze m'afɛɛfɛdze papa no nyina kɔ hom asɔrdan no mu;", ""
"JOL.3.6", "hom atɔn Judamba so na Jerusalɛm mba ama Griikfo mba, ama hom eeyi hɔn efi hɔn he do akɔ ekyirekyir:", ""
"JOL.3.7", "hwɛ, mibekenyan hɔn efi mbrɛ hom tontɔɔn hɔn kɔree no, na madan hom ahyɛnanmu no ebua homankasa hom etsifi;", ""
"JOL.3.8", "na mobɔtɔn hom mbabanyin na hom mbabaa ahyɛ Judamba nsa, na wɔbɔtɔn hɔn ama Seba mba, ɔman a wɔwɔ ekyirekyir; EWURADZE na ɔaka.", ""
"JOL.3.9", "Hom mbɔ yi dawur wɔ amanaman mu; hom nkyer ɔsa: hom nkenyan mbarimba akatakyi no; hom mma akofo nyina ntwe mbɛn, wɔmfow mbra.", ""
"JOL.3.10", "Hom mfa hom nsɔw mbobɔ mfona, na hom mfa hom ndar mbobɔ mpeaa: onyia ɔyɛ mberɛw nka dɛ, Meyɛ dzen.", "#Isa 2.4; Mika 4.3"
"JOL.3.11", "Hom nyɛ ntsɛm mbra, hom amanaman a woetwa ehyia nyina, na hom mboa hom ano mbehyia. Ao EWURADZE, hɔ na ma w'akatakyi no wonsian mbra.", ""
"JOL.3.12", "Amanaman nkenyan hɔnho, na wontu mbra Jehosafat bɔnsa no mu: na hɔ na mebɛtsena ase mebu amanaman a woetwa ehyia nyinara atsɛn.", ""
"JOL.3.13", "Hom mfa kantankrankye no nto mu, na ekuadze no aber: hom mbra, hom mbetsiatsia; na nsatwer no ayɛ ma, nkorbaa no ebubu do; na hɔn emumuyɛ adɔɔ so.", "#Nyi 14.14-16, 19-20; 19.15"
"JOL.3.14", "Nyimpa mpempem mu mpempem wɔ atsɛmbu bɔnsa no mu. Na EWURADZE ne da no abɛn wɔ atsɛmbu bɔnsa no mu.", ""
"JOL.3.15", "Ewia na bosoom ahyɛ sum; na nworaba egyaa hyerɛn.", ""
"JOL.3.16", "Na EWURADZE befi Zion apɔw, na oefi Jerusalɛm ama ne ndze do; na ɔsorsor na asaase awosow: na EWURADZE bɛyɛ guansumabea ama ne man, na akoban ama Israelmba.", "#Amos 1.2"
"JOL.3.17", "Ɔno na hom bohu dɛ emi nye EWURADZE hom Nyankopɔn a metse Zion, me bepɔw krɔnkrɔn no do no: nna Jerusalɛm bɛyɛ krɔnkrɔnbea, na ananaben biara runntwa mu wɔ hɔ bio.", ""
"JOL.3.18", "Na ɔbɛba wɔ da no mu dɛ mbepɔw bɔsosɔw nsa fenemfenem, na akoko no do apem numfonsu, na nsu ebu Juda nworaba nyina do; na nsunyiwa befi EWURADZE fie apem akɔfɔw Sittim bɔnsa no.", ""
"JOL.3.19", "Egypt bɛyɛ amamfo, na Edom ayɛ sar kwawee, wɔ etsirmɔdzendze a wɔdze yɛɛ Judamba ntsi, na dɛ wɔaka bɔgya a odzi bem egu wɔ hɔn asaase do ntsi.", ""
"JOL.3.20", "Na Juda dze, ɔbɛtsena hɔ daa, na Jerusalɛm fi mbasantsen ekesi mbasantsen.", ""
"JOL.3.21", "Na mobɔtɔ hɔn bɔgyaa do wer a monntɔe no : na EWURADZE bɛtsena Zion.", "#3.21 WER A MONNTƆE: Hebriw no kyerɛ awertɔ, mbom Nwoma no bi yɛ no ntsea."
