"LEV.27.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.27.2", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ nyimpa bi hyɛ anohoba ma a, nkorɔfo no nyɛ EWURADZE dze dɛ mbrɛ w'abotwa tse.", ""
"LEV.27.3", "Na w'abotwa wɔ banyin a oedzi mfe eduonu do dze kodu nyia oedzi mfe eduosia do no ho nyɛ dwɛɛtɛɛ dwetɛbona eduonum, dɛ mbrɛ krɔnkrɔnbea dwetɛbona tse.", ""
"LEV.27.4", "Na sɛ ɔyɛ ɔbaa a, ɔno w'abotwa nyɛ dwetɛbona eduasa.", ""
"LEV.27.5", "Na sɛ ofi nyia oedzi mfe enum do dze kodu nyia oedzi mfe eduonu do a, ɔno w'abotwa wɔ ɔbanyin ho nyɛ dwetɛbona eduonu, na ɔbaa ho so dwetɛbona du.", ""
"LEV.27.6", "Na sɛ ofi nyia oedzi bosoom do dze kodu nyia oedzi mfe enum do a, ɔno w'abotwa wɔ ɔbanyin ho nyɛ dwɛɛtɛɛ dwetɛbona enum, na ɔbaa ho so w'abotwa nyɛ dwɛɛtɛɛ dwetɛbona ebiasa.", ""
"LEV.27.7", "Na sɛ ofi nyia oedzi mfe eduosia nye ekyir do a; sɛ ɔbanyin a, ɔno w'abotwa nyɛ dwetɛbona duenum, na ɔbaa ho so dwetɛbona du.", ""
"LEV.27.8", "Mbom sɛ ɔyɛ ohianyi dodow kyɛn w'abotwa no a, ɔno wɔmfa no mbegyina ɔsɔfo no enyim, na ɔsɔfo no ntwa no bo; dɛ mbrɛ nyia ɔbɔɔ anohoba no ne nsa bɔso do no ara na ɔsɔfo no ntwa no bo.", ""
"LEV.27.9", "Na sɛ ɔyɛ abowa a adasa dze bi yɛ ayɛyɛdze brɛ EWURADZE a, dza nyimpa biara dze mu bi ma EWURADZE no nyinara nyɛ krɔnkrɔn.", ""
"LEV.27.10", "Mma ɔnndan no, nkyii so ɔnnsakyer no, ɔmmfa papa nnsesa bɔn, anaa ɔmmfa bɔn nnsesa papa: na sɛ koraa ɔdze abowa bɛsesa abowa a, ɔno emu ebien nyina ɔno nye dza wɔdze sesaa no no nyɛ krɔnkrɔn.", ""
"LEV.27.11", "Na sɛ ɔyɛ abowa biara a no ho nntsew a wɔmmfa bi nnyɛ ayɛyɛdze mmbrɛ EWURADZE a, ɔno ɔmfa abowa no mbegyina ɔsɔfo no enyim:", ""
"LEV.27.12", "na ɔsɔfo no ntwa no bo, sɛ oye o, omuo o: dɛ mbrɛ woara ɔsɔfo no botwa no bo no, dɛmara na ɔnyɛ.", ""
"LEV.27.13", "Mbom sɛ pon ara na ɔbɔpon no a, ɔno ɔmfa no mu ebupɛn enum mu kor nto wo bo a itwae no do.", ""
"LEV.27.14", "Na sɛ nyimpa bi tsew ne fi ho dɛ ɔnyɛ krɔnkrɔn mma EWURADZE a, ɔno ɔsɔfo no ntwa no bo, sɛ oye o, omuo o: dɛ mbrɛ ɔsɔfo no botwa no bo no, dɛmara na ongyina.", ""
"LEV.27.15", "Na sɛ nyia ɔtsew ho no bɔpon ne fi a, ɔno ɔmfa wo bo a itwae no ne sika no mu ebupɛn enum mu kor nto do, na ɔnyɛ nedze.", ""
"LEV.27.16", "Na sɛ nyimpa bi tsew n'asaase mu haban mu bi ho ma EWURADZE a, ɔno w'abotwa nyɛ dɛ mbrɛ no nduae tse: atoko a woedua no homer  kor no bo yɛ dwɛɛtɛɛ dwetɛbona eduonum.", "#27.16 HOMER: Ɔbɛyɛ dɛ olonka ahaebien."
"LEV.27.17", "Sɛ ahosɛpɛw afe no do na ɔtsew ne haban ho a, ontua dɛ mbrɛ bo a woetwa no tse no ara.", ""
"LEV.27.18", "Mbom sɛ ahosɛpɛw afe no ekyir na ɔtsew ne haban ho a, ɔno ɔsɔfo no mbubu sika no ano mma no dɛ mbrɛ mfe a aka ma akɔso ahosɛpɛw afe no tse no, na wɔntsew bo a itwae no do.", ""
"LEV.27.19", "Na sɛ pon ara na nyia ɔtsew haban no ho no bɔpon a, ɔno ɔmfa wo bo a itwae no ne sika no mu ebupɛn enum mu kor nto do, na wonsi no pi mma no.", ""
"LEV.27.20", "Na sɛ ɔammpon haban no, anaa sɛ ɔatɔn haban no ama nyimpa bi so a, mma wɔmmpon bio;", ""
"LEV.27.21", "mbom haban no, sɛ ofir edzi ahosɛpɛw afe no mu kɔ a, ɔnyɛ krɔnkrɔn mma EWURADZE, dɛ haban a woehyira do ama; ɔnyɛ ɔsɔfo no n'enyadze.", ""
"LEV.27.22", "Na sɛ ɔtsew haban a ɔatɔ a ɔnnyɛ n'enyadze haban no bi ho ma EWURADZE a;", ""
