"LEV.20.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.20.2", "Afei so se Israelmba dɛ, Obiara a ofi Israelmba mu, anaa ofi ahɔho a wɔabɔsoɛ Israel mu a ɔdze n'asefo mu bi ma Molek no; okum na wonku no: asaase no do nkorɔfo no mfa abo nsiw no.", ""
"LEV.20.3", "Mo so mebɛma m'enyi asa nyimpa no, na metwa no efi ne man mu akyen; osiandɛ ɔdze n'asefo mu bi ama Molek, dze egu m'ahotseweebea ho fi, na oehura me dzin krɔnkrɔn no ho.", ""
"LEV.20.4", "Na sɛ ɔdze n'asefo mu bi rema Molek no, na asaase no do nkorɔfo nam kwan biara do kata hɔn enyiwa fi nyimpa no do, na woennku no a:", ""
"LEV.20.5", "ɔno mebɛma m'enyi asa nyimpa no, na asa n'ebusuafo, na mubotwa no, ɔno nye hɔn a wodzi n'ekyir ndwamanyɛ mu, dɛ wɔnye Molek bɛyɛ ndwamandze no, efi hɔn man mu egu.", ""
"LEV.20.6", "Na obiara a ɔdan no ho kɔ hɔn a wɔyɛ adzebisafo, na esumamfo hɔ kedzi hɔn ekyir ndwamanyɛ mu no, mebɛma m'enyi asa dɛm nyimpa no, na metwa no efi ne man mu akyen.", ""
"LEV.20.7", "Dɛm ntsi hom ntsew homho, na hom nyɛ krɔnkrɔn: na emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.20.8", "Na hom ndzi m'ahyɛdze do, na wɔnyɛ: emi nye EWURADZE a metsew hom ho no.", ""
"LEV.20.9", "Na obiara a ɔdom n'egya anaa ne na no, oku na wonku no: osiandɛ ɔadom n'egya anaa ne na; no bɔgyaa ngu n'etsifi.", ""
"LEV.20.10", "Na ɔbanyin a ɔfa ɔbanyin bi so ne yer no, mekyerɛ nyia ɔfa ne nyɛnko ne yer no, oku na wonku ɔyefafo nye okumfafo no.", ""
"LEV.20.11", "Na ɔbanyin a ɔnye n'egya ne yer da no, oeyi n'egya n'adagyaw do, oku na wonku hɔn beenu nyina; hɔn bɔgyaa ngu hɔn etsifi.", ""
"LEV.20.12", "Na sɛ ɔbanyin nye n'asew a ɔyɛ ne ba ne yer da a, oku na wonku hɔn beenu nyina: wɔayɛ sakasaka; hɔn bɔgyaa ngu hɔn etsifi.", ""
"LEV.20.13", "Na sɛ banyin nye banyin bi da, dɛ mbrɛ ɔnye ɔbaa da a, hɔn beenu nyina ayɛ ekyiwadze: oku na wonku hɔn; hɔn bɔgyaa ngu hɔn etsifi.", ""
"LEV.20.14", "Na sɛ banyin bi fa yer nye ne na nyinara a, ɔyɛ ebusudze: wɔmfa gya nhyew hɔn, ɔno nye hɔn nyinara; amma ebusudze aammba hom mu.", ""
"LEV.20.15", "Na sɛ ɔbanyin nye abowa bi da a, oku na wonku no: na hom nku abowa no.", ""
"LEV.20.16", "Na sɛ ɔbaa bi kɔ abowa biara hɔ, na ɔkɛda hɔ ma no a, ku ɔbaa no, nye abowa no: oku na wonku hɔn; hɔn bɔgyaa ngu hɔn etsifi.", ""
"LEV.20.17", "Na sɛ banyin fa n'akyerɛbaa, n'egya ne babaa, anaa ne na ne babaa, na ohu n'adagyaw, na no so hu n'adagyaw a, ɔyɛ enyimguase adze; na wontwitwa hɔn ngu wɔ hɔn man mba enyim: oeyi n'akyerɛbaa n'adagyaw do; ɔnsoa no mbusu.", ""
