"LEV.14.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.14.2", "Iyi nye mbra a ɔwɔ hɔ ma ɔkwatanyi wɔ n'ahotsewee da no mu: wɔmfa no mbra ɔsɔfo no:", "#Mat 8.4; Mar 1.44; Luk 5.14; 17.14"
"LEV.14.3", "na ɔsɔfo no mfir edzi nkɔ nseraban no ekyir: na ɔsɔfo no nhwɛ, na, hwɛ, sɛ kwata ntsetsewee no asa wɔ ɔkwatanyi no mu a;", ""
"LEV.14.4", "ɔno ɔsɔfo no nhyɛ ma wɔmfa nnoma enyikan a hɔn ho tsew ebien, nye kyindur dua, nye serdaa, nye odwonhataw mma nyia wɔrebɛtsew no ho no mbra:", ""
"LEV.14.5", "na ɔsɔfo no nhyɛ mma wonku nnoma no mu kor wɔ dɛtsesɛn bi mu wɔ mbasu do:", ""
"LEV.14.6", "anoma nyikan no dze, ɔmfa ɔno, nye kyindur dua no, nye serdaa no, nye odwonhataw no, na ɔmfa ne nyinara nye anoma nyikan no mbɔ anoma a wokum no wɔ mbasu do no no bɔgyaa mu:", ""
"LEV.14.7", "na ɔmfa mpetse nyia wɔrebɛtsew no ho efi kwata ho no do mpɛn esuon, na ɔnka dɛ no ho atsew, na ongyaa anoma nyikan no ma ɔnkɔ haban mu.", ""
"LEV.14.8", "Na nyia wɔrebɛtsew no ho no, nhor ne ntar, na onyi no nhwi nyinara, na onguar nsu mu, na no ho aatsew: na n'ekyir no ɔmbra nseraban no mu dze, na ɔntsena no buw ekyir nda esuon.", ""
"LEV.14.9", "Na ɔmbra dɛ da a otsia esuon no, na onyi no nhwi nyinara wɔ n'etsifi nye n'abɔdwesa nye no ntɔn, mekyerɛ no nhwi nyinara na onyi: na ɔnhor ne ntar, na onguar no honam wɔ nsu mu, na no ho aatsew.", ""
"LEV.14.10", "Na da a otsia awɔtwe no ɔmfa nguambaanyin ebien a wonndzii dzɛm, nye nguambaaber kor a oedzi afrenhyia a onndzii dzɛm, na edziban afɔr isiam pa efa ebupɛn du mu ebiasa a wɔdze ngo aforɔw, na ngo toa kor, mbra.", ""
"LEV.14.11", "Na ɔsɔfo no a ɔtsew no ho no mfa ɔbanyin a wɔrebɛtsew no ho no, nye ndzɛmba no, mbegyina EWURADZE enyim, wɔ ehyiadzibuw no n'abowano:", ""
"LEV.14.12", "na ɔsɔfo no mfa nguambaanyin no mu kor, na ɔmfa no mbra dɛ asodzi ho afɔr, nye ngo toa no, na ɔntow no ɔtow afɔr wɔ EWURADZE enyim:", ""
"LEV.14.13", "na onku eguambaanyin no wɔ beebi mbrɛ woku bɔn ho afɔr nye ɔhyew afɔr abowa no, wɔ ahotseweebea no do hɔ: na dɛ mbrɛ bɔn ho afɔr no yɛ ɔsɔfo no dze no, dɛmara na asodzi ho afɔr no so: ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn:", ""
"LEV.14.14", "na ɔsɔfo no mfa asodzi ho afɔr bɔgyaa no bi, na ɔsɔfo no mfa nkeka nyia wɔrebɛtsew no ho no n'aso nyimfa ano, nye ne nsa nyimfa kokrobetsir, nye ne nan nyimfa kokonyin ano:", ""
"LEV.14.15", "na ɔsɔfo no mfa ngo toa no, na onhue bi ngu nankasa ne nsa bankum mu:", ""
"LEV.14.16", "na ɔsɔfo no mfa ne nsatseaba nyimfa mbɔ ngo no a ɔwɔ ne nsa bankum mu no mu, na ɔmfa ne nsatseaba mpetse ngo no bi mpɛn esuon wɔ EWURADZE enyim:", ""
"LEV.14.17", "na ngo no nkaa no a ɔwɔ ne nsamu no ɔsɔfo no mfa bi nkeka nyia wɔrebɛtsew no ho no n'aso nyimfa ano, nye ne nsa nyimfa kokrobetsir, nye ne nan nyimfa kokonyin ano, wɔ asodzi ho afɔr bɔgyaa no do:", ""
"LEV.14.18", "na ngo nkaa no a ɔwɔ ɔsɔfo ne nsamu no ɔmfa ngu nyia wɔrebɛtsew no ho no etsifi: na ɔsɔfo mpata mma no wɔ EWURADZE enyim.", ""
"LEV.14.19", "Na ɔsɔfo no mbɔ bɔn ho afɔr no, na ɔmpata mma nyia wɔrebɛtsew no ho wɔ n'ahoɔfi ntsi; na n'ekyir no onku hyew afɔr abowa no:", ""
"LEV.14.20", "na ɔsɔfo no mbɔ hyew afɔr no nye edziban afɔr no wɔ afɔrmbukyia no do: na ɔsɔfo no mpata mma no, na no ho ntsew.", ""
"LEV.14.21", "Na sɛ odzi hia, na onnkotum enya no dodow dɛm a, ɔno ɔmfa eguambaanyin kor mbɛyɛ asodzi ho afɔr mma wɔntow mfa mpata mma no, na edziban afɔr isiam pa efa ebupɛn du mu kor a wɔdze ngo aforɔw, na ngo toa;", ""
"LEV.14.22", "na ntamram ebien, anaa mborɔnoma mba ebien, dɛ mbrɛ ne nsa bɔso do ara; na kor nyɛ bɔn ho afɔr, na kor so, nyɛ ɔhyew afɔr.", ""
"LEV.14.23", "Na da a otsia awɔtwe no ɔmfa mbrɛ ɔsɔfo no, wɔ ehyiadzibuw no n'abowano, wɔ EWURADZE enyim, wɔ n'ahoguar ntsi.", ""
"LEV.14.24", "Na ɔsɔfo no mfa asodzi ho afɔr eguambaa no, nye ngo toa no, na ɔsɔfo no ntow no nyɛ ɔtow afɔr wɔ EWURADZE enyim:", ""
"LEV.14.25", "na onku asodzi ho afɔr eguambaa no, na ɔsɔfo no mfa asodzi no afɔr bɔgyaa no bi, na ɔmfa nkeka nyia wɔrebɛtsew no ho no n'aso nyimfa ano, nye ne nsa nyimfa kokrobetsir, nye ne nan nyimfa kokonyin ano:", ""
"LEV.14.26", "na ɔsɔfo no nhue ngo no bi ngu nankasa ne nsa bankum mu:", ""
"LEV.14.27", "na ɔsɔfo no mfa ne nsatseaba nyimfa mfa ngo no a ɔwɔ ne nsa bankum mu no bi mpetse mpɛn esuon wɔ EWURADZE enyim:", ""
"LEV.14.28", "na ɔsɔfo no mfa ngo no a ɔwɔ ne nsamu no bi nkeka nyia wɔrebɛtsew no ho no n'aso nyimfa ano, nye ne nsa nyimfa kokrobetsir, nye ne nan nyimfa kokonyin ano wɔ mbrɛ asodzi ho afɔr bɔgyaa no wɔ no:", ""
"LEV.14.29", "na ngo no ne nkaa no a ɔwɔ ɔsɔfo no nsamu no ɔmfa ngu nyia wɔrebɛtsew no ho no etsifi, mfa nyɛ mpata mma no wɔ EWURADZE enyim.", ""
"LEV.14.30", "Na ɔmfa ntamram anaa mborɔnomamba no mu kor, dɛ mbrɛ ne nsa bɔso do no ara mbra;", ""
"LEV.14.31", "mekyerɛ dɛ mbrɛ ne nsa bɔso do no ara, kor nyɛ bɔn ho afɔr, na kor so nyɛ ɔhyew afɔr nka edziban afɔr no ho: na ɔsɔfo no mpata nyia wɔrebɛtsew no ho no wɔ EWURADZE enyim.", ""
"LEV.14.32", "Iyi nye mbra a ɔwɔ hɔ ma nyia kwata ntsetsewee aka no a ne nsa nnso n'ahoguar adze do no.", ""
"LEV.14.33", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ,", ""
"LEV.14.34", "Sɛ hom du Keenan asaase a medze rema hom dɛ enyadze no do, na sɛ medze kwata ntsetsewee mobɔto hom enyadze asaase do fie bi mu a;", ""
"LEV.14.35", "ɔno fie no wura no mbra, na ɔmbɛka nkyerɛ ɔsɔfo no dɛ, Ɔyɛ me dɛ biribi tse dɛ ntsetsewee bi esi fie no mu hɔ:", ""
"LEV.14.36", "na ɔsɔfo no nhyɛ ma wonyi fie no mu ndzɛmba nyinara, ansaana ɔsɔfo no akɔ mu akɔhwɛ ntsetsewee no, amma dza ɔwɔ fie no mu nyinara ho eenngu fi: na n'ekyir no ɔsɔfo no nkɔ mu nkɔhwɛ fie no:", ""
"LEV.14.37", "na ɔnhwɛ ntsetsewee no, na, hwɛ, sɛ ntsetsewee no wɔ fie no ne fadum ho ntokurntokur mu nkekaa ebunebun anaa mberberee, na n'enyi atotɔ mu asen ɔfadum no a;", ""
"LEV.14.38", "ɔno ɔsɔfo no mfi fie no mu mpue fie no n'abowano, na ɔntow fie no mu nda esuon:", ""
"LEV.14.39", "na da a otsia esuon no ɔsɔfo no mbra bio, na ɔmbɔhwɛ: na, hwɛ, sɛ ntsetsewee no atserɛw wɔ fie no ne fadum ho a;", ""
"LEV.14.40", "ɔno ɔsɔfo no nhyɛ ma wonyiyi abo a ntsetsewee no wɔ ho no, na wɔnkɔtow ngu kurow no n'ekyir mbrɛ hɔ nntsew:", ""
"LEV.14.41", "na ɔmma wɔntwerɛw fie no mu nhyia, na wɔmfa dɛtse a wɔatwerɛw no nkogu kurow no ekyir mbrɛ hɔ nntsew:", ""
"LEV.14.42", "na wɔmfa abo fofor na wɔmfa nhyehyɛ abo no n'ananmu; na ɔmfa dɛtse fofor, na ɔmfa ntetar fie no ho.", ""
"LEV.14.43", "Na oetutu abo no ekyir, na ɔatwerɛw fie no mu ekyir, na ɔatetar ekyir no, na sɛ ntsetsewee no ba bio, na opue wɔ fie no mu a;", ""
"LEV.14.44", "ɔno ɔsɔfo no mbra mbɔhwɛ, na hwɛ, sɛ ntsetsewee no atserɛw wɔ fie no mu a, ɔyɛ kwata nwewee wɔ fie no mu: no ho nntsew.", ""
"LEV.14.45", "Na ondwuruw fie no ngu famu, n'abo, nye no mpuna, nye fie no ne dɛtse nyinara; na ɔnsoa mfi kurow no mu mpue nkogu mbrɛ hɔ nntsew.", ""
"LEV.14.46", "Afei so nyia ɔbɔkɔ fie no mu wɔ aber a wɔatow mu no nyinara mu no, no ho nntsew araa kodu ewimbir.", ""
"LEV.14.47", "Na nyia ɔda wɔ fie no mu no nhor ne ntar.", ""
"LEV.14.48", "Na sɛ wɔatetar fie no n'ekyir no, ɔsɔfo no ba, na ɔbɔhwɛ, na, hwɛ, ntsetsewee no nntserɛw wɔ fie no mu a; ɔno ɔsɔfo no nka dɛ fie no ho tsew, osiandɛ ntsetsewee no asa.", ""
"LEV.14.49", "Na ɔmfa nnoma ebien, nye kyindur dua, nye serdaa, nye odwonhataw ntsew fie no ho:", ""
"LEV.14.50", "na onku nnoma no mu kor wɔ dɛtsesɛn mu wɔ mbasu do:", ""
"LEV.14.51", "na ɔmfa kyindur dua no, nye odwonhataw no, nye serdaa no, nye anoma nyikan no, na ɔmfa anoma a woeku no no no bɔgyaa mu, nye mbasu no mu, na ɔmfa mpetse fie no do mpɛn esuon:", ""
"LEV.14.52", "na ɔmfa anoma no no bɔgyaa, nye mbasu no, nye anoma nyikan no, nye kyindur dua no, nye odwonhataw no, nye serdaa no, ntsew fie no ho:", ""
"LEV.14.53", "mbom ongyaa anoma nyikan no ma omfi kurow no mu nkɔ haban hantann no mu: ma ɔmpata mma fie no: na no ho ntsew.", ""
"LEV.14.54", "Iyi nye mbra a ɔwɔ hɔ ma kwata ntsetsewee ahorow nyinara, nye ntutui;", ""
"LEV.14.55", "nye ntar nye fie ho kwata;", ""
"LEV.14.56", "na soaa, nye ntwintwamee, nye ntokowa ntokowa:", ""
"LEV.14.57", "ma wɔdze akyerɛkyerɛ aber a adze ho nntsew, nye aber a adze ho tsew: iyi nye kwata ho mbra.", ""
