"LEV.24.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.24.2", "Hyɛ Israelmba ma wɔmbrɛ wo  olive   ngo krɔnkrɔn a woesiw a wɔdze sɔ gya, ma wɔmfa nsɔ kandzea nsi do daa.", ""
"LEV.24.3", "Dase ntwamutam no ekyir, wɔ ehyiadzibuw no mu, na Aaron nsiesie mfi ewimbir nkodu anapa wɔ EWURADZE enyim daa: ɔnyɛ daa ahyɛdze wɔ ebusuasantsen mu.", ""
"LEV.24.4", "Onsiesie nkandzea no wɔ sika mapa kandzeadua a no ho tsew no do wɔ EWURADZE enyim daa.", ""
"LEV.24.5", "Na fa isiam pa, na fa bi to tatar duebien; efa ebupɛn du mu ebien nyɛ tatar kor.", ""
"LEV.24.6", "Na hyehyɛ no akyerɛpɛn ebien, esia nyɛ kyerɛpɛn kor, wɔ sika mapa pon a no ho tsew no do wɔ EWURADZE enyim.", ""
"LEV.24.7", "Na fa krɔbɔw gyirengyirenn to kyerɛpɛn kor do, ma ɔnyɛ nkaadze wɔ boodoo no do, mekyerɛ ogya afɔr mma EWURADZE.", ""
"LEV.24.8", "Ahomgyeda biara ɔnhyehyɛ no yie wɔ EWURADZE enyim daa: ɔyɛ Israelmba afamu daa ahyɛmu.", ""
"LEV.24.9", "Na ɔnyɛ Aaron nye ne mbabanyin dze; na wondzi no wɔ mbrɛ ɔyɛ krɔnkrɔn: na ɔyɛ krɔnkrɔndze mu adzekrɔnkrɔn a ofi EWURADZE ogya afɔr do ma no wɔ daa ahyɛdze do.", ""
"LEV.24.10", "Na Israelnyi ɔbaa bi ne babanyin a n’egya yɛ Egyptnyi, fiir edzi wɔ Israelmba no mu: na Israelnyi ɔbaa no ne babanyin no ɔnye Israelnyi ɔbanyin bi dzii aperper wɔ nseraban no mu;", ""
"LEV.24.11", "na Israelnyi ɔbaa no ne babanyin no kaa Dzin no ho ebususɛm, na ɔdomee: na wɔdze no brɛɛ Moses. Na ne na ne dzin dze Selomit, Dibri ne babaa a ofi Dan ebusuakuw mu.", ""
"LEV.24.12", "Na wɔdze no siei, ama woeenya EWURADZE n’anomu asɛm ma wɔaaka akyerɛ hɔn ana.", ""
"LEV.24.13", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.24.14", "Fa nyia wɔadom no fir edzi kɔ nseraban no ekyir; na ma hɔn a wɔtsee no nyinara mfa hɔn nsa ngu n’etsifi, na ma mboanofo no nyinara nsiw no abo.", ""
"LEV.24.15", "Na kasa kyerɛ Israelmba dɛ, Obiara a ɔdom ne Nyankopɔn no ɔbɔsoa no bɔn.", ""
"LEV.24.16", "Na nyia ɔka EWURADZE ne dzin ho ebususɛm no, oku na wonku no; osiw na mboanofo no nyinara nsiw no abo: ɔhɔho o, okuromnyi o, sɛ ɔka EWURADZE ne dzin ho ebususɛm a, wonku no.", ""
"LEV.24.17", "Na nyia ɔbɔ nyimpa biara adze ma ɔtɔr no, oku na wonku no;", ""
"LEV.24.18", "na nyia ɔbɔ abowa adze ma owu no ɔnhyɛ ananmu: nkwa nhyɛ nkwa ananmu.", ""
"LEV.24.19", "Na sɛ nyimpa ma ne nyɛnko dzi dzɛm a; dɛ mbrɛ ɔno ɔayɛ no, dɛmara na wɔmfa nyɛ no;", ""
"LEV.24.20", "Obu nhyɛ obu ananmu, enyiwa nhyɛ enyiwa ananmu, ese nhyɛ ese ananmu: dɛ mbrɛ ɔama nyimpa bi edzi dzɛm no, dɛmara na wɔnyɛ mma no.", ""
"LEV.24.21", "Na nyia oku abowa no ɔnhyɛ ananmu: na nyia oku nyimpa no wonku no.", ""
"LEV.24.22", "Mbra kor ara nda hɔ mma hom, dɛ mbrɛ ɔtse ma ɔhɔho no, ɔnyɛ dɛmara mma okuromnyi no: na emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.24.23", "Na Moses kasaa kyerɛɛ Israelmba, na wɔdze nyia ɔdomee no fiir edzi kɔr nseraban no ekyir, na wosiiw no abo. Na Israelmba yɛɛ dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
