"LEV.22.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.22.2", "Kasa kyerɛ Aaron nye ne mbabanyin no, ma wɔmpaa hɔnho mfi Israelmba hɔn ndzɛmba krɔnkrɔn no ho, wɔ dza wɔtsew ho ma me no ho, amma woeenngu me dzin krɔnkrɔn no ho fi: emi nye EWURADZE.", ""
"LEV.22.3", "Se hɔn dɛ, obiara a ofi hom asefo nyinara mu wɔ hom ebusuasantsen mu a, ɔtwe bɛn ndzɛmba krɔnkrɔn a Israelmba tsew ho ma EWURADZE, na ɔwɔ n'ahoɔfi wɔ no ho no, ɔkra no wobotwa no efi m'enyim akyen: emi nye EWURADZE.", ""
"LEV.22.4", "Ɔbanyin biara a ofi Aaron n'asefo mu a ɔyɛ kwatanyi, anaa ɔwɔ ahosen no; mma onndzi ndzɛmba krɔnkrɔn no bi nnkodu dɛ no ho bɛtsew. Na obi a ɔka adze biara a fun egu ho fi, anaa banyin a no ho nsu sen fi no mu;", ""
"LEV.22.5", "anaa obiara a ɔka adze biara a ɔwea, dze bogu noho fi, anaa banyin bi a n'ahoɔfi biara a ɔwɔ no bɛma ɔafa no ho ahoɔfi no;", ""
"LEV.22.6", "no ho nntsew araa kodu ewimbir, na mma onndzi ndzɛmba krɔnkrɔn no bi, gyedɛ oguar wɔ nsu mu ansaana.", ""
"LEV.22.7", "Na sɛ iwi kɔtɔ a, no ho bɛtsew; na n'ekyir no ondzi ndzɛmba krɔnkrɔn no bi, osiandɛ ɔyɛ n'edziban.", ""
"LEV.22.8", "Dza noara ewu, anaa mbowa atsetsew no no, mma onndzi mmfa nngu noho fi: emi nye EWURADZE.", ""
"LEV.22.9", "Dɛm ntsi wondzi m'ahyɛdze do, amma woeenngu ho fi na wɔaannsoa bɔn wɔ ho, na woeennwuwu wɔ mu; emi nye EWURADZE a metsew hɔn ho no.", ""
"LEV.22.10", "Mma ɔhɔho biara nndzi adzekrɔnkrɔn no bi: ɔsɔfo ne mamforanyi, anaa ɔpaanyi, nndzi adzekrɔnkrɔn no bi:", ""
"LEV.22.11", "Mbom sɛ ɔsɔfo bi tɔ ɔkra bi a, ne sika enyadze no, ɔno na ondzi bi; na hɔn so a wɔwo hɔn wɔ ne fie no, hɔn na wondzi n'edziban no bi.", ""
"LEV.22.12", "Na sɛ ɔsɔfo ne babaa bi wohyia no ma hɔho bi a, mma onndzi ndzɛmba krɔnkrɔn ohim afɔr no bi.", ""
"LEV.22.13", "Mbom sɛ ɔsɔfo no ne babaa bi yɛ kunafo, anaa wɔko no, na onnyi ba, na ɔsan kɔ n'egya fie, dɛ ne mbofraber mu a ondzi n'egya edziban no bi: ɔhɔho biara dze, mma onndzi bi.", ""
"LEV.22.14", "Na sɛ nyimpa bi dzi adzekrɔnkrɔn no bi ber a onnyim a, ɔno ɔmfa n'ebupɛn enum mu kor nto do, na ɔmfa adzekrɔnkrɔn no mma ɔsɔfo no.", ""
"LEV.22.15", "Na mma wonngu Israelmba hɔn ndzɛmba krɔnkrɔn a wɔdze brɛ EWURADZE no ho fi;", ""
"LEV.22.16", "amma wɔaannsoa asodzi ho mbusu biara, sɛ wodzi hɔn ndzɛmba krɔnkrɔn no a: na emi nye EWURADZE a metsew hɔn ho no.", ""
"LEV.22.17", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.22.18", "Kasa kyerɛ Aaron, nye ne mbabanyin no, nye Israelmba nyinara, na se hɔn dɛ, Obiara a ofi Israel ofi mu no, anaa ofi Israel mu ahɔho mu a ɔdze n'ayɛyɛdze ba, dɛ hɔn anohobadze mu biara, anaa hɔn ayamuyi afɔr mu biara a wɔdze brɛ EWURADZE bɔbɔ ɔhyew afɔr no;", ""
"LEV.22.19", "nyɛ onyin a onndzii dzɛm; anantwi mu o, nkɔsɔw mu o, anaa mpɔnkye mu o ama aasɔ enyi ama hom.", ""
"LEV.22.20", "Mbom adze biara a odzi dzɛm no, mma hom mmfa mmba: na ɔrennyɛ enyisɔdze mma hom.", ""
"LEV.22.21", "Na obiara a ɔdze asomdwee afɔr bɛbrɛ EWURADZE dɛ ɔdze rehyɛ anohoba ma, anaa ɔdze reyɛ ayamuyi afɔr no, ofi anantwikuw anaa nguankuw mu no, ɔmma ondzi mu na aasɔ enyi; dzɛm biara nnyi no ho.", ""
"LEV.22.22", "Dza n'enyi efura, anaa oebubu, anaa oepira, anaa ɔahohon, anaa ntwem anaa ase egu no ho no, mma hom mmfa iyinom mmbrɛ EWURADZE, na mma mmfa hɔn mu bi mmbɔ ogya afɔr so wɔ afɔrmbukyia no do mma EWURADZE.", ""
"LEV.22.23", "Na ɔnantwisaa anaa eguambaa a no ho biribi bor do anaa ɔtɔ sin wɔ ne beebi no, ayamuyi afɔr no fa no bɔ; na ɔyɛ anohobadze a ɔronnsɔ enyi.", ""
"LEV.22.24", "Dza no ntɔhwɛbo ebubu, anaa adwerew, anaa abɔ, anaa etwa no, mma hom mmfa mmbrɛ EWURADZE; nkyii so mma hom nnyɛ dɛm wɔ hom asaase do.", ""
"LEV.22.25", "Eso mma hom nngye iyinom mu biara wɔ ɔnanaben bi nsamu mmfa nnyɛ hom Nyankopɔn edziban mmba; osiandɛ hɔn sɛɛ wɔ hɔn ho, dzɛm bi wɔ hɔn ho: wɔrennyɛ enyisɔdze mma hom.", ""
"LEV.22.26", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.22.27", "Sɛ wɔwo nantwisaa, ɔkɔsɔw, anaa apɔnkye, a, ɔno ɔnko ne na n'ase nda esuon; na ofi da a otsia awɔtwe no dze rokɔ no, ɔsɔ enyi dɛ ogya afɔr ayɛyɛdze ma EWURADZE.", ""
"LEV.22.28", "Na sɛ ɔnantwiber o, oguamber o, mma hom nnku ɔno nye ne ba nyina da kor.", ""
"LEV.22.29", "Na sɛ hom bɔ aseda afɔr ma EWURADZE a, hom mbɔ ma ɔnsɔ enyi mma hom.", ""
"LEV.22.30", "Da no ara na wondzi; mma hom nngya mu bi mma adze nkye do: emi nye EWURADZE.", ""
"LEV.22.31", "Dɛm ntsi hom nsie me mbra, na wondzi do: emi nye EWURADZE.", ""
"LEV.22.32", "Na mma hom nngu me dzin krɔnkrɔn no ho fi: na mo ho bɛtsew wɔ Israelmba mu: emi nye EWURADZE a metsew hom ho no a", ""
"LEV.22.33", "medze hom fi Egypt asaase do bae, dɛ mebɛyɛ hom Nyankopɔn no: emi nye EWURADZE.", ""
