"LEV.4.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.4.2", "Kasa kyerɛ Israelmba, dɛ, Sɛ nyimpa biara yɛ bɔn a ɔnndze enyidaho wɔ ndzɛmba biara a EWURADZE ahyɛ ho mbra dɛ mma wɔnnyɛ no mu, na ɔkɛyɛ no mu kor biara a, dza wɔnyɛ nye iyi:", ""
"LEV.4.3", "sɛ ɔsɔfo a wɔasera no no kɛyɛ bɔn ma ɔdze asodzi ba ɔman no do a: ɔno no bɔn a ɔayɛ no ntsi, ma ɔmfa ɔnantwisaa eburwa a onndzii dzɛm mbrɛ EWURADZE mfa nyɛ bɔn ho afɔr.", ""
"LEV.4.4", "Na ɔmfa nantwisaa no mbra ehyiadzibuw no n’abowano wɔ EWURADZE enyim; na ɔmfa ne nsa nto nantwisaa no n’etsifi, na onku no wɔ EWURADZE enyim.", ""
"LEV.4.5", "Na ɔsɔfo a wɔasera no no mfa nantwisaa no no bɔgyaa no bi, na ɔmfa mbra ehyiadzibuw no mu:", ""
"LEV.4.6", "na ɔsɔfo no mfa ne nsatseaba mbɔ bɔgya no mu, na ɔmfa bɔgya no bi mpetse mpɛn esuon wɔ EWURADZE enyim, wɔ krɔnkrɔnbea no no ntwamutam no enyim.", ""
"LEV.4.7", "Na ɔsɔfo no mfa bɔgya no bi nkeka eduhuamhyew afɔrmbukyia no a ɔwɔ EWURADZE enyim no a ɔwɔ ehyiadzibuw no mu no ne mbɛn no ho; na onhue nantwisaa no no bɔgyaa nyinara ngu ɔhyew afɔr afɔrmbukyia no a ɔwɔ ehyiadzibuw no n’abowano no ase.", ""
"LEV.4.8", "Na onyi bɔn ho afɔr nantwisaa no ne seradze no nyinara mfi no ho; seradze a ɔkata ayamudze no ho no, nye ayamudze no ho seradze no nyinara,", ""
"LEV.4.9", "nye nsɛbɛ ebien no, nye no do seradze no a ɔwɔ sisiw mu no, nye berɛbo do ntentan no, onyi mfi hɔ,", ""
"LEV.4.10", "dɛ mbrɛ woyi fi asomdwee afɔr ayɛyɛdze nantwinyin ho: na ɔsɔfo no nhyew no wɔ ɔhyew afɔr afɔrmbukyia no do.", ""
"LEV.4.11", "Na nantwisaa no no nwoma, nye ne nam nyinara, nye ne tsir, no ntwɛr, n’ayamudze, nye n’egyanan,", ""
