"LEV.19.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.19.2", "Kasa kyerɛ Israelmba mboanofo no nyinara, na se hɔn dɛ, Hom nyɛ krɔnkrɔn: na emi EWURADZE hom Nyankopɔn meyɛ krɔnkrɔn.", ""
"LEV.19.3", "Hom mu nyimpa biara nsuro ne na, nye n’egya, na hom ndzi m’ahomgyenda do: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.19.4", "Mma hom nndan nnkɔ abosom hɔ, nkyii so mma hom nnyɛ ehonyi a woegu no dɛ nyame mma hom ho: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.19.5", "Na sɛ hom dze asomdwee afɔr afɔrbɔdze rebrɛ EWURADZE a, hom mfa mbra ma ɔnsɔ enyi mma hom.", ""
"LEV.19.6", "Wondzi no da no ara a hom dze ba no, nye n’adzekyee no: na sɛ bi ka ma okodu da a otsia ebiasa no a, wɔmfa gya nhyew no.", ""
"LEV.19.7", "Na sɛ wodzi no da a otsia ebiasa no a, ɔyɛ ekyiwadze; ɔnnsɔ enyi:", ""
"LEV.19.8", "obiara a odzi no, ɔbɔsoa no mbusu, osiandɛ oegu EWURADZE n’adzekrɔnkrɔn ho fi: na ɔkra no wobotwa no efi ne man mu akyen.", ""
"LEV.19.9", "Na sɛ hom twa hom asaase do ndɔbaa a, mma nntwa wo hanoa dze no korakora, nkyii so mma nndzi wo ndɔbaa ne mpɛpɛw no.", ""
"LEV.19.10", "Na mma nndzi wo wenyin ture mu mpɛpɛw, nkyii so mma nntase wo wenyin ture mu aba a atotɔ famu; gya no hɔ fa ma ohianyi, nye ɔhɔho: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.19.11", "Mma hom nnwia adze, nkyii so mma hom nndzi nkɔnkɔnsa, na obi nntwa ne nyɛnko nkontompɔ.", ""
"LEV.19.12", "Na mma hom nnka me dzin ho ntam akɔhwi mu, amma eennhura wo Nyankopɔn ne dzin ho: emi nye EWURADZE.", ""
"LEV.19.13", "Mma nndzi wo nyɛnko emim, na mmbu no: mma mma ɔpaanyi n’akatua nnko wo hɔ anadwe nyinara ma adze nnkye.", ""
"LEV.19.14", "Mma nndom otsitsifo, na mmfa fintsidua nnto ofurafo enyim, mbom suro wo Nyankopɔn: emi nye EWURADZE.", ""
"LEV.19.15", "Mma hom nnyɛ atsɛmbu mu dza ɔnntsen: mma nnhwɛ ohianyi enyim, anaa nnsuro otumfo enyim: mbom tsenenee mu na bu wo nyɛnko atsɛn.", ""
"LEV.19.16", "Mma nnkyin sor nye ase dɛ afakɔafabanyi wɔ wo nkorɔfo mu: nkyii so mma nnsoɛr nntsia wo nyɛnko no bɔgyaa: emi nye EWURADZE.", ""
