"LEV.18.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.18.2", "Kasa kyerɛ Israelmba, na se hɔn dɛ, emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.18.3", "Egypt asaase a hom tsenaa do no do nyɛe no, mma hom nnyɛ: na Keenan asaase a medze hom rokɔ do no do nyɛe no so, mma hom nnyɛ: nkyii so mma hom nndzi hɔn ahyɛdze do.", ""
"LEV.18.4", "Me mbrasɛm na hom ndzi do, na hom nsie m'ahyɛdze, dɛ wobedzi do: emi nye EWURADZE hom Nyankopɔn.", ""
"LEV.18.5", "Dɛm ntsi hom nsie m'ahyɛdze, na me mbrasɛm a sɛ nyimpa yɛ a, obenya nkwa wɔ mu no: emi nye EWURADZE.", ""
"LEV.18.6", "Mma hom mu biara nnkɔ obiara a ɔyɛ no bɔgyaa a ɔbɛn no nkyɛn nnkeyi n'adagyaw do: emi nye EWURADZE.", ""
"LEV.18.7", "W'egya n'adagyaw, mekyerɛ wo na n'adagyaw no, mma nnyi do: wo na nye no; mma nnyi n'adagyaw do.", ""
"LEV.18.8", "Mma nnyi w'egya ne yer n'adagyaw do: w'egya n'adagyaw ara nye no.", ""
"LEV.18.9", "Mma nnyi w'akyerɛbaa a ɔyɛ w'egya ne babaa, anaa wo na ne babaa, wɔwoo no fie o, wɔwoo no amanandze o, n'adagyaw do, mekyerɛ hɔn adagyaw no mma nnyi do.", ""
"LEV.18.10", "Wo babanyin ne babaa n'adagyaw, anaa wo babaa ne babaa dze no, mekyerɛ hɔn adagyaw no mma nnyi do: na hɔndze no ɔyɛ wankasa w'adagyaw.", ""
"LEV.18.11", "W'egya ne yer ne babaa n'adagyaw, nyia w'egya awo no no, ɔyɛ w'akyerɛbaa, mma nnyi n'adagyaw do.", ""
"LEV.18.12", "Mma nnyi w'egya n'akyerɛbaa n'adagyaw do: ɔyɛ w'egya no bɔgyaa a ɔbɛn no.", ""
"LEV.18.13", "Mma nnyi wo na no nuabaa n'adagyaw do: na ɔyɛ wo na no bɔgyaa a ɔbɛn no.", ""
"LEV.18.14", "Mma nnyi w'egya no nuabanyin n'adagyaw do, mma nnkɔ ne yer nkyɛn: ɔyɛ wo na nuabaa.", ""
"LEV.18.15", "Mma nnyi w'asew n'adagyaw do: ɔyɛ wo babanyin ne yer; mma nnyi n'adagyaw do.", ""
"LEV.18.16", "Mma nnyi wo nua ne yer n'adagyaw do: ɔyɛ wo nua n'adagyaw.", ""
"LEV.18.17", "Mma nnyi ɔbaa bi nye ne babaa hɔn adagyaw do; mma mmfa ne babanyin ne babaa, anaa ne babaa ne babaa nnyi hɔn adagyaw do; wɔyɛ bɔgya a ɔbɛn: ɔyɛ ebusudze.", ""
"LEV.18.18", "Mma mmfa ɔbaa bi nnka n'akyerɛbaa ho, dɛ ɔmbɛyɛ no korafo, nnyi n'adagyaw do, nnka kor no ho wɔ no nkwa ber mu.", ""
"LEV.18.19", "Na mma nnkɔ ɔbaa bi nkyɛn nnkeyi n'adagyaw do, aber tsentsen nyina a no ho nntsewee wɔ n'asabu mu no.", ""
"LEV.18.20", "Mma nnye wo nyɛnko ne yer nnda mmfa wo ho nsu mma no, mmfa nngu wankasa nye ɔno ho fi.", ""
"LEV.18.21", "Na mma mmfa w'asefo mu bi ma ɔnnkɛfa gya mu mma Molek, nkyii so mma nnhura wo Nyankopɔn dzin ho: emi nye EWURADZE.", ""
"LEV.18.22", "Mma nnye banyin nnda dɛ mbrɛ enye ɔbaa da: ɔyɛ ekyiwadze.", ""
"LEV.18.23", "Na mma nnye abowa biara nnda mmfa nngu woho fi: nkyii so ɔbaa biara nngyina abowa bi enyim nnda hɔ mma no: ɔyɛ sakasakayɛ.", ""
"LEV.18.24", "Mma hom nngu homho fi wɔ ndzɛmba iyinom mu biara mu: na iyinom nyinara mu na amanaman a murutu hɔn efi hom enyim no dze egu hɔnho fi;", ""
"LEV.18.25", "na asaase no do egu fi: dɛm ntsi mohwɛ n'emumuyɛ no wɔ do, na asaase no fe no do atsefo no gu.", ""
"LEV.18.26", "Dɛm ntsi hom nsie m'ahyɛdze na me mbrasɛm, na mma hom nnyɛ ekyiwadze yi mu biara, okuromnyi o, ɔhɔho a ɔabɔsoɛ hom mu o:", ""
"LEV.18.27", "(na ekyiwadze yi nyinara na asaase no do nyimpa a wodzi hom enyim kan no ayɛ, na asaase no do egu fi;)", ""
"LEV.18.28", "amma asaase no aammfe hom so eenngu, wɔ aber a hom egu do fi no, dɛ mbrɛ ɔfee ɔman a odzii hom enyim kan no.", ""
"LEV.18.29", "Na obiara a ɔbɛyɛ ekyiwadze yi mu biara no, mekyerɛ akra no a wɔyɛ no, wobotwa hɔn efi hɔn man mu egu.", ""
"LEV.18.30", "Dɛm na hom nhwɛ m'ahwɛdze do, na hom aannyɛ atɔrmuadze nkɔnkɔw yi a wodzii hom enyim kan yɛe no mu biara, na hom eenngu homho fi wɔ mu: emi nye EWURADZE hom Nyankopɔn.", ""
