"LEV.23.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.23.2", "Kasa kyerɛ Israelmba, na se hɔn dɛ, EWURADZE n'afahyɛ a wɔahyehyɛ a, hom mpaa mu dɛ ɔyɛ nhyiamu krɔnkrɔn no, mekyerɛ iyinom nye m'afahyɛ a mahyehyɛ.", ""
"LEV.23.3", "Nda esia na wɔnyɛ edwuma: na da a otsia esuon no yɛ ahomgye mu ahomgyeda, nhyiamu krɔnkrɔn a; mma hom nnyɛ edwuma biara: ɔyɛ ahomgyeda ma EWURADZE wɔ hom tsenabew nyina.", ""
"LEV.23.4", "Iyinom nye EWURADZE n'afahyɛ a wɔahyehyɛ, mekyerɛ nhyiamu krɔnkrɔn a hom mpaa wɔ ne mber a wɔahyɛ mu no.", ""
"LEV.23.5", "Bosoom a odzi kan no ne da a otsia duanan no n'ewimbir no yɛ EWURADZE apaho.", ""
"LEV.23.6", "Na bosoom no ara mu da a otsia duenum no yɛ EWURADZE epitsi afahyɛ: nda esuon na hom ndzi epitsi.", ""
"LEV.23.7", "Da a odzi kan no nyɛ nhyiamu krɔnkrɔn: mma hom nnyɛ edwumadzen biara.", ""
"LEV.23.8", "Mbom hom mbɔ ogya afɔr mma EWURADZE nda esuon: da a otsia esuon no yɛ nhyiamu krɔnkrɔn; mma hom nnyɛ edwumadzen biara.", ""
"LEV.23.9", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.23.10", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ hom du asaase a medze rema hom no do, na wotwa no do ndɔbaa a, ɔno hom mfa hom ndɔbaa mu nduadzewakan no ifi mbrɛ ɔsɔfo no:", ""
"LEV.23.11", "na ɔntow ifi no wɔ EWURADZE enyim, ma ɔnsɔ enyi mma hom: ahomgyeda no n'adzekyee na ɔsɔfo no ntow.", ""
"LEV.23.12", "Na da a hom tow ifi no, hom mfa eguambaanyin a onndzii dzɛm a oedzi afrenhyia mbɔ ɔhyew afɔr mma EWURADZE.", ""
"LEV.23.13", "Na no ho edziban afɔr nyɛ isiam pa efa ebupɛn du mu ebien a wɔdze ngo afrɔw, ogya afɔr a oyi nka huanhuam ma EWURADZE: na no ho nom afɔr nyɛ wenyin,  hin   ebupɛn anan mu kor.", ""
"LEV.23.14", "Na mma hom nndzi boodoo, anaa eburow totoe, anaa nomanoma, kɛpem dɛ hom dze hom Nyankopɔn ayɛyɛdze no bɛba ana: ɔyɛ daa ahyɛdze wɔ hom ebusuasantsen mu wɔ hom tsenabew nyinara mu.", ""
"LEV.23.15", "Na hom mfitsi ahomgyeda no n'adzekyee nkan nda, mfa mfi da a hom dze ɔtow afɔr ifi baa no do; ma ahomgyeda esuon nwie du:", ""
"LEV.23.16", "hom nkan adaduenum ma onkesi ahomgyeda a otsia esuon no n'adzekyee; na hom mfa edziban afɔr fofor mbrɛ EWURADZE.", ""
"LEV.23.17", "Hom mfa efa ( efah ) ebupɛn du mu ebien nyɛ ntɔwntɔwmu mfi hom tsenabew mbra: ɔnyɛ isiam pa, wɔmfa mbɔrkaw nto, ma ɔnyɛ nduadzewakan mma EWURADZE.", ""
