"2TI.3.1", "Mbom tse ase dɛ nda a odzi ekyir no mu awerɛhow ber bɛba.", ""
"2TI.3.2", "Na nyimpa bɛyɛ ahopɛfo, sikapɛfo, ahohyehyɛfo, ahoramfo, ndzebɔfo, awofo do asoɔdzenfo, bɔnyiayɛfo, hɔn a hɔn ho nntsew,", ""
"2TI.3.3", "hɔn a wonnyi tsema, asɛnkadofo, anokumfo, hɔn a wonnyi ahohyɛdo, abɔyafo, hɔn a wɔmmpɛ papa,", ""
"2TI.3.4", "yimafo, akakabemfo, ahomemadofo, hɔn a wɔdɔ enyigye sen Nyankopɔn;", ""
"2TI.3.5", "hɔn a wɔyɛ dɛ wɔwɔ nyamesompa, naaso wɔpow n'ahoɔdzen no: woyinom na dan woho fi hɔn nkyɛn.", ""
"2TI.3.6", "Woyinom mu bi na wɔhɛnhɛn efiefi mu, kɛfa mbaa nkwasea a bɔn ahyɛ hɔn do na hɔn akɔndɔ horow dze hɔn rokɔ no ndɔmmum,", ""
"2TI.3.7", "hɔn a wosua daa, naaso wonntum nndu nokwar nyimdzee no ho da no.", ""
"2TI.3.8", "Na dɛ mbrɛ Jannes na Jambres nye Moses dzii esi no, dɛmara so na woyinom nye nokwar no dzi esi; nyimpa a hɔn adwen mu aprɔw a wɔmmfora wɔ gyedzi afamu.", "#Eks 7.11"
"2TI.3.9", "Na wɔronnkɔ hɔn enyim dodow biara: na hɔn nkwaseasɛm bɛda edzi wɔ nyimpa nyina enyim dɛ mbrɛ hɔndze so yɛe.", ""
"2TI.3.10", "Na ɔwo dze, idzii me nkyerɛkyerɛ, m'abrabɔ, me tsirmsɛm, me gyedzi, me penkyɛr, mo dɔ, m'abotar,", ""
"2TI.3.11", "m'ahohia, m'amandzehu ekyir; dza ɔbaa mo do wɔ Antiok, Ikonium, nye Listra; ahohia a mosɔwee; na Ewuradze gyee me fii ne nyinara mu no.", "#Ndwu 13.14-52; Ndwu 14.1-7; Ndwu 14.8-20"
"2TI.3.12", "Nyew, hɔn a wɔpɛ dɛ wɔdze nyamesompa tsena ase wɔ Kraest Jesus mu nyina bɔsɔw ahohia.", ""
"2TI.3.13", "Na nyimpa bɔn nye esisifo dze, wɔbɔkɔ hɔn enyim wɔ bɔn mu, wɔdaadaa, na wɔdaadaa hɔn.", ""
"2TI.3.14", "Na ɔwo dze, tsena dza esua na ehu no no nokwar no mu, na inyim hɔn a esua no hɔn ho.", ""
"2TI.3.15", "Na ofitsi wo mbofrabermu inyim kyerɛw krɔnkrɔn no a obotum edua Kraest Jesus mu gyedzi do ama eehu nyansa akɔ nkwagye mu no.", ""
"2TI.3.16", "Kyerɛwsɛm biara fi Nyankopɔn hɔ sunsum mu nkenyan, na oye ma nkyerɛkyerɛ, nkaenyim, ntsea, nye tsenenee mu ntsetsee:", ""
"2TI.3.17", "ama Nyankopɔn nyimpa no eedzi mu, woeesiesie no koraa ama edwuma pa biara.", ""
