"ECC.7.1", "Dzin pa ye sen ngo a ɔsom bo; na owuda sen awoda.", "#Mbɛ 22.1"
"ECC.7.2", "Eyiadze no kɔ ye sen aponto ase kɔ: osiandɛ ɔbra twa owu na ohia dɛ adasa dwendwen ho yie.", ""
"ECC.7.3", "Awerɛhow ye sen enyigye: osiandɛ dza ɔdze awerɛhow ba no ma osuahu.", ""
"ECC.7.4", "Enyansafo akoma wɔ eyiadze; na nkwasea akoma dze ɔwɔ enyigye fi mu.", ""
"ECC.7.5", "Enyansafo enyimka ne tsie ye sen dɛ nyimpa betsie nkwasea hɔn adwontow.", ""
"ECC.7.6", "Na mbrɛ nsoɛ dɛw turuturu wɔ kutu ase no, dɛmara so na ɔkwasea ne serew tse: dede gyan a; iyi so egyangyandze a.", ""
"ECC.7.7", "Ampaara apempensi ma onyansafo dan kwasea; na mboabagye fura enyiwa.", ""
"ECC.7.8", "Adze n'ewiei ye sen n'ahyɛse: na sunsum mu abotarnyi no, oye sen sunsum mu ɔkontompɔnyi.", ""
"ECC.7.9", "Mma mmpɛ ntsɛm wɔ wo sunsum mu mmfa ebufuw: na ebufuw tse nkwasea hɔn akoko mu.", ""
"ECC.7.10", "Mma woara ennka dɛ, Ɔyɛ dɛn ntsi na nkan no nda no oye sen iyinom yi? Osiandɛ nyansa biara nnyi dɛm asɛmbisa yi mu?", ""
"ECC.7.11", "Nyansa ye dɛ egyapadze ara so: nyew, oye dodow ma hɔn a wohu ewia.", ""
"ECC.7.12", "Na nyansa yɛ akoban, dɛ mbrɛ sika so yɛ akoban: na nyimdzee n'abɔso nye yi, dɛ nyansa kora nyia ɔwɔ no no nkwa.", ""
"ECC.7.13", "Dwendwen Nyankopɔn n'edwuma ho: na woana botum atsentsen dza ɔakyeakyea no no?", ""
"ECC.7.14", "Eyiedzi da mu, ma w'enyi ngye, na ahohiahia da mu, dwendwen: mpo Nyankopɔn ayɛ iyi afam ɔno ho, amma nyimpa biara ennhu n'ekyir biribiara a ɔbɛba.", ""
"ECC.7.15", "Iyinom nyinara mehu wɔ m'egyangyandze nda no mu: ɔtseneneenyi wɔ hɔ a ne ndzeyɛtsenenee nyina mu no, wotwa no kyen nna omumuyɛfo bi so wɔ hɔ a n'emumuyɛ nyina ekyir no, ɔkyɛr wiadze.", ""
"ECC.7.16", "Mma nnyɛ woho tseneneenyi nntra do; eso mma nnyɛ onyansafo nntra do: ɔyɛ dɛn ntsi na ebɛsɛɛ woara woho?", ""
"ECC.7.17", "Mma nnyɛ omumuyɛfo nntra do, eso mma nnyɛ kwasea. Ɔyɛ dɛn na ibotwar wo mber ano ewu?", ""
"ECC.7.18", "Oye dɛ ibosuo iyiara mu; nyew, ɔno so, mma nnyi wo nsa mmfi ho: na nyia osuro Nyankopɔn no, obefi ne nyinara mu efi.", ""
"ECC.7.19", "Nyansa yɛ ahoɔdzen ma onyansafo sen kuropɔn mu ahemfo du.", ""
"ECC.7.20", "Ampaara, ɔtseneneenyi nnyi asaase do a ɔyɛ papa na ɔnnyɛ bɔn.", ""
"ECC.7.21", "Eso mma mmfa nsɛm a wɔkeka nyinara nnyɛ asɛm; amma anntse dɛ w'akowaa rodom wo:", ""
"ECC.7.22", "na wankasa w'akoma so hu no mpɛn pii dɛ ɔwoara so adom binom dɛmara.", ""
"ECC.7.23", "Iyinom nyinara medze nyansa mosɔe hwɛe: mesee dɛ, mubohu nyansa; na ɔno so ɔnye me ntamu waree.", ""
"ECC.7.24", "Dza ɔwɔ hɔ yi, ɔwɔ ekyirekyir, na ɔyɛ dɔnkuronn: woana botum ehu?", ""
"ECC.7.25", "Medaan moho, na musuaa m'akoma mu dɛ mubohu na mapɛnsapɛnsa, na mahwehwɛ nyansa na ndzɛmba ase, na mehu dɛ emumuyɛ yɛ nkwaseadze, na nkwaseasɛm yɛ abɔdam:", ""
"ECC.7.26", "na mehu adze a ɔyɛ wenwen sen owu, mekyerɛ ɔbaa a ɔyɛ mfir, na n'akoma yɛ asawu, na ne nsa tse dɛ mpokyerɛ: nyia ɔsɔ Nyankopɔn enyi no, obefi ne nsa efi; na ɔdzebɔnyɛnyi dze, ɔbɛkyer no.", ""
"ECC.7.27", "Hwɛ, dza mehu nye yi, Ɔsɛnkafo no na ɔse, ɔdze adze kor so reka ho, dze ahwehwɛ ne siantsir:", ""
"ECC.7.28", "ɔno na me kra da ho hwehwɛ, naaso munnhunii: ɔbarimba baako na mehu no wɔ apem mu; na ɔbaa dze, munnhunii wɔ hɔn nyinara mu.", ""
"ECC.7.29", "Hwɛ, iyiara nko na mehu dɛ Nyankopɔn bɔɔ dasanyi tɔɔtsenn; na hɔnara na wɔakɔhwehwɛ tsirmu nhyehyɛɛ pii.", ""
