"ISA.64.1", "Ao, kɛtseankyɛ esunsuan ɔsorsor mu, na esian famu, ma mbepɔw apem asen wɔ w’enyim;", ""
"ISA.64.2", "dɛ mbrɛ ogya ma mbabaaba dzɛw, na ogya no ma esu hur: ama w’atamfo eehu wo dzin, na amanaman ho aapopo wɔ w’enyim!", ""
"ISA.64.3", "Ber a eyɛɛ ndzɛmba huhuhuhu a hɛn enyi annda kwan no, ɔwo isianee, mbepɔw wosowee wɔ w’enyim.", ""
"ISA.64.4", "Ofi tsetse adasa nntsee, aso mmbɔɔ do, enyiwa so nnhun Nyankopɔn bi ka wo ho a odzi dwuma ma nyia ɔtweɔn no no.", "#1 Kor 2.9"
"ISA.64.5", "Ɔwo na ihyia nyia ɔdze enyigye yɛ ndzeyɛtsenenee, hɔn a wɔkaa wo wɔ w’akwan mu: hwɛ, ɔwo wo bo fuwii, na hɛn yɛyɛɛ bɔn: bɔn mu na yɛatsena dadaada yi, na aso wɔbɛgye hɛn nkwa?", ""
"ISA.64.6", "Na hɛn nyinara ayeyɛ dɛ obi a no ho egu fi, na hɛn tsenenee nyinara tse dɛ atar fi pɔtɔɔ: na hɛn nyinara yɛpa dɛ ahataw; na hɛn emumuyɛ soa hɛn kɔ dɛ mframa.", ""
"ISA.64.7", "Na obi nnyi hɔ a ɔbɔ wo dzin, anaa okenyan noho a obosuo wo mu: na ɔwo eyi w’enyim ehuntsa hɛn, na enam hɛn emumuyɛ do ama yɛahyew.", ""
"ISA.64.8", "Naaso, ao EWURADZE, ɔwoara nye hɛn egya; awendɛtse no nye hɛn, na ɔwemfo no nye woara; na hɛn nyinara yɛyɛ wo nsaano edwuma.", ""
"ISA.64.9", "Ao EWURADZE, mma wo bo mmfuw pii, eso mma nnkaa emumuyɛ daa: to enyi hwɛ, yɛtotɔ serɛ wo, hɛn nyinara yɛyɛ wo man.", ""
"ISA.64.10", "Wo nkurow krɔnkrɔn no adan sar, Jerusalɛm adan amamfo.", ""
"ISA.64.11", "Hɛn fi krɔnkrɔn fɛɛfɛw mbrɛ hɛn egyanom yii wo ayɛw wɔ mu no, wɔdze ogya ahyew no; na hɛn afɛɛfɛdze nyinara ayɛ amamfo.", ""
"ISA.64.12", "Ao EWURADZE, aso iyinom ntsi ebɛkam woho? Aso ebɛyɛ komm, na ahaw hɛn kɛse pii?", ""
