"ISA.13.1", "Babilɔn ho nkɔnhyɛ a Amoz ba Isaia hunii.", "#Isa 47.1-15; Jer 50.1—51.64"
"ISA.13.2", "Hom nsi frankaa wɔ bepɔw petee no do, hom mma hom ndze do mma hɔn, hom nyam nsa mma hɔn ama wɔaakɛhɛn ekunyin mbobotsen no mu.", ""
"ISA.13.3", "Mahyɛ mo nkorɔfo a woetu hɔn esi nkyɛn no, nyew, mafrɛ me mbarimba akatakyi, mekyerɛ hɔn a wodzi mo tumdzi mu ehurusi no, dɛ wontu hɔn a m'ebufuw aba hɔn do no do sa.", ""
"ISA.13.4", "Tsie dede wɔ mbepɔw no do dɛ gyama ɔman kɛse bi dze! Tsie ahendzi horow ne gyigyeegye, amanaman a wɔaboa ano hɔn dede a! Dɔm EWURADZE rotwe no dɔm roboa hɔn ano akɔ ɔko.", ""
"ISA.13.5", "Wofi ekyirekyir asaase do, na wimu n'ewiei noho reba, EWURADZE, na n'ebufuhyew akodze no a, dɛ ɔrebɛsɛɛ asaase no nyina.", ""
"ISA.13.6", "Hom ntwa ewuo; na EWURADZE da no abɛn; ɔbɛba dɛ ɔsɛɛ a ofi Otumfo no hɔ.", ""
"ISA.13.7", "Dɛm ntsi nsa nyina mu bɔgow, na nyimpa akoma biara anan:", ""
"ISA.13.8", "na hɔn bo botu; nketsenketse nye awerɛhow bekitsa hɔn; ɔyaw bɛba hɔn do dɛ ɔbaa a ɔroko awoo: obiara dze hu bɔhwɛ ne nyɛnko enyim; na hɔn enyim bɛyɛ gyaframee enyim.", ""
"ISA.13.9", "Hwɛ, EWURADZE ne da no reba, etsirmɔdzen a ebufuw nye ebufuhyew ka ho; dɛ ɔrebɛyɛ asaase no afo, na ɔasɛɛ ndzebɔnyɛfo efi mu.", ""
"ISA.13.10", "Na ɔsor nworaba ɔnye hɔn nworaba ekuwekuw nnkɛma hɔn kan: ewia bɛhyɛ sum wɔ ne mfirii mu, na bosoom so nnkɛma ne kan ahyerɛn.", "#Eze 32.7; Mat 24.29; Mar 13.24, 25; Luk 21.25; Nyi 6.12, 13; 8.12"
"ISA.13.11", "Na mebɛtsea wiadze wɔ hɔn bɔn ntsi, na emumuyɛfo wɔ hɔn emumuyɛ ntsi; na mama ntsɛntsɛnnyi ne ntsɛn abɔ adze, na mama ahokyerɛfo hɔn ahokyerɛ abrɛ adze.", ""
"ISA.13.12", "Mebɛma nyimpa ho ayɛ na asen sika mapa, ɔdasanyi bɛsen Ofir sikakɔkɔɔ mpɔkowa mpo.", ""
"ISA.13.13", "Dɛm ntsi mebɛma ɔsorsor apopo, na wɔawosow asaase efi ne sibea, wɔ dɔm EWURADZE n'ebufuw no mu, na n'ebufuhyew da no mu.", ""
"ISA.13.14", "Na dɛ ɔwansan a woritsiw no, anaa nguan a obi mmboa hɔn ano no, obiara bɛdan no ho akɔ no nkorɔfo nkyɛn, na woeguanguan akokɔ hɔn asaase do.", ""
"ISA.13.15", "Obiara a wobohu no wobohwira no mu; na obiara a wɔbɛkyer no no, ɔbɔtɔ afona ano.", ""
"ISA.13.16", "Woboposow hɔn mbɔtowaba so wɔ hɔn enyim; wɔbɔfow hɔn efi na wɔabobɔ hɔn yernom adapaa.", ""
"ISA.13.17", "Hwɛ, murubohuenyan Mediafo etsia hɔn, hɔn a wonnkobu dwetɛ bi, na sika so wonnkenya mu enyigye.", ""
"ISA.13.18", "Hɔn ngyen bɛtsetsew mberantsɛ mu esinesin, na worinnya tsimbɔbɔr mma yafun mu aba; na wonkenya ayamuhyehye ama mbofraba.", ""
"ISA.13.19", "Na Babilɔn, ahendzi horow mu onyimnyamfo, Kaldeafo hɔn ahopɔw n'ahoɔfɛw no, ɔbɛyɛ dɛ Sodom nye Gomora ber a Nyankopɔn butuuw hɔn no.", "#Gye 19.24"
"ISA.13.20", "Wɔrenntsena mu ara da, eso ebusuasantsen kesi ebusuasantsen renntsena hɔ: Arabnyi biara nnkɔbɔ asese wɔ hɔ; eso nguanhwɛfo nnkɛma hɔn nguankuw ebutubutuw hɔ.", ""
"ISA.13.21", "Sar do mbowa abɔyafo mbom na wɔbɛdeda hɔ, na mpatu ebusufo bɛhyehyɛ hɔn adan amaama; na nsohor bɛtsena hɔ, na haban mu mpɔnkye asaw wɔ hɔ.", "#Isa 34.14; Zef 2.14; Nyi 18.2"
"ISA.13.22", "Na mpataku bosu wɔ hɔn aban mu, na sardo nkraman so, wɔ hɔn ahemfi fɛɛfɛw no mu: na ne ber abɛn dɛ ɔbɛba, na ɔnnkɛkyɛr ne ba no koraa.", ""
