"ISA.60.1", "Soɛr, hyerɛn; na wo kan aba, na EWURADZE n’enyimnyam asoɛr wo do.", ""
"ISA.60.2", "Na, hwɛ, sum bɛkata asaase do, na sum kebii akata aman do: na EWURADZE befir wo do, na n’enyimnyam woehu no wo do.", ""
"ISA.60.3", "Na amanaman bɛba wo kan ho, na ahemfo aba wo mfirii ne hyerɛn ho.", ""
"ISA.60.4", "Ma w’enyi do bɔ aprɔw, na hwɛ; hɔn nyinara wɔboa hɔn ano, wɔba wo nkyɛn: wo mbabanyin fi ekyirekyir bɛba, na wo mbabaa so woetutur hɔn abaw mu.", "#Isa 49.18; 66.12"
"ISA.60.5", "Ɔno na ibohu na w’enyim atsew, na w’akoma behihim na ɔayɛ kɛse; osiandɛ po mu ndzepa bɛdan aba wo hɔ, amanaman ahonya bɛba wo hɔ.", ""
"ISA.60.6", "Efumpɔnkɔ menyamenya bɛkata wo do, Midian na Efa efumpɔnkɔfɔr; hɔn nyinara wofi Seba bɛba. Wɔdze sika na nduhuam, na wɔbɔbɔ EWURADZE n’ayɛyi dawur.", ""
"ISA.60.7", "Kedar mbowa ekuwekuw nyina bɔboa ano aba wo nkyɛn, Nebaiot nguannyin bɔsom wo; wɔbɔfow aba m’afɔrmbukyia no do enyisɔ mu, na mahyɛ m’enyimnyam fi no enyimnyam.", ""
"ISA.60.8", "Woananom nye woyi a wotu dɛ nsuwusiw, na dɛ mbubur a wɔrokɔ hɔn ntokura mu yi?", ""
"ISA.60.9", "Ampaara nsuano aman bɔtweɔn me, na Tarsis ahɛn dzi kan, dɛ wɔdze wo mbabanyin fi ekyirekyir reba, hɔn dwetɛ na hɔn sika ka hɔn ho, wɔ EWURADZE wo Nyankopɔn ne dzin ntsi, na Israel Krɔnkrɔnnyi no ntsi, osiandɛ ɔno na ɔahyɛ wo enyimnyam.", ""
"ISA.60.10", "Na ananaben bɔtow w’afasu, na hɔn ahemfo bɔsom wo: na m’ebufuw mu na mobɔɔ wo, na m’enyimpa mu na mehu wo mbɔbɔr.", ""
"ISA.60.11", "W’aponkɛse so bɛda hɔ daa; wɔronntotow mu adzekyee na adzesaa; ama adasa wɔdze amanaman ahonya aabrɛ wo, na wɔaaka hɔn ahemfo aka hɔn ho aba.", ""
"ISA.60.12", "Na ɔman na ahenman biara a ɔnnkɔsom wo no, ɔbɛhera; nyew, amanaman no bɔbɔ huntuhuntu.", ""
"ISA.60.13", "Lebanon n’enyimnyam bɛba wo hɔ, ɔpepeaa, ɔsɛsɛw, na ɔpapaa dua bɔbɔ mu, dze abɛyɛ mo krɔnkrɔnbea hɔ fɛɛfɛw, na maahyɛ m’anan tsiabea no enyimnyam.", ""
"ISA.60.14", "Na hɔn a wohiahiaa wo ho no hɔn mbabanyin dze akotokotow bɛba wo nkyɛn; na hɔn a wobuu wo enyimtsia nyinara dze hɔn enyim bobom w’ananadze; na wɔbɛfrɛ wo EWURADZE no kuropɔn, Israel Krɔnkrɔnnyi no ne Zion.", "#Nyi 3.9"
"ISA.60.15", "Susuampaara dɛ wɔadan wo egya na woekyir wo, na nyimpa biara ammfa wo mu ntsi, mebɛyɛ wo otsitsir daa, na mayɛ mbasantsen pii hɔn enyigye.", ""
"ISA.60.16", "Eso ebɔnom amanaman numfonsu, na enum ahemfo hɔn enumfo: na ibohu dɛ emi EWURADZE nye w’agyenkwa, na wo pomfo, Jakob ne Katakyi no.", ""
"ISA.60.17", "Boran ananmu na medze sika bɛba abɛhyɛ, na dadze ananmu na medze dwetɛ bɛba abɛhyɛ, na dua ananmu na medze boran mebɛhyɛ, na abo ananmu medze dadze bɛhyɛ: eso mebɛma asomdwee ayɛ w’ahwɛdofo, na ndzeyɛtsenenee ayɛ wo bɔmbafo.", ""
"ISA.60.18", "Wɔnnkɛtse akatabansɛm nka wɔ w’asesee mu bio, amambɔe anaa ɔsɛɛ nka wɔ w’ahe do; na ebɛfrɛ w’afasu Nkwagye, na w’aponkɛse Ayɛyi.", ""
"ISA.60.19", "Ewia nnkɛyɛ wo kan adzekyee bio; eso bosoom nnkɛyɛ ɔhyerɛn ahyerɛn ama wo: na EWURADZE bɛyɛ ɔdomankoma kan ama wo, na wo Nyankopɔn ayɛ w’enyimnyam.", ""
"ISA.60.20", "W’ewia ronntɔ bio, eso wo bosoom ronntwe noho: na EWURADZE bɛyɛ wo domankoma kan, na wo nkɔmbɔdzi da abɔ adze.", ""
"ISA.60.21", "Wo man so nyinara bɛyɛ atseneneefo, wobenya asaase no edzi afebɔɔ; me ntsetsɛwee mu dubaa, me nsaano edwuma, ama wɔaahyɛ me enyimnyam.", ""
"ISA.60.22", "Kakraba no bɛdan apem, na dza osuar no adan ɔman dzendzen: emi EWURADZE na mebɛyɛ no ntsɛm wɔ ne ber mu.", ""
