"NAM.3.1", "Due, bɔgya kurow! Ɔwo a nsɛmfun na epoobɔsɛm ahyɛ wo ma; na ewudzi so mmpa wo mu da.", ""
"NAM.3.2", "Apɔnkɔbaa ne gyegyee, na ntseaseanam anan ne kyirdidi; mpɔnkɔ hɔn kwam kwam tutu, na ntseaseanam hɔn ehuruhuruw da no edzi dɛ;", ""
"NAM.3.3", "ɔpɔnkɔdofo dze rokɔbɔ enyi, na afona rinyinam, na peaa reyerɛyerɛw; na atɔfo pii, na efun kuw kɛsenara a efun no wonnhu ewiei; na wofintsifintsiw hɔn efun no do mpo.", ""
"NAM.3.4", "Iyi nyina fir Ninive, edwaman fɛɛfɛw, abayifo wuraba no, no ndwamansɛm dodow ntsi, ɔno a ɔdze ndwamansɛm tɔn amanaman, na ɔdze n’abayisɛm tɔn mbusua.", ""
"NAM.3.5", "Hwɛ, menye wo enya, dɔm EWURADZE na ɔse, na mebɛpa w’asetam egu w’etsifi, na mama amanaman ehu w’adagyaw, na ahenman ehu w’ahoto.", ""
"NAM.3.6", "Na mobɔtow fi tantanntan egu wo do, na mama adan atantandze, na medze wo esi hɔ dɛ ahwɛdze.", ""
"NAM.3.7", "Na ɔbɛba dɛ hɔn a wɔhwɛ wo nyina befi wo nkyɛn eguan, na wɔase dɛ, Ninive ayɛ ekurofo: woana na obosu ama no? Henfa na mobɔhwehwɛ ɔwerɛkyekyefo ama wo?", ""
"NAM.3.8", "Aso ɔwo iye sen No-amon a osi esutsen ntamu a esu etwa no ho ehyia no; na po yɛ ne ban na n’afasu no?", ""
"NAM.3.9", "Etiopia na Egypt nye n’ahoɔdzen, a nna hɔn tum nnyi mbanano; na Put na Lubim so nye n’aboafo.", ""
"NAM.3.10", "Naaso wɔdze no kɔree, wɔfaa no kɔr ndɔmmum: hɔn mbɔtowaba so wɔdze hɔn abobɔ abrɔn nyina do ekuku hɔn: na wɔtwee n’enyimnyamfo ho tonto, na ne nyimpa etsitsir nyina woguguu mpokyerɛ mu.", ""
"NAM.3.11", "Ɔwo so ahoguan bɔbow wo, ibosuma, na ɔwo so bɔhwehwɛ guansumabew wɔ ɔtamfo no ntsi.", ""
"NAM.3.12", "W’abankɛse nyinara bɛyɛ dɛ adɔmbandua no do wɔ adɔmbakan beree: sɛ wɔwosow a, ɔtsetsew totɔ odzifo no n’anomu.", ""
"NAM.3.13", "Hwɛ, wo akofo ayɛ mbaa wɔ wo mu; woebuebue w’asaase no mbobokɛse no pataa ama w’atamfo: na gya ahyew w’abokɛse ekyir adaban.", ""
"NAM.3.14", "Sesaw nsu sie ntuae no, miamia w’abankɛse no mu: tsia dɛtse, na wɔw kaadow dɛtse, ma ntayaa fononoo no nyɛ dzen.", ""
"NAM.3.15", "Hɔ na gya bɛmen wo; afona botwa wo akyen, ɔbɛmen wo dɛ mbrɛ nkonyinko memen dza wohu biara: na kaansa ema wo dodow yɛ pii dɛ nkonyinko, anaadɛ mbɛbɛw mpo a.", ""
"NAM.3.16", "Ama w’eguadzifo adɔɔ so asen ɔsor nworaba; naaso tse dɛ nkonyinko no, wɔfa wo afo, na wotu kɔ.", ""
"NAM.3.17", "Wo dɔm a wɔbobɔ abɔtsir tse dɛ mbɛbɛw, na w’asafohemfo tse dɛ mbɛbɛw mintsimintsi a wɔsensam ban ho wɔ awɔw da mu, na sɛ ewia fir a, wotu kɔ, na wonnhu fakor a wɔkɔ.", ""
"NAM.3.18", "Ao Asiriahen, w’aweɔmfo atotɔ nkom: w’akofo regye hɔn ahom: wɔabɔ wo man apetse mbepɔw do, na obi nnyi hɔ a ɔboaboa hɔn ano.", ""
"NAM.3.19", "Wo kur no nnyi mbotowee; wo pirakur no yɛ dzen: hɔn a wɔtse wo nka nyina bɔ hɔn nsamu gu wo do; osiandɛ woana koraa do na emmfaa wo daadaa emumuyɛ no nkɔree?", ""
