"JDG.14.1", "Da bi Samson sii mu kɔr Timna, na okohun ɔbaa bi wɔ hɔ a ofi Filistiafo mbabaa no mu.", ""
"JDG.14.2", "Na ɔbae bɛkaa kyerɛɛ n'egya na ne na, na ɔsee dɛ, Mekohu ɔbaa bi wɔ Timna a ofi Filistiafo mbabaa no mu: dɛm ntsi afei hom nkɛgye no yer mma me.", ""
"JDG.14.3", "Nna n'egya na ne na see no dɛ, Ana ɔbaa biara nnyi wo nuanom mbabaa no mu, anaa mo nkorɔfo nyinara mu, na erokɔ akɔwar wɔ Filistiafo monomonomfo no mu yi? Na Samson see n'egya dɛ, Kɛgye no ma me; na ɔnoara na mepɛ no dodow.", ""
"JDG.14.4", "Nna n'egya na ne na dze wonnyim dɛ ofir EWURADZE; osiandɛ ɔhwehwɛɛ ɔkwan bi wɔ Filistiafo no ho. Afei aber no mu na Filistiafo na wɔhyɛ Israel do.", ""
"JDG.14.5", "Nna Samson, na n'egya na ne na, sii mu kɔr Timna, na wodur Timna wenyin nture ho: na, hwɛ, gyata eburwa bi pɔɔw no.", ""
"JDG.14.6", "Na EWURADZE no sunsum baa no do dzendzenndzen, na ɔtsetseew no mu dɛ mbrɛ nkyɛ ɔbɛtsetsew apɔnkyeba mu, nna hwee nndze ne nsamu: na ɔannka dza ɔyɛe no annkyerɛ n'egya anaa ne na.", ""
"JDG.14.7", "Na osii mu kɔree, na ɔnye ɔbaa no kɛkasae; na ɔsɔɔ Samson n'enyi dɛ.", ""
"JDG.14.8", "Na n'ekyir mber kakra no ɔsanee kɔr dɛ orikehyia no, na ɔmanee dɛ ɔrokɔhwɛ gyata fun no: na, hwɛ, ndowa menyamenya, na ewo wɔ gyata honandua no mu.", ""
"JDG.14.9", "Na ɔfae kitsaa ne nsamu kɔree, na ɔrokɔ no na oridzi, na okodur n'egya na ne na nkyɛn, na ɔmaa hɔn bi, na wodzii: na ɔannka annkyerɛ hɔn dɛ oyii ewo no wɔ gyata honandua mu.", ""
"JDG.14.10", "Na n'egya sii mu kɔr ɔbaa no nkyɛn, na Samson too pon wɔ hɔ; dza nna mbrɛ mberantsɛ no tɔ dɛ wɔyɛ nye yi.", ""
"JDG.14.11", "Na ɔbaa dɛ, aber a wohun no no, wɔdze anyɛnkofo eduasa baa dɛ wɔmbɛka no ho.", ""
"JDG.14.12", "Na Samson see hɔn dɛ, Afei wɔmma memma hom abrɔme bi: sɛ hom tum hu ka kyerɛ me wɔ aponto nda esuon yi mu a, ɔno mebɛma hom ndwera ntar eduasa na nkatado asorɔtow eduasa:", ""
"JDG.14.13", "na sɛ hom ennhu annka annkyerɛ me a, ɔno hom mma me ndwera ntar eduasa na nkatado asorɔtow eduasa. Na wɔsee no dɛ, Fa w'abrɔme no bra, ma yentsie.", ""
"JDG.14.14", "Na ɔsee hɔn dɛ, Odzidzifo no mu na edziban fi bae, Na ɔhoɔdzenfo no mu na dɔkɔdɔkɔ fi bae. Na ndaansa na wonntum nnkyerɛ abrɔme no.", ""
"JDG.14.15", "Na ɔbaa dɛ da a otsia esuon no, wɔsee Samson ne yer no dɛ, Daadaa wo kun, ma ɔnkyerɛ hɛn abrɔme no, amma yaammfa ogya annhyew ɔwo na w'egya fi: ana hom behyiaa hɛn aabɔ hɛn epoo anaa? Ɔnntse dɛm bi a?", ""
"JDG.14.16", "Na Samson ne yer no sui tɔɔ no do, na ɔsee dɛ, Ɔtan mbom na etan me, na enndɔ me bi: ɔwo edze abrɔme ama me man mba, na ennkaa nnkyerɛɛ me. Na ɔsee no dɛ, Hwɛ, m'egya na me na mpo mennkaa nnkyerɛɛ hɔn, na ɔwo na menka nkyerɛ wo anaa?", ""
"JDG.14.17", "Na osui tɔɔ no do nda esuon no, aber a hɔn aponto no si do no nyina: na ɔbaa dɛ da a otsia esuon no, ɔkaa kyerɛɛ no, osiandɛ ɔhaaw no dodow na ɔbaa no kɛkaa abrɔme no kyerɛɛ ne man mba no.", ""
"JDG.14.18", "Na da a otsia esuon no ansaana iwi rotɔ no kurow no mu mba no see no dɛ, Ebɛnadze na ɔyɛ dɔkɔdɔkɔ sen ewo? Na ebɛnadze na no ho yɛ dzen sen gyata: Na ɔsee hɔn dɛ, Sɛ hom ammfa me nantwi emmfuntum a, Nkyɛ hom ennhu m'abrɔme no.", ""
"JDG.14.19", "Na EWURADZE no sunsum baa no do dzendzenndzen, na osii mu kɔr Ashkelon, na okokunkum hɔn mu mbarimba eduasa, na ɔfaa hɔn asadze, na ɔdze nkatado asorɔtow no maa hɔn a wɔkyerɛɛ abrɔme no. Na n'ebufuw dzɛwee, na osii mu kɔr n'egya fie.", ""
"JDG.14.20", "Na Samson ne yer no dze, wɔdze no maa ne nyɛnko a odzii n'ekyir wɔ awar no mu no.", ""
