"LUK.15.1", "Na atowgyefo nye ndzebɔnyɛfo nyina twee piinii dɛ woribetsie no.", "#Luk 5.29, 30"
"LUK.15.2", "Na Farisiifo nye mbrakyerɛfo no so hwinhwiin dɛ, Dɛm nyimpa yi gye ndzebɔnyɛfo, na ɔnye hɔn dzidzi.", ""
"LUK.15.3", "Dɛm ntsi Jesus buu hɔn bɛ yi dɛ,", ""
"LUK.15.4", "Hom mu nyimpa bɛn na sɛ ɔwɔ nguantsen ɔha, na hɔn mu kor kɛyew a, onnkegyaa eduokron akron no wɔ sar do, na ɔnnka dza ayew no do nnkodu dɛ obohu no?", ""
"LUK.15.5", "Na sɛ ohu no a, ɔdze no to ne batsir do, na odzi dɛw.", ""
"LUK.15.6", "Na sɛ ɔba fie a, ɔfrɛfrɛ n’anyɛnkofo nye no sɔnmufo boa ano, na ɔse hɔn dɛ, Hom nye me ndzi dɛw, na mehu mo guan a ɔyewee no.", ""
"LUK.15.7", "Mese hom dɛ, Dɛmara na dɛw bɛba ɔsor wɔ ɔdzebɔnyɛnyi baako a onu noho, sen atseneneefo eduokron akron a wonnhia nnuho no.", ""
"LUK.15.8", "Anaaso ɔbaa bɛn na ɔwɔ sika ndwetɛbona du na sɛ no mu kor yew a, ɔronnsɔ kandzea, na ɔmmpra dan mu, na ɔnnhwehwɛ no yie ara nnkodu dɛ obohu?", ""
"LUK.15.9", "Na sɛ ohu a, ɔfrɛfrɛ n’anyɛnkofo nye no sɔnmufo boa ano se dɛ, Hom nye me ndzi dɛw, na mehu dwetɛbona a ɔyewee no.", ""
"LUK.15.10", "Mese hom dɛ, Dɛmara na dɛw ba Nyankopɔn abɔfoe enyim wɔ ɔdzebɔnyɛnyi baako a onu noho no ho.", ""
"LUK.15.11", "Na ɔsee dɛ, Nyimpa bi wɔ mbabanyin beenu:", ""
"LUK.15.12", "na hɔn mu kakraba no see n’egya dɛ, Egya, fa w’ahodze mu kyɛpɛn a ɔbɛyɛ medze no ma me. Na ɔkyɛɛ n’egyapadze mu maa hɔn.", ""
"LUK.15.13", "Na enndzi da biara na ɔba kakraba no boaboaa ne nyina ano, na ɔdɔɔ mu kɔr asaase bi do ekyirekyir; hɔ na ɔkɔbɔɔ asakasakabra sɛɛ n’ahodze nyina.", ""
"LUK.15.14", "Na ɔhweer ne nyina wiei no, ɔkɔm kɛse bi baa asaase no do, na ɔhyɛɛ ase dzii hia.", ""
"LUK.15.15", "Na ɔkɔree dze noho kɔbɔɔ asaase no do nkorɔfo no mu bi ho; na ɔsomaa no ma ɔkɔr ne hamu kɛnyɛɛn mpreko.", ""
"LUK.15.16", "Na no kɔn dɔɔ dɛ ɔdze eduwahon a mpreko dzi no bi hyɛ ne yafun ma; naaso obiara amma no.", ""
"LUK.15.17", "Na n’enyi baa noho do no, ɔkaa dɛ, Apaafo ahen na m’egya wɔ a wɔwɔ edziban dzi ma ɔbor do, na emi ɔkɔm ruku me yi?", ""
"LUK.15.18", "Mobɔsoɛr, na makɔ m’egya nkyɛn, na mase no dɛ, Egya, mayɛ bɔn etsia ɔsor nye w’enyim,", ""
"LUK.15.19", "na memmfata dɛ wɔfrɛ me wo ba bio: na yɛ me dɛ w’apaafo no mu baako.", ""
"LUK.15.20", "Na ɔsoɛree baa n’egya nkyɛn. Na ɔda ho wɔ ekyirekyir no, n’egya hun no, na ne yamu hyehyee no, na otuu mbirika kɛbaar no kɔn, na ɔfeew n’ano.", ""
"LUK.15.21", "Na ɔba no see no dɛ, Egya, mayɛ bɔn etsia ɔsor nye w’enyim, na memmfata dɛ wɔfrɛ me wo ba bio.", ""
"LUK.15.22", "Na n’egya no see no nkowaa dɛ, Hom nyɛ ntsɛm mfa atar pa mbra mbɛhyɛ no, na hom mfa mpɛtsea nhyɛ ne nsa, nye mpaboa nhyɛ ne nan;", ""
"LUK.15.23", "na hom mfa nantwiba a ɔadɔ seradze no mbra mboku no, na yendzi, na hɛn ho ntɔ hɛn,", ""
"LUK.15.24", "osiandɛ me babanyin yi owui, na oenyan bio; ɔyewee, na woehu no. Na wɔhyɛɛ ase maa hɔn enyi gyee.", ""
"LUK.15.25", "Nna ne ba panyin no wɔ hamu: na ɔreba na ɔbɛɛn fie no, ɔtsee asanku nye asaw.", ""
"LUK.15.26", "Na ɔfrɛɛ nkowaa no baako bisaa no dza ɔrokɔ do.", ""
"LUK.15.27", "Na ɔsee no dɛ, Wo nua aba, na w’egya eku nantwiba a ɔadɔ seradze no, osiandɛ ne nsa aka no nkwahosan mu.", ""
"LUK.15.28", "Na no bo fuwii, na ɔammpɛ dɛ ɔkɔ fie; na n’egya puei bɔtotɔe serɛɛ no.", ""
"LUK.15.29", "Na ɔno dze, obuaa n’egya dɛ, Hwɛ, mfe pii yi na masom wo, eso mommfoom wo mbra do da; naaso emi dze, emmaa me apɔnkyeba mpo dɛ menye m’anyɛnkofo mfa nngye hɛn enyiwa da;", ""
"LUK.15.30", "na wo ba yi a ɔnye ndwaman edzi w’ahodze yi bae no dze, eku nantwiba a ɔadɔ seradze no ama no.", ""
"LUK.15.31", "Na n’egya see no dɛ, Ɔba, ɔwo wɔ me nkyɛn daa, na dza mowɔ nyina yɛ wodze.", ""
"LUK.15.32", "Na ɔsɛ dɛ hɛn ho tɔ hɛn, na yedzi dɛw: osiandɛ wo nua yi, owui, na ɔtse ase bio: ɔyewee, na woehu no.", ""
