"DAN.5.1", "Ɔhen Belsazar too n’ebirɛmpɔn apem pon kɛse, na ɔnoom nsa wɔ hɔn enyim.", ""
"DAN.5.2", "Ber a nsa no baa n’enyi do no, ɔhyɛɛ dɛ wɔmfa sika na dwetɛ nkɔɔpow a n’egya Nebukadenezar kɛfaa no asɔrdan a ɔwɔ Jerusalɛm mu no mbra; ma ɔhen no na n’ebirɛmpɔn, ne yernom na no nwewefo nnom mu.", ""
"DAN.5.3", "Nna wɔdze sika nkɔɔpow a wɔkɛfaa no Nyankopɔn fie asɔrdan a ɔwɔ Jerusalɛm mu no bae; na ɔhen no na n’ebirɛmpɔn, ne yernom na no nwewefo no noom mu.", ""
"DAN.5.4", "Wɔnoom nsa, na wɔkamfoo sika, na dwetɛ, boran, dadze, ndua, na abo abosom no.", ""
"DAN.5.5", "Dɔn no ara mu na nyimpa nsatseaba puei bae bɛkyerɛɛw ahemfie fasu no ne ban ho wɔ kandzeadua no ne tsentsendo: na ɔhen hun nsa a ɔkyerɛwee no ne fa bi.", ""
"DAN.5.6", "Nna ɔhen no n’enyim danee, na n’adwen haaw no; na n’asen mu akwaa sansanee, na no nkotodwe sesɛɛ ho biribiriw.", ""
"DAN.5.7", "Ɔhen tseaa mu dzendzen dɛ wɔmfa nkaberkyerfo, Kaldeafo, na sebramufo mbra. Ɔhen no kaa kyerɛɛ Babilɔn enyansafo no dɛ, Obiara a ɔbɛkenkan kyerɛw yi, na wɔakyerɛ me n’ase no, wobofura no ɔberdum, na oenya sika ntweaban egu no kɔn mu, na ɔayɛ ahenman yi mu tumdzifo a otsia ebiasa.", ""
"DAN.5.8", "Nna ɔhen no n’enyansafo no nyina bae: na woenntum annkenkan kyerɛw no, eso wɔamma ɔhen no ennhu nkyerɛase no.", ""
"DAN.5.9", "Nna ɔhen Belsazar no ho guaan no kɛse, na n’enyim danee, na n’ebirɛmpɔn no hɔn enyi bɔe.", ""
"DAN.5.10", "Na osian ɔhen na n’ebirɛmpɔn hɔn kasaa no ntsi, ɔhembaa no baa aponto dan no mu: ɔhembaa no kasae see dɛ, Ɔhen, nya nkwa daa; mma w’adwen nnhaw wo, eso mma w’enyim nndan:", ""
"DAN.5.11", "banyin bi wɔ w’ahenman mu a abosom krɔnkrɔn sunsum wɔ no mu, na wohun no mu kan, na nyimdzee, na nyansa a ɔtse dɛ abosom nyansaa wɔ w’egya nda no mu: na w’egya Nebukadenezar, mekyerɛ w’egya ɔhen noara, dze no sii nkongyaayifo, nkaberkyerfo, Kaldeafo na sebramufo do panyin;", ""
"DAN.5.12", "osiandɛ wohun sunsum a ɔkyɛn, na nyimdzee, na ntseasee, adaaso asekyerɛ, na nsɛm a no mu yɛ sum mu kyerɛ, na anyanyan pɔw mu san, wɔ Daniel kor yi ara a ɔhen too no Bɛltesasar no mu. Afei ma wɔnkɛfrɛ Daniel, na ɔbɛkyerɛ ase.", ""
"DAN.5.13", "Nna wɔdze Daniel baa ɔhen no enyim. Ɔhen no bisaa Daniel dɛ, Ana ɔwo nye Daniel a ifi Juda ndɔmmummba a m’egya dze hɔn fi Juda bae no mu no?", ""
"DAN.5.14", "Matse wo nka dɛ abosom no sunsum wɔ wo mu, na dɛ woehu kan na ntseasee na nyansa kyɛnee wɔ wo mu.", ""
"DAN.5.15", "Na afei wɔdze enyansafo, nkaberkyerfo, aba m’enyim dɛ wɔmbɛkenkan kyerɛw no na wɔmma munhu ne nkyerɛase: na woenntum asɛm no n’ase kyerɛ.", ""
"DAN.5.16", "Na matse wo nka, dɛ itum asɛm ase kyerɛ, na esan anyanyan pɔw: afei sɛ itum kenkan kyerɛw no, na ema muhu ne nkyerɛase a, wobofura wo ɔberdum, na enya sika ntweaban egu wo kɔn mu, na ayɛ ahenman no tumdzifo a otsia ebiasa.", ""
