"AMO.5.1", "Ao Israelmba, hom ntsie asɛm bi a mema do dɛ kwadwom wɔ hom ho.", ""
"AMO.5.2", "Israel baabun ahwe ase; ɔronnsoɛr bio: wɔatow no akyen wɔ n'asaase do; obi nnyi hɔ a ɔma no do.", ""
"AMO.5.3", "Na mbrɛ EWURADZE Nyankopɔn se nye yi: Kurow a ɔdze apem tui no, ɔbɛka no ɔha, na dza ɔdze ɔha tui no, ɔbɛka no du, dze ama Israelmba.", ""
"AMO.5.4", "Na mbrɛ EWURADZE se Israelmba nye yi, Hom nhwehwɛ me, ama hom eenya nkwa:", ""
"AMO.5.5", "na mma nnhwehwɛ Bɛtɛl, eso mma hom nnhɛn Gilgal, na mma hom nntwa mu nnkɔ Beer-seba: na ndɔmmum ara na Gilgal bɔkɔ, na Bɛtɛl bɛyɛ gyan.", ""
"AMO.5.6", "Hom nhwehwɛ EWURADZE, na hom enya nkwa; amma oeemmpue dɛ gya wɔ Josef fi mu na ɔaannhyew osiandɛ obi nnyi hɔ a obodum no wɔ Bɛtɛl:", ""
"AMO.5.7", "hom a hom dan atsɛmbu bɔwen, na hom dze tsenenee hwehwe famu;", ""
"AMO.5.8", "hwehwɛ onyia no a ɔyɛ nworaba a bi nye Aberwa na mba na Etsekwagyan, na ɔdan sum kebii adzekyee, na ɔma adzekyee hyɛ anadwe sum; ɔno a ɔfrɛ po nsu, na ohue gu asaase enyi no; EWURADZE nye ne dzin;", "#Job 9.9; 38.31"
"AMO.5.9", "ɔno a ɔma ɔsɛɛ pue awora ba ɔhoɔdzennyi do, na ɔma ɔsɛɛ ba abankɛse do no.", ""
"AMO.5.10", "Wɔtan nyia ɔka enyim wɔ abobokɛse mu, na wokyir nyia ɔkasa tɔɔtsen.", ""
"AMO.5.11", "Dɛm ntsi susuampaara dɛ hom tsiatsia ɔbɔbɔfo do, na hom gye no hɔ apempem ewifua ntsi: hom esisi abo twae adan, naaso hom renntsena mu; hom atsetsɛw wenyin nture fɛɛfɛw, na hom ronnom mu nsa.", ""
"AMO.5.12", "Na minyim mbrɛ hom mbrato dua dɔɔ so, na mbrɛ hom bɔn dua yɛ dzen; hom a hom hiahia ɔtseneneenyi ho, hom gye mboaba, na hom kyea ehiafo asɛm wɔ kuropɔn mu (asɛndzii).", ""
"AMO.5.13", "Dɛm ntsi ɔbadwembanyi no bɛyɛ komm wɔ dɛm ber no mu; osiandɛ ɔyɛ ber bɔn.", ""
"AMO.5.14", "Hom nhwehwɛ papa, na nnyɛ bɔn a, ama hom eenya nkwa: nna EWURADZE, dɔm Nyankopɔn no, nye hom bɛtsena dɛ mbrɛ hom ka no.", ""
"AMO.5.15", "Hom ntan bɔn, na hom ndɔ papa, na hom ntsintsim atsɛmbu wɔ asɛndzii: na bi a EWURADZE, dɔm Nyankopɔn no, bohu Josef nkaase no mbɔbɔr.", ""
"AMO.5.16", "Dɛm ntsi Jehova, dɔm Nyankopɔn, EWURADZE no, mbrɛ ɔse nye yi: Ewuotwa bɛba abɔntsen nyinara do; na wɔbɛka wɔ abrɔn nyinara mu dɛ, Ebei! Ebei! Na wɔbɛfrɛ okuafo ma oedzi nkɔmbɔ, na abefo ma woetwa ewuo.", ""
"AMO.5.17", "Na ewuotwa bɛba wenyin nture nyina mu: osiandɛ mubotwa mu edua wo mu, EWURADZE na ɔse.", ""
"AMO.5.18", "Hom a hom afe EWURADZE ne da no, hom ndue! Ɔyɛ dɛn ntsi na hom repɛ EWURADZE ne da no? Hwɛ ɔyɛ sum o, na nnyɛ kan bi a.", ""
"AMO.5.19", "Ɔtse dɛ nyimpa bi ruguan gyata, na osisi ehyia no anaa ɔaba fie dze ne nsa akɔtwer ban, na ɔwɔ aka no.", ""
"AMO.5.20", "Aso EWURADZE ne da no nnyɛ sum na ɔbɛyɛ, na nnyɛ kan o? Sum katoo a hyerɛn biara nnyi mu a.", ""
"AMO.5.21", "Mikyir, na mopow hom afahyɛ nda no, na mirinnya enyigye biara wɔ hom ehyiadzi krɔnkrɔn no mu.", "#Isa 1.11-14"
"AMO.5.22", "Nyew, sɛ hom dze hom ɔhyew afɔr na edziban afɔr brɛ me mpo a, m'enyi ronnsɔ: eso murummbu hom mbowa a wɔadɔ seradze no ho asomdwee afɔr no bi.", ""
"AMO.5.23", "Fa w'adwontow ne dede no fi mo do; na mirinntsie w'asanku ne dɛɛdɛw no.", ""
"AMO.5.24", "Mbom hom mma atsɛmbu mpem mbra dɛ nsu, na ndzeyɛtsenenee mbra dɛ nsu pramee.", ""
"AMO.5.25", "Ao Israelmba, ana hom na wɔdze okum afɔr na ayɛyɛdze brɛɛ me wɔ sar no do mfe eduanan no?", "#Ndwu 7.42-43"
"AMO.5.26", "Ɛhɛɛ, hom asoa hom hen Sakut na hom ehonyi Kiun, ɔbosom a hom yɛe maa hom ho no nworaba.", ""
"AMO.5.27", "Dɛm ntsi na mebɛma hom akɔ ndɔmmum atra Damaskɔs, EWURADZE a ne dzin dze dɔm Nyankopɔn no, na ɔse.", ""
