"GEN.2.1", "Na wowiee sor nye asaase nye dza ɔwɔ mu nyinara yɛ.", ""
"GEN.2.2", "Na da a otsia esuon no nna Nyankopɔn ewie n'edwuma a ɔyɛɛ no nyinara; na ɔhomee fii no ndwuma no ho.", "#Eks 20.11 #Heb 4.4, 10"
"GEN.2.3", "Na Nyankopɔn hyiraa da a otsia esuon no do na ɔtseew ho: osiandɛ ɔno mu na ɔhomee fii no ndwuma a ɔayɛ nyinara ho.", ""
"GEN.2.4", "Iyi nye sor nye asaase ho nsɛm. Ber a EWURADZE Nyankopɔn yɛɛ asaase nye sor no,", ""
"GEN.2.5", "nna hamu dua biara nnyae mmbaa asaase do, na hamu ahaban biara nnyae mmfirii: osiandɛ EWURADZE Nyankopɔn nntɔɔ nsu nnguu asaase do, na nyimpa so nnyi hɔ a ɔbɔdɔw.", ""
"GEN.2.6", "Na nsu fi asaase do bɔfɔɔw asaase enyi nyinara.", ""
"GEN.2.7", "Na EWURADZE Nyankopɔn dze asaase do huntuma bɔɔ nyimpa, na oguu nkwahwea guu n'ahwentokura mu; na nyimpa bɛyɛɛ ɔkra tseasefo.", "#1 Kor 15.45"
"GEN.2.8", "Na EWURADZE Nyankopɔn yɛɛ ture wɔ Eden, wɔ boka afamu; na hɔ na ɔdze nyimpa a ɔayɛ no no toe.", ""
"GEN.2.9", "Na EWURADZE Nyankopɔn maa ndua a ɔyɛ fɛw, na oye dɛ wodzi nyinara fifirii. Ture no ne finimfin na nkwadua no wɔ, na papa nye bɔn ho nyimdzee dua no so si.", "#Nyi 2.7; 22.2, 14"
"GEN.2.10", "Na esutsen bi fi Eden kɔree kɔfɔɔw ture no; na ofi hɔ na no mu paapaae, na ɔbɛyɛɛ nsutsir anan.", ""
"GEN.2.11", "Dza odzi kan no ne dzin dze Pison: ɔno na otwa Havila asaase a sika kɔkɔɔ wɔ do no nyinara ho hyia.", ""
"GEN.2.12", "Na asaase no do sika ye, na bedola eduhuam nye epopobibir abo so wɔ hɔ.", ""
"GEN.2.13", "Na esutsen a otsia ebien no ne dzin dze Gihon: ɔno na otwa Kus  asaase nyinara ho hyia no.", "#2.13 KUS: Ɔnoara nye ndɛ Etiopia."
"GEN.2.14", "Na esutsen a otsia ebiasa no ne dzin dze Tigris : ɔno na otwa mu wɔ Asiria boka no. Esutsen a otsia anan no nye Eufrates.", "#2.14 TIGRIS: Hibriw mu no wɔfrɛ no Hidekel."
"GEN.2.15", "Na EWURADZE Nyankopɔn faa nyimpa no, na ɔdze no kɔtoo Eden ture no mu dɛ onsiesie hɔ, na ɔnhwɛ hɔ.", ""
"GEN.2.16", "Na Ɔhyɛɛ mbra maa nyimpa no dɛ, Ture yi mu ndua nyinara dzi bi:", ""
"GEN.2.17", "na papa nye bɔn ho nyimdzee dua no dze, mma nndzi bi: na da ara a ibedzi bi no, ampaara dɛ ibowu.", ""
"GEN.2.18", "Na EWURADZE Nyankopɔn see dɛ, Onnye dɛ nyimpa no nko tsena hɔ; mebɛyɛ boafo a ɔfata no ama no.", ""
"GEN.2.19", "Na EWURADZE Nyankopɔn dze dɛtse yɛɛ hamu mbowadoma nyinara, nye wimu ntumbowa nyinara; na ɔdze hɔn brɛɛ nyimpa no dɛ ɔnhwɛ mbrɛ ɔbɛfrɛ hɔn: na dzin biara a nyimpa no dze frɛɛ abɔdze biara a nkwa wɔ no mu no, ɔnoara nye ne dzin.", ""
"GEN.2.20", "Na nyimpa no totoo ofiembowa nyinara, nye wimu ntumbowa, nye hamu mbowadoma nyinara edzin; na nyimpa dze woennhu boafo a ɔfata no amma no.", ""
"GEN.2.21", "Na EWURADZE Nyankopɔn maa nda heii tɔɔ nyimpa no do, na ɔdae; na oyii ne mparba mu kor, na ɔdze nam hyɛɛ n'ananmu.", ""
"GEN.2.22", "Na EWURADZE Nyankopɔn dze aparba a oyii no nyimpa no mu no yɛɛ ɔbaa, na ɔdze no brɛɛ nyimpa no.", ""
"GEN.2.23", "Na nyimpa no see dɛ, Nyew! Me mbiew mu biew, na mo honam mu nam ankasa nye yi. Oyi dze, wɔbɛfrɛ no Ɔbaa, osiandɛ woyii no wɔ Banyin mu.", ""
"GEN.2.24", "Dɛm ntsi na banyin begya ne na nye n'egya wɔ hɔ, na ɔdze noho akɛbata ne yer ho: na wɔayɛ honankor.", "#Mat 19.5; Mar 10.7, 8; 1 Kor 6.16; Efe 5.31"
"GEN.2.25", "Nna hɔn beenu no nyinara dzi adagyaw, banyin no nye ne yer no, naaso wɔammfɛr.", ""
