"GEN.21.1", "Na EWURADZE bɛseraa Sara dɛ mbrɛ ɔsee no, na Ɔyɛɛ Sara dɛ mbrɛ ɔbɔɔ no anohoba no.", ""
"GEN.21.2", "Na Sara nyinsenii, na ɔwoo babanyin maa Abraham wɔ no nkɔdaaber mu, wɔ aber a EWURADZE kaa ho asɛm kyerɛɛ no no mu.", "#Heb 11.11"
"GEN.21.3", "Na Abraham too ne babanyin a Sara woo no maa no no, dzin Isaak.", ""
"GEN.21.4", "Na Abraham ne ba Isaak dzii nda awɔtwe no, otwaa no twatsia, dɛ mbrɛ Nyankopɔn hyɛɛ no no.", "#Gye 17.12; Ndwu 7.8"
"GEN.21.5", "Na aber a wɔwoo ne ba Isaak maa no no, nna Abraham edzi mfe ɔha.", ""
"GEN.21.6", "Na Sara see dɛ, Nyankopɔn ama maserew; hɔn a wɔbɛtse nyinara nye me bɛserew.", ""
"GEN.21.7", "Na ɔsee dɛ, Woana na nkyɛ akyerɛ Abraham dɛ, Sara bɛma mba enumfo? Naaso mawo babanyin ama no wɔ no nkɔdaaber mu.", ""
"GEN.21.8", "Na abofra no nyinii, na wotwaa no enumfo: na da a wotwaa Isaak enumfo no, Abraham too pon kɛsenara.", ""
"GEN.21.9", "Na Sara hun Egyptnyi Hagar ne ba a ɔwoo no maa Abraham no, dɛ orisi atwetwe.", ""
"GEN.21.10", "Dɛm ntsi ɔsee Abraham dɛ, Yi afonabaa yi nye ne ba no edzi: na afonabaa yi ne ba nnkɛnye me ba Isaak edzi adze.", "#Gal 4.29, 30"
"GEN.21.11", "Na asɛm no yɛɛ Abraham yaw papaara, osian ne ba no ntsi.", ""
"GEN.21.12", "Na Nyankopɔn see Abraham dɛ, Mma mma ɔnnyɛ wo yaw, osian abofra no ntsi, na osian w’afonabaa no ntsi; dza Sara ka kyerɛ wo no nyinara mu, tsie ne ndze; na Isaak mu na wɔbɛfrɛ w’asefo.", "#Rom 9.7; Heb 11.1"
"GEN.21.13", "Na afonabaa no ne ba no so mebɛyɛ no ɔman, osiandɛ ɔyɛ w’asenyi.", ""
