"GEN.50.1", "Na Josef twae hwee n’egya n’enyim, na osui guu no do, na ɔfeew n’ano.", ""
"GEN.50.2", "Na Josef hyɛɛ no nkowaa a wɔhyɛ fun edur no dɛ wɔnhyɛ n’egya akyenkyendur: na wɔhyɛɛ Israel akyenkyendur.", ""
"GEN.50.3", "Na wɔdze adaduanan dzii ho dwuma: nna mber a wɔdze wie akyenkyendur hyɛ nye no: na Egyptfo no suu no nda eduosuon.", ""
"GEN.50.4", "Na nda a wɔdze suu no no twaa mu no, Josef kaa kyerɛɛ Farao ne fifo, dɛ, Sɛ afei menya hom enyim enyimnyam a, meserɛ hom, wɔnka no wɔ Farao n’asomu, dɛ,", ""
"GEN.50.5", "M’egya maa midzii nsew dɛ, Hwɛ, muruwu: na nda a mabɔ ama moho wɔ Keenan asaase do no mu hɔ na kesie me. Dɛm ntsi, afei meserɛ wo, ma monkɔ, na minkesie m’egya, na membra bio.", "#Gye 47.29-31"
"GEN.50.6", "Na Farao see dɛ, Kɔ, na kesie w’egya, dɛ mbrɛ ɔmaa idzii nsew no ara.", ""
"GEN.50.7", "Na Josef kɔree dɛ orikesie n’egya: na Farao no nkowaa nyinara, ne fie mpanyimfo, nye Egypt asaase do mpanyimfo nyinara,", ""
"GEN.50.8", "nye Josef ne fifo nyinara, nye no nuanom, nye n’egya ne fifo, nyinara nye no kɔree. Hɔn mbofraba, nye hɔn nguan, nye hɔn anantwi, nko na wɔdaan hɔn gyaa Gosen asaase do.", ""
"GEN.50.9", "Na ntseaseanam nye mpɔnkɔdofo nyina nye no kɔree: na ɔyɛɛ kuw kɛsenara.", ""
"GEN.50.10", "Na wɔbaa Atad ewuporoweebea a ɔwɔ Jordan egya no, na hɔ na wotwaa kwadwom kɛse a no mu yɛ dzen papanara: na Josef suu n’egya nda esuon.", ""
"GEN.50.11", "Na hɔn a wɔtse asaase no do no, Keenanfo no, hun osu a wosuu no wɔ Atad ewuporoweebea no, wɔsee dɛ, Iyi yɛ eyi kɛse ma Egyptfo: dɛm ntsi wɔfrɛɛ ne dzin Abel-mizraim a ɔwɔ Jordan egya.", ""
"GEN.50.12", "Na ne mba yɛɛ no dɛ mbrɛ ɔhyɛɛ hɔn no ara:", ""
"GEN.50.13", "na ne mba soaa no kɔr Keenan asaase do, na wokesiee no wɔ Makepela haban mu ɔbo tu no mu, dza Abraham dze kaa haban no ho tɔɔ no wɔ Hetnyi Efron hɔ, dze yɛɛ efunsiebea wɔ Mamre enyim no a.", "#Ndwu 7.16"
"GEN.50.14", "Na Josef siee n’egya wiei ekyir no, ɔnoara nye no nuanom no, nye hɔn a wɔnye no kɔree kesiee n’egya no nyinara sanee kɔr Egypt.", ""
"GEN.50.15", "Na Josef no nuanom no hun dɛ hɔn egya ewu no, wɔsee dɛ, Bɛyɛ na Josef atan hɛn, na bɔn a yɛdze yɛɛ no no nyinara oesusu mbrɛ ɔtse no ara atɔ hɛn do wer.", ""
"GEN.50.16", "Na wɔsomae ma wɔkɛsee Josef dɛ, Ansaana w’egya ruwu no ɔhyɛɛ dɛ,", ""
"GEN.50.17", "Dɛm na hom nka nkyerɛ Josef, Afei meserɛ wo, fa wo nuanom hɔn mbrato, nye hɔn bɔn kyɛ hɔn, dɛ wɔyɛɛ wo bɔn: na afei yɛserɛ wo, fa w’egya ne Nyankopɔn no nkowaa hɔn bɔn kyɛ hɔn. Na Josef sui wɔ aber a wɔkaa dɛm kyerɛɛ no no.", ""
"GEN.50.18", "Na no nuanom no so kɔree, na wokotwitwae hwehwee n’enyim; na wɔsee dɛ, Hwɛ, yɛyɛ wo nkowaa.", ""
"GEN.50.19", "Na Josef see hɔn dɛ, Mma hom nnsuro: ana migyina Nyankopɔn ananmu a?", ""
"GEN.50.20", "Hom dze, hom dween dɛ wɔreyɛ me bɔn; na Nyankopɔn dze ɔdween dɛ oye, ma ɔaayɛ dɛ mbrɛ ndɛ ɔayɛ yi, ma wɔaagye nkorɔfo piinara nkwa.", ""
"GEN.50.21", "Dɛm ntsi afei, mma hom nnsuro: mobɔhwɛ hom, nye hom mbofraba. Na ɔkaa hɔn akoma too hɔn yamu, na ɔkasaa ayamuyie mu kyerɛɛ hɔn.", ""
"GEN.50.22", "Na Josef tsenaa Egypt, ɔnoara nye n’egya ne fifo: na Josef dzii mfe ɔha nye du.", ""
"GEN.50.23", "Na Josef hun Efraim ne mbanana a otsia ebiasa: Manaasɛ ne babanyin Makir ne mba so wɔwoo hɔn guu Josef n’aserɛ do.", ""
"GEN.50.24", "Na Josef see no nuanom no dɛ, Morobɔkɔ me nsamankyir: na ampaara Nyankopɔn bɛba abɛsera hom, na oebeyi hom efi asaase yi do akɔ asaase a ɔkaa ho ntam kyerɛɛ Abraham, Isaak nye Jakob no no do.", ""
"GEN.50.25", "Na Josef maa Israelmba dzii nsew dɛ, Ampaara, Nyankopɔn bɛba abɛsera hom, na hom nsoa me mbiew mfi ha nkɔ.", "#Eks 13.19; Jos 24.32; Heb 11.22"
"GEN.50.26", "Na Josef wui, nna oedzi mfe ɔha nye du: na wɔhyɛɛ no akyenkyendur, na wɔtoo no adaka mu wɔ Egypt.", ""
