"GEN.6.1", "Na ɔbaa dɛ nyimpa hyɛɛ ase dɔree wɔ asaase enyi, na wɔwoo mbabaa maa hɔn no,", "#Job 1.6; 2.1"
"GEN.6.2", "Nyankopɔn ne mba hun nyimpa mbabaa no dɛ hɔn ho yɛ fɛw; na wɔwarwaar hɔn mu dza wɔpɛ nyinara.", ""
"GEN.6.3", "Na EWURADZE see dɛ, Mo sunsum nnkɛnye nyimpa edzi aper daa, osiandɛ ɔyɛ honam ara. Ofi dɛm ber yi ne nda bɛyɛ mfe ɔha eduonu.", ""
"GEN.6.4", "Nda no mu no nna eso n’ekyir no, nna abran akɛse wɔ asaase do, osiandɛ ber a Nyankopɔn ne mba nye nyimpa mbabaa hyiae no, wɔwoo mba maa hɔn, woyinom nye tsetse etumfo no, nkorɔfo a wɔgyee dzin no.", "#Nka 13.33"
"GEN.6.5", "Na EWURADZE hun dɛ nyimpa n’emumuyɛ ayɛ kɛse wɔ asaase do, na dɛ n’akoma mu nsusui nyinara yɛ bɔn ara nko daa no,", "#Mat 24.37; Luk 17.26; 1 Pet 3.20"
"GEN.6.6", "EWURADZE nuu noho dɛ ɔyɛɛ nyimpa wɔ asaase do, na ɔyɛɛ no yaw wɔ n’akoma mu.", ""
"GEN.6.7", "Na EWURADZE see dɛ, Mebɛsɛɛ nyimpa a mabɔ no no efi asaase enyi: nyew, nyimpa, nye mbowa nyinara; osiandɛ menu moho dɛ mayɛ hɔn.", ""
"GEN.6.8", "Naaso Noa dze, onyaa enyimpa wɔ EWURADZE enyim.", ""
"GEN.6.9", "Iyinom nye Noa no ho asɛm. Nna Noa yɛ nyimpa tseneneenyi na odzi mu wɔ n’ebusuasantsen mu: Noa nye Nyankopɔn nantsewee.", ""
"GEN.6.10", "Na Noa woo mbanyin baasa, Sem, Ham, nye Jafet.", ""
"GEN.6.11", "Nna asaase asɛɛ wɔ Nyankopɔn enyim, na ewurkadze ahyɛ asaase ma.", ""
"GEN.6.12", "Na Nyankopɔn hwɛɛ asaase, na, hwɛ, asɛɛ; osiandɛ nyimpa asɛɛ no kwan wɔ asaase do.", ""
"GEN.6.13", "Na Nyankopɔn see Noa dɛ, Abɔdze nyinara n’ewiei edu m’enyim; osiandɛ ɔnam hɔn do na ewurkadze ahyɛ asaase do ma; na hwɛ, mebɛsɛɛ hɔn nyinara nye asaase so.", ""
"GEN.6.14", "Fa dua pa pam hɛn ma woho; yɛ adan wɔ hɛn no mu, na fa ihua tar no mu nye n’ekyir.", ""
"GEN.6.15", "Na mbrɛ ibesi ayɛ no nye yi: ehɛn no ne tsentsen basafa ɔha eduonum, ne tɛtɛr basafa eduonu enum, na no krɔn basafa duenum.", ""
"GEN.6.16", "Yɛ ntokura wɔ hɛn no ho, na wie no anamɔn kor na fa wɔ sor; na hɛn no n’abow no fa si ne nkyɛnmu; yɛ no nsamdo, dza odzi ase, dza otsia ebien, nye dza otsia ebiasa.", ""
"GEN.6.17", "Na hwɛ, emi, medze nsuyirii reba asaase do abɛsɛɛ abɔdze a nkwahom wɔ mu nyinara efi sor ase: adze a ɔwɔ asaase do nyinara bowu.", ""
"GEN.6.18", "Na menye wo bedzi ahyɛmu: na aba hɛn no mu, ɔwo, nye wo mba, nye wo yer, nye wo mba hɔn yernom ka wo ho.", ""
"GEN.6.19", "Na fa honam nyinara mu adze a nkwa wɔ mu n’ahorow nyinara mu ebien ebien bra hɛn no mu, ma wonnya nkwa nka wo ho; fa hɔn onyin nye ɔber.", ""
"GEN.6.20", "Ntumbowa ahorow, fiembowa ahorow nye mbowa ahorow nyinara hɔn mu ebien ebien bra wo nkyɛn; ama woeenya nkwa.", ""
"GEN.6.21", "Na fa edziban nyinara bi ma woho, na boa ano kɔ wo nkyɛn; ama ɔaayɛ edziban ama ɔwo nye hɔn.", ""
"GEN.6.22", "Na Noa yɛɛ dɛ mbrɛ Nyankopɔn hyɛɛ no no nyinara pɛpɛɛpɛr.", "#Heb 11.7"
