"JAS.1.1", "James, Nyankopɔn nye Ewuradze Jesus Kraest akowaa, kyia mbusuakuw duebien a wɔapetse no.", "#Mat 13.55; Mar 6.3; Ndwu 15.13; Gal 1.19"
"JAS.1.2", "Mo nuanom, sɛ hom kɔ nsɔhwɛ ahorow pii mu a, hom mbu no dɛw koraa;", ""
"JAS.1.3", "na hom nhu dɛ hom gyedzi no nsɔhwɛ yɛ abotar ho edwuma.", ""
"JAS.1.4", "Na hom mma abotar nwie n’edwuma yɛ pɛ, ama hom eedzi mu pirim a hom nnka ekyir wɔ biribiara mu.", ""
"JAS.1.5", "Na sɛ hom mu biara ne nyansaa ka ekyir a, ombisa Nyankopɔn a ɔdze ma nyimpa nyina kwa na ɔnnka enyim no, na ɔdze bɛma no.", ""
"JAS.1.6", "Na gyedzi mu na ma ombisa, mma ɔnnyɛ ekyingye wɔ biribiara ho: na nyia ɔgye kyim no tse dɛ po asorɛkye a mframa ridzi no akɔnaaba.", ""
"JAS.1.7", "Na mma nyimpa a n’adwen ebien ebien, na ohihim n’akwan nyina mu no;", ""
"JAS.1.8", "nndwen dɛ obenya Ewuradze hɔ biribi.", ""
"JAS.1.9", "Na wɔmma onua a ɔbrɛ adze no ndzi dɛw wɔ ɔma a wɔama no do no mu;", ""
"JAS.1.10", "na ɔdzefo so dze, wɔ brɛ a wɔabrɛ no adze no mu; osiandɛ ɔbɛsen akɔ dɛ nkyɛkyɛr nhyiren.", "#Isa 40.6, 7"
"JAS.1.11", "Na ewia dze ne hyehye fir na ɔhyew nkyɛkyɛr, na ne nhyiren po, na no su ne fɛw sɛɛ; dɛmara so na ɔtse wɔ ɔdzefo ho; n’edwumayɛ dzendzen mu no na ɔbɛpa.", ""
"JAS.1.12", "Siarfo nye nyimpa a ɔsɔw nsɔhwɛ; na sɛ otum gyina enyim a, obenya nkwa ahenkyɛw a Ewuradze dze abɔ hɔn a wɔdɔ no no anohoba no.", ""
"JAS.1.13", "Sɛ nsɔhwɛ ba obiara do a, mma ɔnnka dɛ, Nyankopɔn na ɔrosɔ me ahwɛ: na adzebɔn bi nntum nnsɔ Nyankopɔn nnhwɛ, na ɔnoara so mmfa bɔn nnsɔ obiara nnhwɛ.", ""
"JAS.1.14", "Obiara a wɔsɔ no hwɛ no, ofi nankasa n’akɔndɔ a ɔdaadaa no twe no kɔ nsɔhwɛ mu.", ""
"JAS.1.15", "Na sɛ akɔndɔ no nyinsen a, ɔwo bɔn; na bɔn no wie nyin a, ɔwo owu.", ""
"JAS.1.16", "Mo nuanom adɔfo, mma wɔnndaadaa hom.", ""
"JAS.1.17", "Akyɛdze pa nye adom adze a odzi mu nyina fi sor, ofi kan Egya no nkyɛn na osian ba, ɔno na nsakyer nye sunsum a ɔdandan dze ba nnyi no ho.", ""
"JAS.1.18", "Ɔnam nankasa ne pɛ do na ɔdze nokwasɛm woo hɛn, ama yaayɛ n’abɔdze mu eduabakan no bi.", ""
"JAS.1.19", "Hom ntse ase dɛm, mo nuanom adɔfo, dɛ, nyimpa biara nyɛ ntsɛm ntsie, nyɛ nyaa nkasa, nyɛ nyaa mfa ebufuw:", ""
"JAS.1.20", "osiandɛ nyimpa n’ebufuw nnyɛ Nyankopɔn tsenenee ho edwuma.", ""
"JAS.1.21", "Dɛm ntsi hom nyi atantandze nye bɔn beberebe nyina ntow ngu, na hom mfa ɔdwe ngye asɛm a wɔatsɛw no hom mu a obotum agye hom akra nkwa no.", ""
"JAS.1.22", "Na hom nyɛ asɛm no ayɛfo, na mma hom nnyɛ etsiefo nko nndaadaa homho.", ""
"JAS.1.23", "Na sɛ obi yɛ asɛm no ne tsiefo, na sɛ ɔnnyɛ ne yɛfo a, ɔtse dɛ nyimpa a ɔhwɛ n’enyim wɔ ahwehwɛ mu:", ""
"JAS.1.24", "na sɛ ɔhwɛ noho na ɔkɔ a, ntsɛmara na no werɛ efir nyimpa su kor a ɔyɛ.", ""
"JAS.1.25", "Na nyia ɔhwɛ adehyedzi mbra a odzi mu no mu, na ogyina do, na ɔnnyɛ otsiefo werɛfirnyi mbom ɔyɛ edwuma no yɛfo no, ɔno na wobehyira no n’adzeyɛ mu.", ""
"JAS.1.26", "Sɛ obi dwen noho dɛ ɔyɛ nyamesomnyi, na ɔammfa ewur annto ne tɛkyerɛma mu, na ɔdaadaa nankasa n’akoma a, dɛm nyimpa no ne nyamesom yɛ kwa.", ""
"JAS.1.27", "Nyamesom a no ho tsew na fi nnyi ho wɔ hɛn Egya Nyankopɔn, enyim nye dɛ, ebɔhwɛ ngyanka nye ekunafo wɔ hɔn ahohia mu, na ibeyi woho efi wiadze nkekaa mu.", ""
