"DEU.15.1", "Mfe esuon biara n'ewiei no yɛ akwangya.", ""
"DEU.15.2", "Na mbrɛ wonsi ngya kwan nye yi: ɔdzefɛmfo biara dza ɔdze fɛm ne nyɛnko no ɔmfa nkyɛ no; mma ɔnnhyɛ ne nyɛnko nye no nua no nngye.", ""
"DEU.15.3", "Ɔnanaben dze hyɛ no gye: na adze biara a ewɔ wɔ wo nua hɔ dze fa kyɛ no.", ""
"DEU.15.4", "Naaso mma ohianyi bi mmba wo mu; (na nhyira na EWURADZE behyira wo wɔ asaase a EWURADZE wo Nyankopɔn dze rema wo dɛ egyapadze a kɛfa no do;)", ""
"DEU.15.5", "sɛ iritsie EWURADZE wo Nyankopɔn ndze ara yie, dɛ erodwen do ayɛ ahyɛdze yi a merehyɛ wo da yi nyinara a.", ""
"DEU.15.6", "Na EWURADZE wo Nyankopɔn behyira wo, dɛ mbrɛ ɔbɔɔ wo anohoba no: na edze afemfɛm amanaman pii, na ɔwo dze erennkɛfɛm: na ɔwo bɔhom amanaman pii do, na hɔn dze, wɔronnhom wo do.", ""
"DEU.15.7", "Sɛ wo nuanom mu obi yɛ ohianyi wɔ wo nkyɛn, wɔ wo kuropon biara mu wɔ asaase a EWURADZE wo Nyankopɔn dze rema wo no do a, mma mmpirim w'akoma, na mma mmua wo nsa so wɔ wo nua ohianyi no do:", ""
"DEU.15.8", "na obue na bue wo nsa ma no, na ɔfɛm na fɛm no dza ɔbɔso ne hia a ehia no no.", ""
"DEU.15.9", "Hwɛ yie ma adwen huhuw ammba w'akoma mu dɛ, Afe a otsia esuon no, akwangya afe no abɛn; na annyɛ bɔn enntsia wo nua ohianyi no, dɛ eremma no hwee; ma ɔaanntsea mu ammfrɛ EWURADZE enntsia wo, na aannyɛ bɔn amma wo.", ""
"DEU.15.10", "Ɔma na ma no, na mma ɔnnyɛ w'akoma mu yaw dɛ ebɛma no: osiandɛ dɛm adze yi ntsi na EWURADZE wo Nyankopɔn behyira wo wɔ w'edwuma nyinara mu, nye dza edze wo nsa bosuo mu nyinara mu.", ""
"DEU.15.11", "Na ohianyi remmpa wɔ asaase no do: dɛm ntsi na merehyɛ wo dɛ, Bue na bue wo nsa ma wo nua, wo kɔhweaban, nye wo hianyi, wɔ w'asaase do.", ""
"DEU.15.12", "Sɛ wɔtɔn wo nua Hebriwnyi ɔbanyin, anaa ɔbaa, ma wo, na ɔsom wo mfe esia a; ɔno afe a otsia esuon no gya no kwan na omfi wo nkyɛn mfa noho ndzi nkɔ.", ""
"DEU.15.13", "Na sɛ irigya no kwan ma oeefi wo nkyɛn afa noho edzi akɔ a, mma ɔmmfa nsapan nnkɔ:", ""
"DEU.15.14", "fa wo nguankuw mu bi, nye w'ewuporoweebea do bi, nye wo wenyintwer mu bi ma no kwa: dɛ mbrɛ EWURADZE wo Nyankopɔn ehyira wo no na ma no.", ""
"DEU.15.15", "Na kaa dɛ eyɛɛ akowaa wɔ Egypt asaase do, na EWURADZE wo Nyankopɔn poon wo: dɛm ntsi na merehyɛ wo asɛm yi ndɛ.", ""
"DEU.15.16", "Na ɔmbra dɛ, sɛ ɔse wo dɛ, Mirimmfi wo nkyɛn nnkɔ; osiandɛ ɔdɔ wo nye wo fi ntsi, wɔ dɛ ɔtse no yie wɔ wo nkyɛn ntsi a;", ""
"DEU.15.17", "ɔno fa fitsii, na fa fitsi n'asowa mu suo abow mu, na ɔnyɛ w'akowaa daa. Na w'afonabaa no so yɛ no dɛmara.", ""
"DEU.15.18", "Mma ɔnnyɛ dzen mma wo, dɛ ibegya no kwan ma oeefi wo nkyɛn afa noho edzi akɔ; na ɔasom wo mfe esia ayɛ ɔpaanyi akatua mbɔho ebien ho adze: na EWURADZE wo Nyankopɔn behyira wo wɔ dza eyɛ nyinara mu.", ""
"DEU.15.19", "W'anantwikuw nye wo nguankuw mu mbakan enyin a wɔbɔwo hɔn no tu hɔn si nkyɛn ma EWURADZE wo Nyankopɔn: mma mmfa wo nantwi abakan nnyɛ edwuma, na nnsusua wo nguankuw mu abakan ho nhwi so.", ""
"DEU.15.20", "Dzi no wɔ EWURADZE wo Nyankopɔn enyim afrenhyia afrenhyia wɔ beebi mbrɛ EWURADZE wo Nyankopɔn bɛsan mu eyi no, ɔwo nye wo fifo.", ""
"DEU.15.21", "Na sɛ ɔwɔ dzɛm bi wɔ no ho dɛ ɔyɛ apakye anaa n'enyi efura, dzɛm bɔn biara wɔ no ho a, mma mmfa mmbɔ EWURADZE wo Nyankopɔn afɔr.", ""
"DEU.15.22", "Dzi no wɔ wo kuropon mu: nyia no ho nntsew nye nyia no ho tsew nyina ndzi, dɛ mbrɛ wodzi ɔwansan nye ɔforote.", ""
"DEU.15.23", "No bɔgyaa nko na mma nndzi; hue gu famu dɛ nsu.", ""
