"JOS.22.1", "Nna Josua frɛɛ Reubenfo, Gadfo, nye Manaasɛ ebusuakuw fa no,", ""
"JOS.22.2", "na ɔsee hɔn dɛ, Hom edzi dza EWURADZE n’akowaa Moses dze hyɛɛ hom no nyinara do, na hom etsie me ndze wɔ dza mehyɛɛ hom nyinara mu:", ""
"JOS.22.3", "hom nndaan hom nuanom nngyaa hɔ nda pii yi dze bodu ndɛ da yi, mbom hom edzi EWURADZE hom Nyankopɔn ne mbrasɛm no do.", ""
"JOS.22.4", "Na afei EWURADZE hom Nyankopɔn dze ahomgye ama hom nuanom, dɛ mbrɛ ɔkaa kyerɛɛ hɔn no: dɛm ntsi afei hom ndzi ndan, na hom nkɔ hom asesee mu wɔ hom kyɛfa asaase a EWURADZE n’akowaa Moses dze maa hom wɔ Jordan egya no.", ""
"JOS.22.5", "Yie nko ara na hom nhwɛ ndzi mbrasɛm nye mbra no a EWURADZE n’akowaa Moses dze hyɛɛ hom, dɛ hom ndɔ EWURADZE hom Nyankopɔn, na hom nnantsew n’akwan nyinara mu, na hom ndzi ne mbransɛm nyinara do, na hom ntakyer no ho, na hom mfa hom akoma nyinara nye hom kra nyinara nsom no no do.", ""
"JOS.22.6", "Nna Josua hyiraa hɔn, na ogyaa hɔn kwan: na wosii mu kɔr hɔn asesee mu.", ""
"JOS.22.7", "Afei Manaasɛ ebusuakuw fa kor no nna Moses ama hɔn egyapadze wɔ Basan: na ɔfa kor no so Josua maa hɔn bi wɔ hɔn nuanom mu wɔ Jordan egya anee afamu. Na aber a Josua rigya hɔn kwan ma wɔaakɔ hɔn asesee mu no, ohyiraa hɔn,", ""
"JOS.22.8", "na ɔkaa kyerɛɛ hɔn dɛ, Ahonyadze pii, nye fiembowa piigyan, dwetɛ, sika, boran, dadze, na ntar piigyan na hom mfa nsan nkɔ hom asesee mu; na hom nye hom nuanom nkyɛ hom atamfo asadze no.", ""
"JOS.22.9", "Na Reubenmba, Gadmba nye Manaasɛ ebusuakuw fa no sanee, na wofii Israelmba no nkyɛn wɔ Siloh a ɔwɔ Keenan asaase do sii mu kɔree, dɛ wɔrokɔ Gilead asaase do, wɔ hɔn enyadze asaase a woekenya no do, dɛ mbrɛ EWURADZE mbrasɛm a ɔnam Moses nsa do no tse no.", ""
"JOS.22.10", "Na aber a wodur Jordan ho mbew a ɔwɔ Keenan asaase do no do no, Reubenmba nye Gadmba nye Manaasɛ ebusuakuw fa no sii afɔrmbukyia wɔ hɔ, afɔrmbukyia a wɔhwɛ a ɔso a.", ""
"JOS.22.11", "Na Israelmba nkaa no tsee dɛ wɔ dɛ, Hwɛ, Reubenmba, Gadmba nye Manaasɛ ebusuakuw fa no esi afɔrmbukyia wɔ Keenan asaase enyim tsentsendo, wɔ Jordan ho mbew no do, wɔ afa a ɔyɛ Israelmba afamu dze no do.", ""
