"JOS.4.1", "Na ɔbaa dɛ, aber a ɔman no nyinara wiee Jordan twa no, EWURADZE kaa kyerɛɛ Josua dɛ,", ""
"JOS.4.2", "Hom nyiyi ɔman no mu mbanyin duebien, ebusuakuw biara mu nyimpa baako,", ""
"JOS.4.3", "na hom nhyɛ hɔn dɛ, Hom mfa abo duebien wɔ Jordan mu wɔ mbrɛ asɔfo no hɔn anan gyinaa pintsinn no, na hom nsoa nkɔ, na wɔmfa nkogu asoɛe, mbrɛ hom bɔsoɛ anadwe yi no.", ""
"JOS.4.4", "Nna Josua frɛɛ mbanyin duebien no a oesiesie hɔn wɔ Israelmba no mu no, ebusuakuw biara mu nyimpa baako:", ""
"JOS.4.5", "na ɔsee hɔn dɛ, Hom ntwa mu nkedzi EWURADZE hom Nyankopɔn n'adakaa no enyim nkɔ Jordan ne finimfin, na hom mu nyimpa baako biara mfa ɔbo kor nto no kɔn ho, dɛ mbrɛ Israelmba ebusuakuw ebusuakuw no dodow tse:", ""
"JOS.4.6", "ama iyi aayɛ hom mu asɛnkyerɛdze, na sɛ ndaamba bi hom mba bisa hom dɛ, Abo yi hom kyerɛ ase dɛn a,", ""
"JOS.4.7", "ɔno hom nse hɔn dɛ, Osiandɛ Jordan nsu no twae wɔ EWURADZE ahyɛmudaka no enyim; aber a ahyɛmudaka no twaa Jordan no, hwɛ, Jordan no nsu no, otwaa koraa: na abo yi na ɔyɛ nkaadze ma Israelmba daa.", ""
"JOS.4.8", "Na Israelmba no yɛɛ dɛ mbrɛ Josua hyɛe no, na wɔfaa abo duebien wɔ Jordan mu, dɛ mbrɛ EWURADZE kaa kyerɛɛ Josua no, dɛ mbrɛ Israelmba ebusuakuw ebusuakuw no dodow tse; na wɔsoae dze kɔr beebi mbrɛ wɔkɔsoɛe no, na wɔdze guu hɔ.", ""
"JOS.4.9", "Na Josua so dze abo duebien sisii Jordan finimfin, wɔ beebi mbrɛ asɔfo a wɔso ahyɛmudaka no dze hɔn anan sisii no: na ɔwɔ hɔ dze bodu ndɛ da yi.", ""
"JOS.4.10", "Na asɔfo a wɔso adaka no gyinaa Jordan mu araa ma okodur dɛ wowiee adze biara a EWURADZE hyɛɛ Josua dɛ ɔnka nkyerɛ ɔman no yɛ, dɛ mbrɛ Moses dze hyɛɛ Josua no nyinara: na ɔman no yɛɛ ntsɛm twae.", ""
"JOS.4.11", "Na ɔbaa dɛ, aber a ɔman no nyinara wiee twa no, na EWURADZE n'adakaa no so twae, na asɔfo no kedzii ɔman no enyim.", ""
"JOS.4.12", "Na Reubenmba, Gadmba, nye Manaasɛ ebusuakuw ɔfa no, miae twae kedzii Israelmba no enyim, dɛ mbrɛ Moses kaa kyerɛɛ hɔn no:", ""
"JOS.4.13", "mbarimba bɛyɛ mpemeduanan a woemia prɛko dɛ wɔrokɔ sa twae kedzii EWURADZE enyim kɔr akono, wɔ Jeriko tɛtɛr mu.", ""
"JOS.4.14", "Da no ara na EWURADZE maa Josua do wɔ Israel nyinara enyi do; na wosuroo no, dɛ mbrɛ wosuroo Moses no, wɔ no nkwa nda nyinara mu.", ""
"JOS.4.15", "Na EWURADZE kaa kyerɛɛ Josua, dɛ,", ""
"JOS.4.16", "Hyɛ asɔfo a wɔso dasedaka no, ma womfi Jordan mu mbra.", ""
"JOS.4.17", "Dɛm ntsi Josua hyɛɛ asɔfo no, dɛ, Hom mfi Jordan mu mbra.", ""
"JOS.4.18", "Na ɔbaa dɛ, asɔfo a wɔso EWURADZE n'ahyɛmudaka no fi Jordan mu fowee, na asɔfo no hɔn anamɔn besii daadze kɛsɛɛ do ara, na Jordan no nsu no sanee kɔr n'anamu, na ɔkɛkataa no nsukɔn nyinara do, dɛ mbrɛ nkan no nna ɔtse no.", ""
"JOS.4.19", "Na ɔman no fii Jordan mu fowee wɔ bosoom a odzi kan no mu da a otsia du no mu, na wɔkɛkyeer nsera wɔ Gilgal, wɔ Jeriko no boka afamu ɔhe do.", ""
"JOS.4.20", "Na abo duebien no a woyiyii no wɔ Jordan mu no, Josua dze hyɛɛ siw wɔ Gilgal.", ""
"JOS.4.21", "Na ɔkaa kyerɛɛ Israelmba, dɛ, Sɛ ndaamba bi hom mba bisa hɔn egyanom dɛ, Abo yi ase nye dɛn a,", ""
"JOS.4.22", "ɔnodze, hom mma hom mba nhu dɛ, Asaase kɛsɛɛ do na Israel nam twaa Jordan yi.", ""
"JOS.4.23", "Na EWURADZE hom Nyankopɔn weew Jordan mu nsu no wɔ hom enyim, na hom twae ana, dɛ mbrɛ EWURADZE hom Nyankopɔn yɛɛ Mbɛw Po (Mbɛw Po) no a ɔwewee no wɔ hɛn enyim, ma yɛtwae ana no:", ""
"JOS.4.24", "ama asaase do aman nyinara eehu dɛ EWURADZE n'abasa mu yɛ dzen; ama hom eesuro EWURADZE hom Nyankopɔn daa.", ""
