"JHN.14.1", "Mma hom akoma nntutu: hom ngye Nyankopɔn ndzi, hom ngye mo so ndzi.", ""
"JHN.14.2", "M'egya fie wɔ tsenabew pii; sɛ ɔnntse dɛm a, nkyɛ maka akyerɛ hom. Morokɔ ekesiesie beebi mama hom.", ""
"JHN.14.3", "Na sɛ mokɔ, na mikesiesie beebi ma hom a, mebɛba bio mabɛfa hom akɔ mankasa me nkyɛn, na mbrɛ mowɔ no, hom so aaba hɔ.", ""
"JHN.14.4", "Na mbrɛ morokɔ no, hom nyim kwan no.", ""
"JHN.14.5", "Tomas see no dɛ, Ewuradze, yennyim mbrɛ erokɔ, na yɛbɛyɛ dɛn ehu kwan no?", ""
"JHN.14.6", "Jesus see no dɛ,  Emi nye ɔkwan no, nokwar no, nye nkwa no; obi mmba Egya no hɔ, gyedɛ ɔnam mo do.", ""
"JHN.14.7", "Sɛ hom enya ehu me a, nkyɛ hom ehu m'Egya no so; na ofitsi ndɛ hom nyim no, na hom ehu no.", ""
"JHN.14.8", "Filip see no dɛ, Ewuradze, kyerɛ hɛn Egya no na ɔnoara dɔɔ so ma hɛn.", ""
"JHN.14.9", "Jesus see no dɛ,  Ana menye hom wɔ hɔ dadaada yi, innyim me, Filip? Nyia oehu me no, oehu Egya no; na ɔyɛ dɛn na ese dɛ, Kyerɛ hɛn Egya no?", ""
"JHN.14.10", "Ana enngye nndzi dɛ mowɔ Egya no mu, na Egya no so wɔ mo mu? Nsɛm a meka kyerɛ hom yi, mennhyɛ moho meka, na Egya no a ɔtse mo mu no, ɔno na ɔyɛ ndwuma no.", ""
"JHN.14.11", "Hom ngye me ndzi dɛ mowɔ Egya no mu, na Egya no so wɔ mo mu; na annyɛ dɛm a, ndwuma noara ntsi hom ngye me ndzi.", ""
"JHN.14.12", "Mese hom nokwar mu dɛ, Nyia ɔgye me dzi no, ndwuma a meyɛ no, no so bɛyɛ, na dza ɔkyɛn yinom mpo na ɔbɛyɛ, osiandɛ morokɔ Egya no hɔ.", ""
"JHN.14.13", "Na biribiara a hom bɛserɛ wɔ me dzin mu no, ɔno na mebɛyɛ, ama Egya no eenya enyimnyam wɔ Ba no mu.", ""
"JHN.14.14", "Sɛ hom serɛ biribi wɔ me dzin mu a, mebɛyɛ.", ""
"JHN.14.15", "Sɛ hom dɔ me a, hom ndzi me mbransɛm do.", ""
"JHN.14.16", "Na mibebisa Egya no, na ɔama hom Okyigyinafo fofor, ma ɔnye hom aabɛtsena daa:", ""
"JHN.14.17", "nokwar Sunsum no a: ɔno na wiadze nntum nngye no; osiandɛ onnhu no, na eso onnyim no: na hom dze, hom nyim no; osiandɛ ɔtse hom nkyɛn, na ɔbɛtsena hom mu.", ""
"JHN.14.18", "Mirinngya hom ngyanka, mebɛba hom nkyɛn.", ""
"JHN.14.19", "Aka kakrabaabi na wiadze nnhu me bio, na hom dze, hom hu me; osiandɛ metse ase yi, hom so bɛtsena ase.", ""
"JHN.14.20", "Da no hom bohu dɛ mowɔ m'Egya no mu na hom wɔ no mu, na mo so mowɔ hom mu.", ""
"JHN.14.21", "Nyia ɔwɔ me mbransɛm na odzi do no, ɔno nye nyia ɔdɔ me, na nyia ɔdɔ me no, m'Egya bɔdɔ no, na mo so mobɔdɔ no, na mibeyi moho makyerɛ no.", ""
"JHN.14.22", "Judas (nnyɛ Iskariot bi a) see no dɛ, Ewuradze, ebɛn asɛm na aba, na iribeyi woho akyerɛ hɛn na nnyɛ wiadze yi?", ""
"JHN.14.23", "Jesus buae see no dɛ,  Sɛ obi dɔ me a, obesie m'asɛm: na m'Egya bɔdɔ no, na yɛbɛba ne nkyɛn, na yɛbɛyɛ hɛn tsenabew wɔ ne nkyɛn.", ""
"JHN.14.24", "Nyia ɔnndɔ me no, onnsie me nsɛm: na asɛm a hom tse yi, ɔnnyɛ medze, na ɔyɛ Egya no a ɔsomaa me no dze.", ""
"JHN.14.25", "Dɛm nsɛm yi na maka akyerɛ hom, ber a metse hom nkyɛn yi.", ""
"JHN.14.26", "Na Okyigyinafo no a ɔyɛ Sunsum Krɔnkrɔn no a Egya no bɔsoma no wɔ me dzin mu no, ɔno na ɔbɛkyerɛkyerɛ hom ndzɛmba nyina: ɔbɛkaa hom dza maka akyerɛ hom nyina.", ""
"JHN.14.27", "Asomdwee na medze gya hom; mara m'asomdwee na medze mema hom: nnyɛ dɛ mbrɛ wiadze ma, na mema hom. Mma hom akoma nntutu, eso mma ɔmmbɔ hu.", ""
"JHN.14.28", "Hom tsee mbrɛ mekaa kyerɛɛ hom dɛ morokɔ na maba hom nkyɛn no. Sɛ hom dɔ me a, nkyɛ hom bedzi dɛw dɛ morokɔ Egya no hɔ, osiandɛ Egya no so sen me.", ""
"JHN.14.29", "Na afei maka akyerɛ hom ansaana aba mu, ama sɛ ɔba mu a, hom aagye edzi.", ""
"JHN.14.30", "Menye hom nnkɛkasa pii bio, na wiadze hen no reba, na onnyi mo do tum biara.", ""
"JHN.14.31", "Na mbrɛ ɔbɛyɛ ma wiadze eehu dɛ modɔ Egya no, na dɛ mbrɛ Egya no hyɛɛ me no, dɛmara na meyɛ. Hom nsoɛr ma yemfi ha nkɔ.", ""
