"JHN.5.1", "Iyi ekyir no Jewfo afahyɛ bi durii, na Jesus kɔr Jerusalɛm.", ""
"JHN.5.2", "Na Jerusalɛm abobow a wɔfrɛ no Nguantsen Kuropon no ho nsutaae bi wɔ hɔ a wɔfrɛ no wɔ Hebriw kasa mu Bɛtsaeda a ɔwɔ nkrandaa enum.", ""
"JHN.5.3", "Na iyinom mu na ayarfo nyimpakuw pii, enyifurafo, mpakye, nye hɔn a wɔyar mbubui dedae [rotweɔn nsu no no nwosowee.", ""
"JHN.5.4", "Na odu mber bi a Ewuradze no bɔfoe sian nsutaae no mu bɔfon no; na obiara a nsu no fon ekyir no odzi kan kɔtɔ mu no, yarba biara a ɔyar no, onya ayarsa.]", "#5.3-4 Tsetse akyerɛwfo no binom mmfa iyi nnka ho."
"JHN.5.5", "Nna nyimpa bi wɔ hɔ a oedzi mfe eduasa awɔtwe wɔ ne yarba mu;", ""
"JHN.5.6", "na Jesus hun dɛ ɔda hɔ, na onyim dɛ ɔakyɛr hɔ no, obisaa no dɛ,  Epɛ dɛ wo ho yɛ wo dzen anaa?", ""
"JHN.5.7", "Ɔyarfo no buaa dɛ, Owura, minnyi nyimpa biara a sɛ wɔbɔfon nsu no a ɔdze me to nsutaae no mu: na sɛ mereba a, nna obi edzi m’enyim kan akɔtɔ mu.", ""
"JHN.5.8", "Jesus see no dɛ,  Soɛr, fa wo kɛtɛ na nantsew.", ""
"JHN.5.9", "Na amonmu no ara nyimpa no ho yɛɛ no dzen, na ɔfaa ne kɛtɛ, na ɔnantsewee. Nna da no yɛ ahomgyeda.", ""
"JHN.5.10", "Dɛm ntsi Jewfo no see nyia wɔsaa no yarba no dɛ, Ndɛ yɛ ahomgyeda, innyi ho kwan dɛ esoa wo kɛtɛ.", "#Neh 13.19; Jer 17.21"
"JHN.5.11", "Obuaa hɔn dɛ, Nyia ɔmaa mo ho yɛɛ me dzen no, ɔnoara na ɔsee me dɛ, Fa wo kɛtɛ na nantsew.", ""
"JHN.5.12", "Wobisaa no dɛ, Woana nye nyimpa a ɔsee wo dɛ, Fa wo kɛtɛ na nantsew, no?", ""
"JHN.5.13", "Nna nyia wɔsaa no yarba no nnyim nyimpa kor no, osiandɛ nna nyimpadodow wɔ hɔ ntsi Jesus atwe noho efi hɔ.", ""
"JHN.5.14", "N’ekyir no Jesus hun no asɔrfi mu na ɔsee no dɛ,  Hwɛ, wo ho ayɛ wo dzen: mma nnyɛ bɔn bio, mma dza omuo kyɛn yi aammba wo do.", ""
"JHN.5.15", "Nyimpa no sii mu kɛkaa kyerɛɛ Jewfo no dɛ Jesus na ɔmaa no ho yɛɛ no dzen.", ""
"JHN.5.16", "Dɛm ntsi na Jewfo no hiahiaa Jesus ho, osiandɛ ɔyɛɛ ndzɛmba yi ahomgyeda.", ""
"JHN.5.17", "Na Jesus buaa hɔn dɛ,  M’Egya yɛ edwuma bodu sesei na mo so meyɛ edwuma.", ""
"JHN.5.18", "Na dɛm siantsir yi tsitsir ntsi na Jewfo no hwehwɛɛ dɛ woku no, osiandɛ nnyɛ ahomgyeda nko na ɔato, na eso ɔfrɛɛ Nyankopɔn nankasa n’Egya, dze yɛɛ noho dɛ ɔnye Nyankopɔn yɛ pɛr.", ""
"JHN.5.19", "Na Jesus buae see hɔn dɛ,  Meka no nokwar mu kyerɛ hom dɛ, Ɔba no nankasa nntum nnhyɛ noho nnyɛ hwee, gyedɛ dza ohu Egya no dɛ ɔyɛ; na biribiara a Egya no yɛ no, ɔnoara Ɔba no so yɛ no dɛmara.", ""
"JHN.5.20", "Na Egya no dɔ Ɔba no, na ɔkyerɛ no dza nankasa yɛ no nyina, na ɔbɛkyerɛ no ndwuma a ɔkyɛn yinom, na aayɛ hom ahobow.", ""
"JHN.5.21", "Na dɛ mbrɛ Egya no nyan ewufo na ɔma hɔn nkwa no, dɛmara so na Ɔba no dze nkwa ma hɔn a ɔpɛ.", ""
"JHN.5.22", "Na eso Egya no mmbu obiara atsɛn, na ɔdze atsɛmbu nyina ahyɛ Ɔba no nsa,", ""
"JHN.5.23", "ama obiara eedzi Ɔba no nyi, dɛ mbrɛ wodzi Egya no nyi. Nyia onndzi Ɔba no nyi no, onndzi Egya a ɔsomaa no no so nyi.", ""
"JHN.5.24", "Mereka akyerɛ hom nokwar mu dɛ, nyia ɔtse m’asɛm, na ɔgye nyia ɔsomaa me no dzi no, ɔwɔ onnyiewiei nkwa, na ɔremmba atsɛmbu mu, na mbom oetwa mu efi owu mu aba nkwa mu.", ""
"JHN.5.25", "Mereka akyerɛ hom wɔ nokwar mu pi dɛ, dɔn no reba na enya edu a ewufo bɛtse Nyankopɔn Ba no ne ndze, na hɔn a wɔbɛtse no benya nkwa.", ""
"JHN.5.26", "Na dɛ mbrɛ Egya no wɔ nkwa wɔ nankasa no mu no, dɛmara so na ɔdze maa Ɔba no dɛ onnya nkwa wɔ nankasa no mu.", ""
"JHN.5.27", "Na ɔmaa no tum dɛ ombu atsɛn so, osiandɛ ɔyɛ Onyimpa Ba.", ""
"JHN.5.28", "Mma yi nnyɛ hom nwanwa: na dɔn no reba a hɔn a wɔwɔ nda mu nyina bɛtse me ndze,", ""
"JHN.5.29", "na wɔasoɛr epue; na hɔn a wɔayɛ papa no, bɔkɔ nkwa wunyan mu; na hɔn a wɔayɛ dza omuo no, akɔ afɔdzi wunyan mu.", "#Dan 12.2"
"JHN.5.30", "Mankasa munntum mennhyɛ moho nnyɛ hwee; dza metse no nna mubu ho atsɛn, na m’atsɛmbu tsen, osiandɛ monnhwehwɛ dza mankasa mepɛ, na dza nyia ɔsomaa me no pɛ a.", ""
"JHN.5.31", "Sɛ mankasa midzi moho dase a, me dasee nnyɛ nokwar.", ""
"JHN.5.32", "Obi wɔ hɔ a odzi mo ho dase, na minyim dɛ ne dasee a odzi wɔ mo ho no yɛ nokwar.", ""
"JHN.5.33", "Hom somae kɔr John hɔ, na ɔagye nokwar no ho dase:", "#Joh 1.19-27; 3.27-30"
"JHN.5.34", "na emi dze, menngye nyimpa hɔ dase, na meka yinom ama hom eenya nkwa.", ""
"JHN.5.35", "Ɔno nye kandzea a ɔdzɛw na ɔhyerɛn, na hom pɛɛ dɛ hom enyi gye wɔ ne kan mu mber kakra.", ""
"JHN.5.36", "Na emi dze, mowɔ dasefo a ɔkyɛn John, na ndwuma a Egya no dze ama me dɛ munwie no, ndwuma a meyɛ noara gye mo ho dase dɛ Egya no na ɔasoma me.", ""
"JHN.5.37", "Na Egya no a ɔsomaa me no nankasa agye mo ho dase. Hom nntsee ne ndze da, eso hom nnhun no su,", "#Mat 3.17; Mar 1.11; Luk 3.22"
"JHN.5.38", "na hom nnyi n’asɛm tse hom mu, osiandɛ nyia ɔsomaa no no, hom nngye no nndzi.", ""
"JHN.5.39", "Hom hwehwɛ kyerɛwsɛm no mu, osiandɛ hom susu dɛ yinom mu na hom wɔ onnyiewiei nkwa; naaso yinom nye dza wɔgye mo ho dase,", ""
"JHN.5.40", "na hom mmpɛ dɛ hom ba me nkyɛn ma hom eenya nkwa.", ""
"JHN.5.41", "Menngye enyimnyam wɔ nyimpa hɔ.", ""
"JHN.5.42", "Na minyim hom dɛ hom nnyi Nyankopɔn no dɔ wɔ hom mu.", ""
"JHN.5.43", "Emi dze, menam m’Egya dzin do maba, na hom nngye me; sɛ obi nam nankasa ne dzin do ba a, ɔno na hom bɛgye no.", ""
"JHN.5.44", "Hom bɛyɛ dɛn etum agye edzi, hom a hom gye enyimnyam wɔ homho nkorkor, na hom nnhwehwɛ enyimnyam a ofi Nyankopɔn hɔ ba no?", ""
"JHN.5.45", "Mma hom nnsusu dɛ emi na mobɔkɔ akɔtoa hom ama Egya no, na nyia ɔtoa hom wɔ hɔ, mekyerɛ Moses a hom dze hom werɛ atwer no no.", ""
"JHN.5.46", "Na sɛ hom agye Moses edzi a, nkyɛ hom bɛgye mo so edzi; osiandɛ nankasa kyerɛɛw mo ho nsɛm.", ""
"JHN.5.47", "Na sɛ hom nngye ne kyerɛw no nndzi a, hom bɛyɛ dɛn etum agye m’asɛm edzi?", ""
