"JHN.8.1", "Na Jesus kɔr Ngo Bepɔw no do.", ""
"JHN.8.2", "Na ahanamakye no ɔbaa asɔrfi no mu bio, na ɔman no nyina baa ne nkyɛn, na ɔtsenaa ase kyerɛkyerɛɛ hɔn.", ""
"JHN.8.3", "Na kyerɛwfo no nye Farisiifo no dze basia bi a wɔakyer no awarto mu bae, na wɔdze no sii finimfin no, wɔsee no dɛ,", ""
"JHN.8.4", "Kyerɛkyerɛfo, wɔakyer ɔbaa yi wɔ awarto mu, dɛ ogu do reyɛ.", ""
"JHN.8.5", "Eso Moses wɔ mbra no mu hyɛɛ hɛn dɛ wonsiw dɛm nkorɔfo no abo: na ɔwo ese dɛn?", "#Lev 20.10; Deut 22.22-24"
"JHN.8.6", "Na iyi dze, wɔkae dze sɔɔ no hwɛe, ama woeenya biribi dze akɔtoa no. Na Jesus brɛɛ no mu adze dze ne nsatseaba kyerɛkyerɛɛw daadze.", ""
"JHN.8.7", "Na wɔda ho ara ribisa no no, ɔtseen no mu kaa kyerɛɛ hɔn dɛ,  Hom mu nyia bɔn nnyi no ho no, wɔmma ɔntow no bo kan.", ""
"JHN.8.8", "Na ɔbrɛɛ no mu adze bio, na ɔdze ne nsatseaba kyerɛkyerɛɛw daadze.", ""
"JHN.8.9", "Na hɔn dze, wɔtsee na hɔn tsibowa yii hɔn atsɛn no, wofii hɔ nkorkor fitsi mpanyimfo do besi hɔn a wodzi ekyir do, na ɔkaa Jesus nko nye ɔbaa no a ogyina finimfin no.", ""
"JHN.8.10", "Na Jesus tseen no mu na oennhu obiara dɛ ɔbaa no nko no, obisaa no dɛ,  Ɔbaa, w’atoafo no wɔ hen? Ana obi emmbu wo fɔ?", ""
"JHN.8.11", "Ɔsee no dɛ, Mo wura, obi emmbu me fɔ. Jesus see no dɛ,  Mo so mummbu wo fɔ: kɔ na mma nnkɛyɛ bɔn bio. ]", ""
"JHN.8.12", "Na Jesus kasaa kyerɛɛ hɔn bio dɛ,  Emi nye wiadze kan no: nyia odzi m’ekyir no rennantsew sum mu da, na obenya nkwa kan no.", "#Mat 5.14; Joh 9.5"
"JHN.8.13", "Farisiifo no see no dɛ, Ɔwo dze, idzi wankasa woho dase: wo dasee nnyɛ nokwar.", "#Joh 5.31"
"JHN.8.14", "Jesus buae see hɔn dɛ,  Sɛ midzi mankasa moho dase mpo a, me dasee yɛ nokwar, osiandɛ minyim mbrɛ mifi bae na mbrɛ morokɔ; naaso hom dze, hom nnyim mbrɛ mifi bae anaa mbrɛ morokɔ.", ""
"JHN.8.15", "Hom dze, hom bu honam enyi atsɛn, na emi dze, mummbu obi atsɛn.", ""
"JHN.8.16", "Na sɛ mubu atsɛn mpo a, nkyɛ m’atsɛmbu yɛ nokwar, osiandɛ nnyɛ mo nko na mowɔ hɔ, na emi nye Egya no a ɔsomaa me no.", ""
"JHN.8.17", "Na wɔakyerɛw wɔ hom mbra no mu so dɛ nyimpa beenu hɔn dasee yɛ nokwar.", "#Deut 19.15"
"JHN.8.18", "Midzi mankasa moho dase, na Egya no a ɔsomaa me no so dzi me dase.", ""
"JHN.8.19", "Na wobisaa no dɛ, Hen na w’Egya wɔ? Jesus buaa dɛ,  Hom nnyim me, eso hom nnyim m’Egya; sɛ hom nyim me a, nkyɛ hom nyim m’Egya so dɛmara.", ""
"JHN.8.20", "Ɔrekyerɛkyerɛ wɔ asɔrfi no mu sikakorabea hɔ no nna ɔkaa nsɛm yi; naaso obi ammfa ne nsa ennsuo no mu, osiandɛ nna ne mber nnyae nndurii.", ""
"JHN.8.21", "Jesus see hɔn bio dɛ,  Morokɔ, na hom bɔhwehwɛ me, na hom bowu wɔ hom bɔn mu: mbrɛ morokɔ no, hom nnkotum aba hɔ.", ""
"JHN.8.22", "Na Jewfo no see no dɛ, Oribedzi noho ewu anaa, na ɔse, Mbrɛ morokɔ no, hom runntum mmba hɔ yi?", ""
