"HOS.13.1", "Efraim kasae no, ɔyɛɛ ahopopo; ɔyɛɛ ɔkɛse wɔ Israel: naaso odzii so wɔ Baal mu no, owui.", ""
"HOS.13.2", "Na afei wɔyɛ bɔn mbordo ara, na wɔdze hɔn dwetɛ ayeyɛ ehonyi a woegu amema hɔnho, ayeyɛ abosom dɛ mbrɛ hɔn ntseasee tse, ne nyinara odwimfo edwuma a: wɔka no wɔ hɔn ho dɛ, Nyimpa a wɔbɔ okum afɔr no mfew anantwimburwa no ano.", ""
"HOS.13.3", "Dɛm ntsi wɔbɛyɛ dɛ anapa nsuwusiw, na dɛ ɔbɔsu a ɔsen ahema kɔ, dɛ ntsɛw a ekyinehyia mframa tu no fi ewuporowee do, na dɛ wusiw a otu fa wusiw tokura mu.", ""
"HOS.13.4", "Naaso emi nye EWURADZE wo Nyankopɔn fitsi Egypt asaase do; na mma nnhu ɔbosom fofor bi nnka mo ho, eso ɔgyefo bi nnyi hɔ ka mo ho.", ""
"HOS.13.5", "Sar no do, nsukɔm asaase no do, nna muhun wo ampa.", "#Deut 8.11-17"
"HOS.13.6", "Wonyaa edzidzibea pa no, wɔmee, na ber a wɔmee no, hɔn akoma maa noho do, ma dɛm ntsi hɔn werɛ efir me.", ""
"HOS.13.7", "Dɛm ntsi na mayɛ dɛ gyata ama hɔn na mebɛtsɛw kwan nkyɛn dɛ sebɔ:", ""
"HOS.13.8", "mobɔtotɔr hɔn dɛ sisi a wɔagye ne mba, na matsetsew hɔn akoma toa mu na hɔ na mobɔwe hɔn dɛ gyata; abowa bɔyafo bosunsuan hɔn mu.", ""
"HOS.13.9", "Ao Israel, meyɛ wo boafo dze, naaso wɔbɛsɛɛ wo ara.", ""
"HOS.13.10", "Na afei wo hen no wɔ hen, ma ɔaagye wo wɔ wo nkurow nyina mu? Na w’atsɛmbuafo a eka wɔ hɔn ho dɛ, Ma me ɔhen na asafohen no?", "#1 Sam 8.5-6"
"HOS.13.11", "Mama wo ahemfo wɔ m’ebufuw mu, na meyi hɔn hɔ wɔ m’abohur mu.", "#1 Sam 10.17-24; 15.26"
"HOS.13.12", "Wɔakyekyer Efraim emumuyɛ; wɔdze no bɔn esie fiadze.", ""
"HOS.13.13", "Ɔreper dɛ ɔbaa ɔwokofo a yaw aka no: naaso dɛ ɔba a onnyim nyansa ntsi, ne mber aso dze, naaso orikyinkyim wɔ beebi mbrɛ mba dua mu pue kɔ no.", ""
"HOS.13.14", "Mibeyi hɔn tsir efi adakamona no tum nsa; mobɔpon hɔn efi owu nsa: owu e, w’ayardɔm wɔ hen o? Adakamona e, wo sɛɛe wɔ hen o? Nnuho bosuma efi m’enyi do.", "#1 Kor 15.55"
"HOS.13.15", "Kaansa ɔbɔsow aba wɔ no nuanom mu mpo a, boka aahow bɔbɔ, EWURADZE n’aahow fi sar do botu, na ne mbasu awew, na no nsunyiwa akɔ atwee; ɔno na ɔbɛfa akoradzedan mu nkɔɔpow fɛɛfɛw no asadze.", ""
"HOS.13.16", "Samaria ne tsir bɔto; osiandɛ ɔatsew ne Nyankopɔn do etua: wɔbɔtotɔ afona anomu: wɔbɛtsetsew hɔn nkɔkowaba mu esinesin, na wɔapaapaa hɔn enyinsemfo mu.", ""
