"JOB.31.1", "Mennye m’enyiwa dzii ahyɛmu dɛ; Monnkɔhwɛ ɔbaabun", ""
"JOB.31.2", "Na ebɛnadze nye Nyankopɔn ne kyɛfa a ofi sor, Na Otumfo no n’egyapadze a ofi sorsor?", ""
"JOB.31.3", "Ana ɔnnyɛ mbusu mma brakyewnyi, Na amandzehu so mma emumuyɛfo?", ""
"JOB.31.4", "Ana nnyɛ ɔno na ohu m’akwan, Na ɔkan m’anamɔntutu nyinara?", ""
"JOB.31.5", "Sɛ medzi egyangyandze ekyir, Na m’anan apɛ ntsɛm wɔ ndaadaa ho a;", ""
"JOB.31.6", "Wɔmma wonker me wɔ nokwar nsɛn mu, Na Nyankopɔn bohu me tsenenee;", ""
"JOB.31.7", "Sɛ m’anamɔn adan efi kwan no do, Na m’akoma dzi m’enyi ekyir nantsew, Na sɛ nkekaa bi fam me nsa ho a:", ""
"JOB.31.8", "Ɔno dze, wɔmma mundua, na bi so ndzi, Nyew, wɔmma wontutu me haban mu ndɔbaa ngu.", ""
"JOB.31.9", "Sɛ wɔadaadaa m’akoma akɔ ɔbaa bi ho, Na makɛtsɛw me nyɛnko abowano a:", ""
"JOB.31.10", "Ɔno dze, wɔmma me yer nyam mma obi, Na obi so mbutuw no do.", ""
"JOB.31.11", "Na ɔno na ɔyɛ ewudzisɛm kɛse; Nyew, ɔno na ɔyɛ emumuyɛ a ntsɛmbuafo tua ho kaw bɔn.", ""
"JOB.31.12", "Na ɔno na ɔyɛ gya a ɔhyew kɔ Ɔsɛɛ mu, Na nkyɛ obotutu mo ndɔbaa nyinara.", ""
"JOB.31.13", "Sɛ mubuu m’akowaa anaa m’afonabaa asɛm enyimtsia, Aber a wɔnye me kasakasae a:", ""
"JOB.31.14", "Ɔno ebɛnadze koraa na sɛ Nyankopɔn soɛr a mebɛyɛ? Na sɛ ɔbɛsera a, ebɛn mbuae na medze mubobua no?", ""
"JOB.31.15", "Ana nnyɛ nyia ɔyɛɛ me wɔ yafun mu no na ɔyɛɛ no? Ana nnyɛ obi na osinsiaan hɛn wɔ yafun mu?", ""
"JOB.31.16", "Sɛ mesianka ehiafo efi hɔn ahwehwɛdze ho, Anaa mama ɔbaa kunafo enyi ebu;", ""
"JOB.31.17", "Anaa monkotsee medzi mo trɔma, Na egyanka enndzi mu bi a;", ""
"JOB.31.18", "Dabida, ofi ne mbofraber mu na menyɛɛn no dɛ egya, Na ofi ne na yamu na mayɛ no kwankyerɛfo;", ""
"JOB.31.19", "Sɛ mehu obi a tam abɔ no ntsi ma ɔrehera, Anaadɛ ɔkɔhweaban dɛ onnyi akataho a;", ""
"JOB.31.20", "Na sɛ oennhyira me dɛ, Mo nguan ho nhwi na ɔdze bɔɔ no hyew a,", ""
