"JOB.10.1", "Mo nkwa afon me kra; Mebɛma m’apensi kwan; Mebɛkasa wɔ me kra n’awerɛhow mu.", ""
"JOB.10.2", "Mebɛse Nyankopɔn dɛ, Mma mmbu me fɔ; Kyerɛ me adze kor a osian ntsi ma enye me ridzi esi yi.", ""
"JOB.10.3", "Ana oye ma wo dɛ ɔwo etseetsee obi, Dɛ ɔwo ibu wo nsaano edwuma enyimtsia, Na ehyerɛn nyimpa bɔn n’apam do?", ""
"JOB.10.4", "Ana ɔwo ewɔ honam enyiwa, Anaa ɔwo ehwɛ adze dɛ mbrɛ nyimpa hwɛ?", ""
"JOB.10.5", "Ana wo nda tse dɛ dasanyi nda? Anaa wo mfe tse dɛ dasanyi dze,", ""
"JOB.10.6", "Ma ɔwo erohwehwɛ m’emumuyɛ ekyir kwan, Na idzi mo bɔn ekyir atwee yi?", ""
"JOB.10.7", "Naaso ɔwoara inyim dɛ mennyɛ nyimpa bɔn; Na obi nnyi hɔ a obotum agye efi wo nsamu?", ""
"JOB.10.8", "Wo nsa na ɔyɛɛ me na ɔween me nyimpa mu nyina hyiae; Nna ɔwoara resɛɛ me yi.", ""
"JOB.10.9", "Meserɛ wo, kaa dɛ ɔwo na eween me dɛ awendɛtse: Na aso edze me bɛba huntuma mu bio?", ""
"JOB.10.10", "Ana ɔwoara innhuee me nnguu dɛ numfonsu, Na emma mimmpiw dɛ numfonsudaa?", ""
"JOB.10.11", "Ɔwo na edze wer na honam edura mo ho, Na edze mbiew na ntsin ewurawura mo mu.", ""
"JOB.10.12", "Ɔwo na adom me nkwa na enyimpa, Na wo nhwɛdo pa no so akora mo sunsum do.", ""
"JOB.10.13", "Naaso iyinom na edze siee w’akoma mu; Mehu dɛ iyi na edze etsia me:", ""
"JOB.10.14", "Sɛ meyɛ bɔn a, ɔno ɔwoara na ebɔ me nyikam, Na ɔwo rummbu me bem wɔ m’emumuyɛ ho.", ""
"JOB.10.15", "Sɛ meyɛ nyimpa bɔn a, mundue; Na sɛ meyɛ tseneneenyi mpo a, meremma me tsir do; Enyimguase ahyɛ me ma Na ɔwoara hwɛ m’amandzehu.", ""
"JOB.10.16", "Na sɛ me tsir ma noho do a, ɔwo ibetsiw me dɛ gyata: Na ɔwo asan nye me ebedzi anwanwasɛm.", ""
"JOB.10.17", "Ɔwo edze w’adasefo afofor ba mo do, Na ema w’ebufuhyew dɔɔ so wɔ mo do; Nsakyer na akodzi esi m’enyim.", ""
"JOB.10.18", "Ebɛnadze ntsi na iyii me fii awotoa mu bae? Ao, sɛ migyaa mo sunsum mu na enyiwa bi ennhu me ɛ.", ""
"JOB.10.19", "Kɛtseankyɛ meyɛɛ dɛ mammbabra koraa; Nkyɛ wɔdze me fii yafun mu kɔr adakamona mu.", ""
"JOB.10.20", "Ana me nda nnyɛ kakrabaabi bi? Dɛm a sianka, Na gyaa me, ma minnya akomatɔmu kakra,", ""
"JOB.10.21", "Ansaana makɔ beebi mbrɛ merennsan mmba, Mekyerɛ sum na wu no nwinwin asaase no do:", ""
"JOB.10.22", "Sum kebii asaase a, ɔtse dɛ sum noara; Owu no nwinwin asaase a nhyehyɛɛ biara nnyi hɔ, Na beebi mbrɛ kan no tse dɛ sum kebii no a.", ""
