"ZEC.10.1", "Hom mbisa EWURADZE, EWURADZE a ɔma asenaman paapaa no hɔ nsu wɔ ɔbɛsɛber; na ɔbɛma nsu atɔ berdzedzeedze ama hom, na hom nyina enyinya sar mu mfunoma.", ""
"ZEC.10.2", "Na terafim, ebusua ehonyi no, aka nsɛngyan, na nkɔnhyɛfo no ehu atorsɛm; na adaasofo ka akɔhwisɛm, wɔdze nsɛnhun kyekye werɛ kwa: dɛm ntsi ɔman no fa hɔn kwan dɛ nguan, hɔn ho hiahia hɔn, osiandɛ guanhwɛfo bi nnyi hɔ.", ""
"ZEC.10.3", "Mo bo efuw nguanhwɛfo no, na mebɛtsea dɛm mpɔnkyenyin no: na dɔm EWURADZE abɛsera no nguankuw Juda fi no, na ɔdze hɔn bɛyɛ n’enyimnyam pɔnkɔ wɔ ɔsa mu.", ""
"ZEC.10.4", "No mu na kutuwdo bo, prɛgow, akodzi egyen na apempensifo nyina bɔbɔ mu fi aba.", ""
"ZEC.10.5", "Na wɔbɛyɛ dɛ akatakyi a wotsiatsia abrɔn mu dɛtse do wɔ ɔko no mu; na wɔbɔko osiandɛ EWURADZE nye hɔn wɔ hɔ; na hɔn a wɔtse pɔnkɔ do no enyim bogu ase.", ""
"ZEC.10.6", "Na mebɛhyɛ Juda fi dzen, na magye Josef fi nkwa, na medze hɔn asan aba, na mehu hɔn mbɔbɔr; na wɔbɛyɛ dɛ gyama manntow hɔn annkyen: na emi nye EWURADZE hɔn Nyankopɔn, na mibetsie hɔn.", ""
"ZEC.10.7", "Na Efraim bɛyɛ dɛ ɔkatakyi, na hɔn akoma edzi ehurusi dɛ gyama nsa ntsi a: ɛhɛɛ, hɔn mba bohu, na woedzi ehurusi; hɔn akoma enyi bɛgye EWURADZE mu.", ""
"ZEC.10.8", "Mobɔbɔ nhwiroma afrɛ hɔn, na maboa hɔn ano; osiandɛ mapon hɔn: na wɔbɔdɔr dɛ mbrɛ wɔadɔr yi.", ""
"ZEC.10.9", "Na mubodua hɔn amanaman mu; na wɔbɛkaa me wɔ ekyirekyir nkurow mu: na wɔnye hɔn mba benya nkwa, na wɔasan aba.", ""
"ZEC.10.10", "Medze hɔn befi Egypt asaase so do aba bio, na maboa hɔn ano efi Asiria; na medze hɔn bɛba Gilead na Lebanon asaase do; na wonnkenya kwan ama hɔn mpo.", ""
"ZEC.10.11", "Na wobodua ahohia po no mu, na ɔabobɔ po asorɛkye no, na Nael mu ebun nyina awewew: na Asiria no nkontompɔ no abrɛ adze, na Egypt ahempoma no eefi hɔ akɔ.", ""
"ZEC.10.12", "Na mebɛhyɛ hɔn dzen wɔ EWURADZE mu; na wɔbɛnantsew afow esian wɔ EWURADZE dzin mu.", ""
