"1CH.21.1", "Na Satan soɛree tsiaa Israel, na onuu David mu dɛ ɔnkɛkan Israel.", ""
"1CH.21.2", "Na David see Joab na ɔman no mu asafohemfo no dɛ, Hom nkɔ nkɛkan Israel mfi Beer-seba araa nkodu Dan na hom mbɛka nkyerɛ me, ma munhu hɔn dodow.", ""
"1CH.21.3", "Na Joab see dɛ, EWURADZE nyɛ ne man dɛ mbrɛ wɔtse yi mpɛn ɔha so nka ho: na, mo wura ɔhen, ana hɔn nyinara nnyɛ mo wura no nkowaa bi a? Ɔyɛ dɛn ntsi na mo wura rohwehwɛ dɛm adze yi? Ɔyɛ dɛn ntsi na iyi bɛyɛ asodzi ama Israel yi?", ""
"1CH.21.4", "Naaso nna otwar dɛ Joab yɛ dza ɔhen no ahyɛ no no. Dɛm ntsi Joab fii edzi na osii mu kekyinii faa Israel nyinara mu, na ɔbaa Jerusalɛm.", ""
"1CH.21.5", "Na Joab dze ɔman no hɔn anobu no dodow no brɛɛ David. Na hɔn a wofi Israel mu nyinara wɔyɛ ɔpepe na mbarimba a wɔkɔ akono so mpem ɔha: na Juda yɛ mbarimba mpemahaanan eduosuon a wɔkɔ akono.", ""
"1CH.21.6", "Na Levi na Benjamin dze, ɔannkan hɔn ammfora: osiandɛ nna ɔhen n'asɛm no yɛ Joab tan.", ""
"1CH.21.7", "Na Nyankopɔn ammpɛ dza David yɛe no; dɛm ntsi ɔbɔɔ Israel.", ""
"1CH.21.8", "Na David see Nyankopɔn dɛ, Mayɛ bɔn kɛsenara, dɛ mayɛ dɛm adze yi: na afei, meserɛ wo, yi w'akowaa no bɔn kɔ; na mayɛ nkwaseadze dodow.", ""
"1CH.21.9", "Na EWURADZE kaa kyerɛɛ Gad, David n'adzehunyi no, dɛ,", ""
"1CH.21.10", "Kɔ na kɛka kyerɛ David dɛ, Mbrɛ EWURADZE se nye yi, Ndzɛmba ebiasa na medze si w'enyim; fa no mu kor, na menyɛ mma wo.", ""
"1CH.21.11", "Na Gad baa David nkyɛn, na ɔbɛsee no dɛ, Mbrɛ EWURADZE se nye yi, Fa mu dza epɛ;", ""
"1CH.21.12", "dɛ mfe ebiasa ɔkɔm; anaa abosoom ebiasa a wɔbɛsɛɛ wo wɔ w'atamfo enyim aber a w'atamfo afona roto wo; anaaso EWURADZE n'afona, mekyerɛ asaase no do nyimpa ɔyardɔm, ndaansa a EWURADZE no bɔfoe dze bɛsɛɛ nyimpa wɔ Israel mbew nyinara do. Afei hwɛ mbuae kor ma memfa nsan nkɛma nyia ɔsomaa me no.", ""
"1CH.21.13", "Na David see Gad dɛ, Mo ho akyer me papaara: afei ma monhwe EWURADZE nsamu; na n'adɔyɛ dɔɔ so dodow: na mma monnhwe ɔdasanyi nsamu.", ""
"1CH.21.14", "Nna EWURADZE maa ɔyardɔm baa Israel do: na Israel mu nyimpa mpemeduosuon wuwui.", ""
"1CH.21.15", "Na Nyankopɔn somaa ɔbɔfo ma ɔkɔr Jerusalɛm dɛ ɔnkɛsɛɛ no: na aber a ɔrebɛsɛɛ no, nna EWURADZE hwɛe, na ɔsesaa n'adwen wɔ hɔn ho, na ɔsee ɔbɔfo a ɔresɛɛ no dɛ, Ayɛ yie; afei gyina wo nsa. Na EWURADZE no bɔfoe no gyinaa Jebusnyi Ornan n'ewuporowee no ho.", ""
"1CH.21.16", "Na David maa n'enyiwa do, na ohun EWURADZE no bɔfoe no dɛ ogyina asaase na ɔsor ntamu, na afona a wɔatwe kitsa ne nsamu, na ɔatsen no wɔ Jerusalɛm do. Nna David na amampanyin no a wofurafura eyitam no, dze hɔn enyim butubutuuw famu.", ""
"1CH.21.17", "Na David see Nyankopɔn dɛ, Ana nnyɛ mara na mehyɛɛ dɛ wɔnkan ɔman no? Mbom mara nye nyia ɔayɛ bɔn na ɔabɔ mbusu yi; na nguan yi dze, ebɛnadze na wɔayɛ? M'EWURADZE Nyankopɔn, meserɛ wo, ma wo nsa mbra emi, na m'egya fi do; na mma ɔmmba wo man do, ma wɔnnhaw.", ""
"1CH.21.18", "Nna EWURADZE no bɔfoe no hyɛɛ Gad dɛ ɔnkɛse David dɛ ɔmfow nkɔ nkesi afɔrmbukyia mma EWURADZE wɔ Jebusnyi Ornan n'ewuporowee ho.", ""
"1CH.21.19", "Na David fowee kɔree dɛ mbrɛ Gad n'asɛm a ɔkae no EWURADZE ne dzin mu no tse.", ""
"1CH.21.20", "Na Ornan daan noho, na ohun ɔbɔfo no; na ne mbabanyin baanan a wɔka no ho no wɔdze hɔnho sumae. Nna Ornan roporow ewifua.", ""
"1CH.21.21", "Na aber a David dur Ornan nkyɛn no, Ornan hwɛe na ohun David, na ofiir edzi fii ewuporowee ho, na ɔkotoow David na ɔdze n'enyim boom famu.", ""
"1CH.21.22", "Nna David see Ornan dɛ, Fa ewuporoweebea yi ma me, ma minsi do afɔrmbukyia memma EWURADZE: no bo a odzi no ara pɛr na fa ma me: ama woeesianka ɔyardɔm no efi ɔman no do.", ""
"1CH.21.23", "Na Ornan see David dɛ, Gye fa, na ma mo wura ɔhen nyɛ dza oye wɔ n'enyiwa do: hwɛ, mema wo anantwi a wɔdze bɔbɔ ɔhyew afɔr, na ɔporow ndadze a wɔdze bɛpaa nyena, na ewifua a wɔdze bɛyɛ edziban afɔr: medze ne nyina mema.", ""
