"1CH.22.1", "Nna David see dɛ, Iyi nye EWURADZE Nyankopɔn ne fi no, na iyi nye Israel ɔhyew afɔrmbukyia.", ""
"1CH.22.2", "Na David hyɛe ma wɔkɔboaboaa ahɔho a wɔwɔ Israel no ano; na osisii abo edwimfo dɛ wɔmpaa abo a wɔasen mfa nsi Nyankopɔn ne fi no.", ""
"1CH.22.3", "Na David siesiee dadze piigyan a wɔmfa mbɔ mbobotsenano apon ho mprɛgow, na nkrɔkrɔw no; na boran piigyan a onnyi nkerii;", ""
"1CH.22.4", "na nkyindur ndua a onnyi anobu: na Zidonfo na Traefo dze nkyindur ndua piigyan brɛɛ David.", ""
"1CH.22.5", "Na David see dɛ, Me ba Solomon yɛ abofra a ɔyɛ mberɛw, na ofi a wobesi ama EWURADZE no ɔnyɛ kɛse paara, ɔnyɛ dzin na enyimnyam wɔ asaase nyinara do: dɛm ntsi mebɛyɛ ahosiesie ama no. Nna David yɛɛ ahoboa piinara ana oruwu.", ""
"1CH.22.6", "Nna ɔfrɛɛ ne ba Solomon, na ɔhyɛɛ no dɛ onsi ofi mma EWURADZE, Israel Nyankopɔn no.", ""
"1CH.22.7", "Na David see ne ba Solomon dɛ, Emi dze, ɔwɔ m'akoma mu dɛ nkyɛ mibesi ofi ama EWURADZE me Nyankopɔn ne dzin.", "#2 Sam 7.1-16; 1 Mbe 17.1-14"
"1CH.22.8", "Na EWURADZE n'asɛm baa mo hɔ dɛ, Ɔwo aka bɔgya egu dodow, na edzi ako akɛse: mma ɔwo nnsi ofi mma me dzin, osiandɛ ɔwo aka bɔgya pii egu famu wɔ m'enyim:", ""
"1CH.22.9", "hwɛ, wɔbɔwo ɔbarimba ama wo, ɔno na ɔbɛyɛ ahomgye nyimpa; na mebɛma no ahomgye efi n'atamfo nyinara ho ehyia: na wɔbɛfrɛ ne dzin Solomon, na medze asomdwee na kommyɛ mebɛma Israel wɔ ne nda mu:", ""
"1CH.22.10", "ɔno na obesi ofi ama me dzin; na ɔbɛyɛ me ɔba, na emi so mayɛ no egya; na mebɛma n'ahendzi egua no etsim wɔ Israel do daa.", ""
"1CH.22.11", "Afei, me ba, EWURADZE ndzi w'ekyir; na yɛ prɔmprɔm, na si EWURADZE wo Nyankopɔn ne fi no, dɛ mbrɛ ɔaka wɔ wo ho no.", ""
"1CH.22.12", "Adwenmutsewee na ntseasee ara na EWURADZE mfa mma wo, na ɔnhyɛ wo Israel ho mbra; ma ɔnam dɛm do eedzi EWURADZE wo Nyankopɔn ne mbra do.", ""
"1CH.22.13", "Ɔno na ebɛyɛ prɔmprɔm, sɛ idzi ahyɛdze na mbra a EWURADZE dze hyɛɛ Moses wɔ Israel ho no do a: hyɛ dzen, na nya akokodur; mma nnsuro, eso mma wo w'akoma nntu.", "#Jas 1.6-9"
"1CH.22.14", "Afei, hwɛ, m'ahohia mu na mesiesie EWURADZE ne fi ho sika  talent   mpemɔha, na dwetɛ  talent   ɔpepem; na boran na dadze a wonnyi nkerii; na ɔdɔɔ so piigyan: ndua na abo so mesiesie; na ɔwoara edze bi aaka ho.", ""
"1CH.22.15", "Nkyii so edwimfo piigyan wɔ wo nkyɛn, abopaafo na abo na ndua edwimfo, na nkorɔfo a wɔawea edwuma nyinara ho nyinara;", ""
"1CH.22.16", "sika, dwetɛ, boran, na dadze no, wonnkotum kan; soɛr na yɛ, na EWURADZE ndzi w'ekyir.", ""
"1CH.22.17", "David hyɛɛ Israel asafohen no so dɛ wɔmboa ne ba Solomon, dɛ,", ""
"1CH.22.18", "Aso nnyɛ EWURADZE hom Nyankopɔn na odzi hom ekyir? Ana ɔmmaa hom ahomgye wɔ hom ho nyinara nnhyiae bi a? Osiandɛ ɔdze asaase no do atsefo no ahyɛ me nsa; na wɔabrɛ asaase no adze wɔ EWURADZE na ne man enyim.", ""
"1CH.22.19", "Afei hom mfa hom akoma na hom adwen mma dɛ hom bɔhwehwɛ EWURADZE hom Nyankopɔn no n'ekyir kwan. Hom nsoɛr nkesi EWURADZE Nyankopɔn no krɔnkrɔnbea no, dɛ wɔdze EWURADZE n'ahyɛmudaka no, na Nyankopɔn ne ndzɛmba krɔnkrɔn bɛba ofi a wobesi ama EWURADZE ne dzin no mu.", ""
