"2CO.11.1", "Ao, nkyɛ hom eesie abotar etsie me nkwaseasɛm kakra ae! Nyew, hom nya mo ho abotar.", ""
"2CO.11.2", "Na medze Nyankopɔn ho nyinkun twe hom ho nyinkun, dɛ magye hom awar ama ɔbarimba baako, dɛ medze hom dɛ ɔbaabun krɔnn rekɛma Kraest.", ""
"2CO.11.3", "Na musuro dɛ bɛyɛ na oedua biribi do dɛ mbrɛ ɔwɔ no dze enyitsew daadaa Eve no, dɛmara so na wɔasɛɛ hom adwen efi nokwardzi nye krɔnnyɛ a hom wɔ wɔ Kraest afamu no ho.", "#Gye 3.1-5, 13"
"2CO.11.4", "Na sɛ nyia ɔba no ka Jesus fofor bi ho asɛm a yɛnnkae, anaa hom nya sunsum fofor bi a hom nnyae, anaa asɛmpa fofor bi a hom nngyee a, ɔnodze hom suo mu ntsɛm.", ""
"2CO.11.5", "Na mubu dɛ mennka asomafo etsitsir no ekyir wɔ biribiara mu.", ""
"2CO.11.6", "Kaansa meyɛ mberɛw wɔ kasa mu a, mennyɛ dɛm wɔ nyimdzee mu, na adze nyina mu yɛada iyi edzi wɔ nyimpa nyina mu wɔ hom afamu.", ""
"2CO.11.7", "Anaa bɔn na mayɛ dɛ mabrɛ moho adze ma wɔaama hom do, osiandɛ mebɛkaa hom Nyankopɔn asɛmpa no kwa?", ""
"2CO.11.8", "Mefaa asɔr binom hɔ adze dɛ akatua dɛ medze robɔsom hom;", ""
"2CO.11.9", "na mowɔ hom nkyɛn na adze hiaa me no, mannyɛ adzesoa amma obi, na dza ohiaa me no, enuanom a wofi Masidonia bae no maa me nsa kae; na adze nyina mu mohwɛɛ moho dɛ mennkɛyɛ adzesoa ama hom, na dɛmara so na mobɔhwɛ.", "#Fil 4.15-18"
"2CO.11.10", "Kraest no nokwar wɔ mo mu yi, obiara rinnsiw me kwan wɔ ahohyehyɛ yi ho wɔ Akaiaman no mu hɔ.", ""
"2CO.11.11", "Ebɛnadze ntsi a? Dɛ monndɔ hom ntsi a? Nyankopɔn na onyim.", ""
"2CO.11.12", "Na dza meyɛ no, mebɛyɛ, na maamma hɔn a wɔrohwehwɛ mo ho kwan no ennya kwan, na woeehu hɔn wɔ dza wɔdze hyehyɛ hɔnho no mu dɛ hɛnara.", ""
"2CO.11.13", "Na dɛm nyimpa no, wɔyɛ asomafo atorfo, ndaadaa dwumadzifo, wɔdandan hɔnho Kraest asomafo.", ""
"2CO.11.14", "Na ɔnnyɛ nwanwa, osiandɛ Satan mpo dan noho dɛ kan bɔfo.", ""
"2CO.11.15", "Dɛm ntsi ɔnnyɛ adze kɛse bi dɛ n'asomfo so bɛdan hɔnho dɛ tsenenee asomfo: hɔn na hɔn ewiei bɛyɛ dɛ mbrɛ hɔn ndwuma tse.", ""
"2CO.11.16", "Meka bio dɛ, Mma obi mmbu me ɔkwasea, na sɛ ɔtse dɛm mpo a, hom ngye me dɛ ɔkwasea, na mo so menhyehyɛ moho kakra.", ""
"2CO.11.17", "Dza meka no, mennka no Ewuradze tum mu, na mbom ɔtse dɛ nkwaseasɛm, wɔ ahohyehyɛ mu.", ""
"2CO.11.18", "Ɔnam dɛ piinara hyehyɛ hɔnho wɔ honam afamu ntsi, mo so mebɛhyehyɛ moho bi.", ""
"2CO.11.19", "Na hom dze enyigye gye nkwasea, hom a hom yɛ enyitseweefo.", ""
"2CO.11.20", "Sɛ obi dze hom ba nkowaasom ase, sɛ ɔmen hom, sɛ ɔfa hom, sɛ ɔma noho do, sɛ ɔbɔ hom enyi do a, hom pen do ma no.", ""
"2CO.11.21", "Meka no enyimguase mu, dɛ gyama hɛn dze yɛyɛ mberɛw, naaso dza obi dze tuw no (merekasa dɛ mbrɛ aba biara nnyi mu), mo so medze tuw.", ""
"2CO.11.22", "Wɔyɛ Hebriwfo? Mo so meyɛ bi. Wɔyɛ Israelfo? Mo so meyɛ bi. Wɔyɛ Abraham asefo? Mo so meyɛ bi.", ""
"2CO.11.23", "Wɔyɛ Kraest asomfo? Merekasa dɛ ɔbɔdamfo, meyɛ no somfo kyɛn hɔn; ndwumadzen mu a, mbordo; efiadzenda mu a, mbordo; ɔhwe mu a, ntrado; owu mu a, mpɛn pii.", ""
"2CO.11.24", "Jewfo nsamu mpɛn enum na magye mbaa eduanan a woyi do kor.", ""
"2CO.11.25", "Wɔkaa me mpire mprɛnsa, wosiiw me abo prɛko, me hɛn abɔ wɔ po do mprɛnsa, medzi bun mu adzekyee nye adzesaa;", ""
"2CO.11.26", "akwantu pii mu, esutsen mu esian, edwotwafo nsamu esian, amanyimfo nsamu esian, amanamamfo nsamu esian, kurow mu esian, wiramu esian, po mu esian, enuanom atorfo mu esian;", ""
"2CO.11.27", "edwumayɛ nye ɔberɛ, epesi pii mu, ɔkɔm nye nsukɔm mu, akɔnkyen pii mu, awɔw nye adagyaw mu.", ""
"2CO.11.28", "Iyinom nyina da nkyɛn a, dza ɔhyɛ mo do daa daa nye asɔrasɔr no nyina ho kɔdaannda.", ""
"2CO.11.29", "Woana na ɔyɛ mberɛw na mennyɛ bi? Woana na wɔato no fintsidua na ɔnnhyehye me?", ""
"2CO.11.30", "Sɛ ɔsɛ dɛ mehyehyɛ moho a, dza medze bɛhyehyɛ moho nye dza ɔkyerɛ me mberɛwyɛ.", ""
"2CO.11.31", "Hɛn Ewuradze Jesus ne Nyankopɔn nye n'Egya a wohyira no afebɔɔ no, nyim dɛ minndzi ator.", ""
"2CO.11.32", "Damaskɔs, ɔhen Aretas n'ambrado weɔɔn Damaskɔsfo kurow no dɛ ɔrepɛ me akyer me;", "#Ndwu 9.23-25"
"2CO.11.33", "na wɔdze me too birefi mu duaa tokura mu gyaagyaa me ban ho sii famu, na mifii ne nsa.", ""
