"2KI.23.1", "Na ɔhen no somae ma wokehyiaa Juda na Jerusalɛm amampanyin no nyinara ma wɔbaa ne nkyɛn.", ""
"2KI.23.2", "Na ɔhen no sii mu kɔr EWURADZE fie, na Juda mbarimba nyinara na Jerusalɛm atsefo nyinara ka no ho, na asɔfo no, na nkɔnhyɛfo no, na ɔman no nyinara, nkakraba na akɛse nyina: na ɔkenkaan ahyɛmu nwoma no a wohun no wɔ EWURADZE fie no no mu nsɛm no nyinara guu hɔn asomu.", ""
"2KI.23.3", "Na ɔhen no kegyinaa dum no ho, na odzii ahyɛmu wɔ EWURADZE enyim, dɛ ɔdze n'akoma nyinara, na ne kra nyinara, bedzi EWURADZE ekyir, na oedzi ne mbransɛm, na ne dasee, na n'ahyɛdze do, dɛ ɔbɛma ahyɛmu yi no mu nsɛm a wɔakyerɛw no wɔ nwoma yi mu no etsim: na ɔman no nyinara gyinaa ahyɛmu no do.", ""
"2KI.23.4", "Na ɔhen no hyɛɛ ɔsɔfopanyin Hilkia, na asɔfo a wodzi do no, na abowanoahwɛfo no, dɛ wonyiyi ndzɛmba nyinara a wɔyɛe maa Baal, na Asera, na wimu ndzɛmba nyinara, mfi EWURADZE n'asɔrfi no mu mpue: na ɔkɛhyeew no Jerusalɛm ekyir wɔ Kidron ho haban mu, na ɔfaa no ho nso no kɔr Bɛtɛl.", ""
"2KI.23.5", "Na otutuu asɔfo huhuw no a Juda ahemfo hyehyɛe a wɔhyew eduhuam wɔ Juda nkurow mu, mbea sorɔnsorɔm do, na mbeambea a abɔ Jerusalɛm ho aprɔw no fii do; hɔn so a wɔhyew eduhuam ma Baal, na ewia, na bosoom, na nworaba mu ekunyin, na wimu ndzɛmba no nyinara.", ""
"2KI.23.6", "Na oyii Asera no fii EWURADZE ne fie, Jerusalɛm ekyir, kɔr ɔwora Kidron ho, na ɔhyeew no wɔ ɔwora Kidron ho, na osiiw no nketsenketse dɛ huntuma, na ɔkɔtoow no huntuma guu nkorɔfo mba adakamona do.", ""
"2KI.23.7", "Na obubuu ndwamandan a ɔwɔ EWURADZE fie no, beebi mbrɛ mbaa no ween nsensɛnho maa Asera no.", ""
"2KI.23.8", "Na ɔdze asɔfo no nyinara fi Juda nkurow no mu bae, na oguu mbea sorɔnsorɔm mbrɛ asɔfo no hyeew hɔ eduhuam no ho fi, fi Geba kodu Beer-seba; na odwuruuw nkuropon ano mbea sorɔnsorɔm a ɔwɔ kurow no mu ambrado Josua no kuropon ahɛnee mu a ɔwɔ nyimpa n'abankum afamu mber a ɔrehɛn kurow no no kuropon no mu no.", ""
"2KI.23.9", "Naaso mbea sorɔnsorɔm do asɔfo no wɔammfow ammba EWURADZE n'afɔrmbukyia no do wɔ Jerusalɛm, mbom wodzii epitsi no bi wɔ hɔn nuanom mu.", ""
"2KI.23.10", "Na oguu Tofet a ɔwɔ Hinommba ɔbɔn no mu no ho fi, ama nyimpa bi aannhyew ne babanyin anaa ne babaa ammbɔ afɔr amma Molek bio.", ""
"2KI.23.11", "Na ɔfaa mpɔnkɔ a Juda ahemfo dze esisi hɔ ama ewia no, wɔ EWURADZE ne fi ahɛnee no, ɔdze kɔ opianyi Natan-melek ne dan a ɔwɔ asɔrdan no nkyɛn no ho; na ɔdze gya hyeew ewia ne ntseaseanam no.", ""
"2KI.23.12", "Na afɔrmbukyia a ɔwɔ Ahaz abansor dan etsifi a Juda ahemfo yɛe, na afɔrmbukyia a Manaasɛ yɛe no wɔ EWURADZE ne fie aban paado ebien no do no, ɔhen no dwuruuw no, na odwuwii fii hɔ, na ɔdze no huntuma no guu ɔwora Kidron mu.", ""
"2KI.23.13", "Na mbea sorɔnsorɔm no a ɔwɔ Jerusalɛm enyim no a ɔwɔ ɔsɛɛ bepɔw no enyimfa a Israelhen Solomon sii maa Zidonfo ekyiwadze Ashtoret, na Moab ekyiwadze Kemos, na Ammonmba ekyiwadze Milcom no, ɔhen no guu ho fi.", ""
"2KI.23.14", "Na obubuu edum no mu esinesin, na otwitwaa Aserim no, na ɔdze nyimpa mbiew hyehyɛɛ hɔn ananmu.", ""
"2KI.23.15", "Nkyii so afɔrmbukyia no a ɔwɔ Bɛtɛl, na bea sorɔnsorɔm no a Nebat ne ba Jeroboam a ɔmaa Israel yɛɛ bɔn no, yɛe no, afɔrmbukyia no na bea sorɔnsorɔm no mpo so odwuruuw no; na ɔhyeew bea sorɔnsorɔm no na ɔyaam no huntuhuntu dɛ huntuma, na ɔhyeew Asera ndua no.", ""
"2KI.23.16", "Na Josia daan noho no, nna ohun asamandan a ɔwɔ bepɔw no mu no; na ɔsomae, na wɔkɛfaa mbiew no wɔ asamandan no mu bɛhyeew no wɔ afɔrmbukyia no do, na oguu ho fi, dɛ mbrɛ EWURADZE n'asɛm a Nyame nyimpa no a ɔka nsɛm yi no paa mu kae no tse.", ""
"2KI.23.17", "Nna ɔsee dɛ, Ebɛn nkaabɔdze na muhu yi? Na ekuromfo no kaa kyerɛɛ no dɛ, Nyame nyimpa no a ofi Juda bae, na ɔbɛkaa nsɛm a edze ayɛ Bɛtɛl afɔrmbukyia yi no, n'asamandan a.", ""
"2KI.23.18", "Na ɔsee dɛ, Hom mma ɔnko hɔ: mma mma nyimpa biara nnka ne mbiew. Nna wɔmaa ne mbiew, na nkɔnhyɛnyi a ofi Samaria bae no ne mbiew koo hɔ.", ""
"2KI.23.19", "Na mbea sorɔnsorɔm adan nyinara so a ɔwɔ Samaria nkurow mu a Israel ahemfo yeyɛɛ dɛ wɔdze riyi EWURADZE ebufuw no, Josia yiyii kɔree, na ɔkɛyɛɛ no dɛ mbrɛ ndzeyɛɛ a ɔyɛe no Bɛtɛl no nyinara tse.", ""
"2KI.23.20", "Na okunkum mbea sorɔnsorɔm do asɔfo no a wɔwɔ hɔ no nyinara wɔ afɔrmbukyia no do, na ɔhyeew nyimpa mbiew wɔ do; na ɔsanee baa Jerusalɛm.", ""
"2KI.23.21", "Na ɔhen no hyɛɛ ɔman no nyinara, dɛ, Hom ndzi apaho no mma hom EWURADZE Nyankopɔn, dɛ mbrɛ wɔakyerɛw no wɔ ahyɛmu nwoma yi mu no.", ""
"2KI.23.22", "Woenndzi apaho bi a ɔtse dɛm yi da fitsi atsɛmbuafo a wobuaa Israel atsɛn no nda do, na Israel ahemfo, na Juda ahemfo nda nyinara mu;", ""
"2KI.23.23", "gyedɛ ɔhen Josia n'afe a otsia duawɔtwe no mu na wodzii apaho yi maa EWURADZE wɔ Jerusalɛm.", ""
"2KI.23.24", "Nkyii so hɔn a wɔyɛ asamamfrɛfo, na abayifo, na ekum, na abosom, na ekyiwadze nyinara a wohun no wɔ Juda asaase do na Jerusalɛm no, Josia yiyii no hɔ, ama ɔaama nsɛm a wɔakyerɛw no wɔ nwoma a ɔsɔfo Hilkia kohun no wɔ EWURADZE ne fi no mu no etsim.", ""
