"2KI.6.1", "Na nkɔnhyɛfo no binom see Elisha dɛ, Afei hwɛ, beebi mbrɛ yɛtse wɔ w'enyim yi ha kyer dodow ma hɛn.", ""
"2KI.6.2", "Yɛserɛ wo, ma yɛnkɔ Jordan nkyɛn, na nyimpa biara nkɛfa mpuna wɔ hɔ, na yɛnyɛ beebi wɔ hɔ a yɛbɛtsena mma hɛnho. Na obuaa dɛ, Hom nkɔ ɛ.", ""
"2KI.6.3", "Na obi see dɛ, Meserɛ wo, pen, na enye wo nkowaa nkɔ. Na obuaa dɛ, Mobɔkɔ.", ""
"2KI.6.4", "Nna ɔnye hɔn sii mu kɔree. Na aber a wodur Jordan nkyɛn no, wɔtotoow ndua.", ""
"2KI.6.5", "Na aber a ɔbaako rotow mpuna no, ekumatsir no hɔree kɔtɔɔ nsu no mu: na ɔkekaa mu see dɛ, Ewuo, mo wura! Wɔkɛfɛmee o.", ""
"2KI.6.6", "Na Nyame nyimpa no see dɛ, Ɔtɔɔ hen? Na ɔkyerɛɛ no fakor no. Na otwaa dua bi towee kyeen mu hɔ, na ɔmaa dadze no bɛtsɛɛw nsu no enyi.", ""
"2KI.6.7", "Na ɔsee dɛ, Ma do fa. Nna ɔtseen ne nsa maa do.", ""
"2KI.6.8", "Afei Siriahen no nye Israel bedzii ako; na ɔnye no nkowaa faa apam, dɛ, Dɛm na dɛm bea no do na mebɛkyer me nseraban.", ""
"2KI.6.9", "Na Nyame nyimpa no somae ma wɔkɔr Israelhen no ne nkyɛn, dɛ, Hwɛ yie ma innkotwa mu wɔ dɛm bea yi do; osiandɛ hɔ na Siriafo no risian aba.", ""
"2KI.6.10", "Na Israelhen no somae ma wɔkɔr beebi mbrɛ Nyame nyimpa no kaa kyerɛɛ no na ɔdaa noho do wɔ hɔ, ɔnnyɛ prɛko na ɔnnyɛ mprɛnu so.", ""
"2KI.6.11", "Na Siriahen no n'akoma tuu dodow wɔ asɛm yi ho; na ɔfrɛɛ no nkowaa no, na ɔsee hɔn dɛ, Ana hom nnkɛkyerɛ me hɛn mu nyia ɔwɔ Israelhen no n'afa?", ""
"2KI.6.12", "Na no nkowaa no mu baako see dɛ, Dabida, mo wura ɔhen: mbom nkɔnhyɛnyi Elisha a ɔwɔ Israel no na ɔka nsɛm a ɔwo eka no wɔ w'adankyir no no, kyerɛ Israelhen no.", ""
"2KI.6.13", "Na ɔsee dɛ, Kɔhwehwɛ mbrɛ ɔwɔ, ma monsoma ma wɔnkɛfa no mbra. Na wɔkaa kyerɛɛ no dɛ, Hwɛ, ɔwɔ Dotan.", ""
"2KI.6.14", "Dɛm ntsi ɔsomaa mpɔnkɔ, na ntseaseanam, na dɔm kɛsenara ma wɔkɔr hɔ: na wodur anadwe, na wotwaa kurow no ho hyiae.", ""
"2KI.6.15", "Na aber a Nyame nyimpa no n'akowaa no soɛɛr ahanamakye na opuei no, hwɛ, dɔm nye mpɔnkɔ na ntseaseanam abɔ kurow no ho aprɔw. Na n'akowaa no see no dɛ, Ao, mo wura, na yɛbɛyɛ dɛn?", ""
"2KI.6.16", "Na obuaa dɛ, Mma nnsuro: osiandɛ hɔn a wɔka hɛn ho wɔdɔɔ so sen hɔn a wɔka hɔn ho no.", ""
"2KI.6.17", "Na Elisha bɔɔ mpaa see dɛ, EWURADZE, meserɛ wo, bue n'enyiwa ma onhu. Na EWURADZE buee aberantsɛ no n'enyiwa; na ohunii: na, hwɛ, ogya mpɔnkɔ na ntseaseanam ayɛ mbepɔw no do ma abɔ Elisha ho aprɔw.", ""
"2KI.6.18", "Na aber a Siriafo no sianee baa ne nkyɛn no, Elisha bɔɔ mpaa maa EWURADZE, see dɛ, Meserɛ wo, fa enyifura bɔ nkorɔfo yi. Na ɔdze enyifura bɔɔ hɔn dɛ mbrɛ Elisha n'asɛm no tse.", ""
"2KI.6.19", "Na Elisha see hɔn dɛ, Nnyɛ ɔkwan no bi nye yi, nkyii so nnyɛ kurow no bi nye yi: hom ndzi m'ekyir, na memfa hom nkɔ ɔbarimba no a hom rohwehwɛ no no nkyɛn. Na ɔdze hɔn kɔr Samaria.", ""
"2KI.6.20", "Na ɔbaa dɛ, aber a wodur Samaria no, nna Elisha see dɛ, EWURADZE, bue nyimpa yi hɔn enyiwa, ma wonhu. Na EWURADZE buee hɔn enyiwa na wohunii; na, hwɛ, wɔwɔ Samaria finimfin.", ""
"2KI.6.21", "Na aber a Israelhen no hun hɔn no, ɔsee Elisha dɛ, M'egya, ana munku hɔn? Ana munku hɔn?", ""
"2KI.6.22", "Na obuaa dɛ, Mma nnku hɔn: ana epɛ dɛ iku hɔn a edze w'afona na w'egyen afa hɔn ndɔmmum a? Fa edziban na nsu sisi hɔn enyim, ma wondzi na wɔnnom, na wɔnkɔ hɔn wura nkyɛn.", ""
"2KI.6.23", "Na ɔtoo pon kɛse maa hɔn: na aber a wodzidzii na wɔnomee no, ogyaa hɔn kwan, na wosii mu kɔr hɔn wura nkyɛn. Na Siria ekuwekuw no ammba Israel asaase no do bio.", ""
"2KI.6.24", "Na ɔbaa dɛ iyi n'ekyir, Siriahen Ben-hadad boaa no dɔm nyinara ano, na osii mu kɔree kotuaa Samaria.", ""
"2KI.6.25", "Na ɔkɔm kɛse sii Samaria: na, hwɛ, wotuaa no araa ma ɔdze kodur dɛ wɔtɔɔn asoasopɔnkɔ ne tsir gyee ndwetɛbona eduowɔtwe, na aborɔnoma egyanan  ebupɛn anan mu kor gyee ndwetɛbona enum.", "#6.25 ABORƆNOMA EGYANAN: Iyi yɛ eduadzewa bi a no su tse dɛ anwew."
"2KI.6.26", "Na aber a Israelhen no rutwa mu wɔ fasu no do no, ɔbaa bi tseaa mu frɛɛ no, dɛ, Mo wura ɔhen e, boa me.", ""
"2KI.6.27", "Na ɔsee dɛ, Sɛ EWURADZE ammboa wo a, mibefi hen maboa wo? Ewuporowee no mu, anaa nsatwer no mu a?", ""
"2KI.6.28", "Na ɔhen no see no dɛ, Ebɛnadze na ɔyɛ wo? Na obuaa dɛ, Ɔbaa yi see me dɛ, Fa wo ba bra ma yenku no ndzi no ndɛ, na yeedzi mo so me ba ɔkyena.", ""
"2KI.6.29", "Nna yɛnoaa me ba no dzii: na n'adzekyee mesee no dɛ, Fa wo ba bra ma yendzi a: ɔno ɔdze ne ba esuma.", ""
"2KI.6.30", "Na ɔbaa dɛ, aber a ɔhen no tsee ɔbaa no ne nsɛm no, na ɔtsetseew ne ntar mu; (afei nna orutwa mu wɔ fasu no do;) na nkorɔfo no hwɛe, na, hwɛ, ofura eyitam kata no honam enyi.", ""
"2KI.6.31", "Nna ɔsee dɛ, Nyame nyɛ me dɛm, na bi so nka ho, sɛ mennyi Safat ne ba Elisha emmfi atseasefo mu ndɛ da yi a.", ""
"2KI.6.32", "Nna Elisha dze ɔtse ne fie, na mpanyimfo no tsetse ne nkyɛn; na ɔhen no somaa nyimpa bi dzii n'enyim: na ansaana ɔbɔfo no rudu ne nkyɛn no, ɔnoara see mpanyimfo no dɛ, Ana hom ehu dɛ owudzifo ne ba yi asoma dɛ wombotwa me tsir wɔ do? Hom nhwɛ, sɛ ɔbɔfo no ba a, hom ntow abow no mu, na wompia no nkɔ abowano: ana nnyɛ no wura n'ananadze tsim tsim na odzi n'ekyir no a?", ""
"2KI.6.33", "Na aber a ɔda ho nye hɔn rekasa no, hwɛ, ɔbɔfo no sianee baa ne nkyɛn: na ɔsee dɛ, Hwɛ, mbusu yi fir EWURADZE hɔ; ɔyɛ dɛn ntsi na mobɔtweɔn EWURADZE bio?", ""
