"MAL.2.1", "Na afei, hom asɔfo so, mbrasɛm yi homdze a.", ""
"MAL.2.2", "Sɛ hom enntsie, na sɛ hom ammfa annto akoma mu, dɛ hom dze enyimnyam bɛma me dzin a, dɔm EWURADZE na ɔse, ɔnodze, mobɔsoma ndom aba hom do, na madom hom nhyira: nyew, madom hom dada, osiandɛ hom mmfa m’asɛm nnto hom akoma mu.", ""
"MAL.2.3", "Hwɛ, mubotwuw hom asefo no enyim wɔ hom ntsi, na matow egyanan apetse hom enyim, mekyerɛ hom kum afɔr egyanan no; na wɔbɛsesaw hom aka ho akɔ.", ""
"MAL.2.4", "Na hom bohu dɛ emi na masoma mbrasɛm yi abrɛ hom, ama m’ahyɛmu aako Levi nkyɛn, dɔm EWURADZE na ɔse.", "#Nka 3.11-13"
"MAL.2.5", "M’ahyɛmu a menye no dzii no yɛ nkwa na asomdwee; na medze maa no ama oeesuro, na ampa osuroo me, na me dzin ho yɛɛ no hu.", "#Nka 25.12"
"MAL.2.6", "Nokwar mbra no daa n’anomu, na woennhu ɔbrakyewsɛm biara wɔ n’anomu; ɔnye me nantseew asomdwee na tɔɔtsenyɛ mu, na ɔdaan dodowara fii emumuyɛ ho.", ""
"MAL.2.7", "Na otwar dɛ ɔsɔfo n’ano sie nyimdzee, odzi mbra do, na ɔyɛ nhwɛdo pa ma afofor: osiandɛ ɔno nye dɔm EWURADZE no bɔfoe.", ""
"MAL.2.8", "Naaso hom aman efi kwan no mu; hom ama dodowara efintsiw mbra no mu; hom asɛɛ Levi ahyɛmu no, dɔm EWURADZE na ɔse.", ""
"MAL.2.9", "Dɛm ntsi na mo so mama hom ayɛ enyimguasefo na nkɔhweaban wɔ aman nyina enyim, dɛ mbrɛ hom nndzi m’akwan do, na hom ahwɛ nyimpa enyim wɔ mbra no mu ara no.", ""
"MAL.2.10", "Ana nnyɛ egya kor na hɛn nyina yɛwɔ? Ana nnyɛ Nyankopɔn kor na ɔbɔɔ hɛn nyina? Ɔyɛ dɛn na hɛn mu obiara twa no nua nkontompɔ, yɛdze gu hɛn egyanom ahyɛmu ho fi yi?", ""
"MAL.2.11", "Juda etwa nkontompɔ, na wɔayɛ ekyiwadze wɔ Israel na Jerusalɛm; osiandɛ Juda ehura EWURADZE no krɔnkrɔnbea a ɔdɔ no no ho, na ɔawar anana bosom ne babaa.", ""
"MAL.2.12", "EWURADZE botwa ɔbanyin a onyim naaso ɔhyɛ da ara yɛ iyi no efi Jakob asese mu, na ɔapow n’ayɛyɛdze a ɔdze brɛ dɔm EWURADZE no.", ""
"MAL.2.13", "Na iyi so bio na hom yɛ: hom dze nyinsuwa kata EWURADZE n’afɔrmbukyia no do, osu na nkrumsi, ma dɛm ntsi ommbu ayɛyɛdze no bi bio, eso ɔmmfa ɔpɛ pa bi nngye no wɔ hom nsamu.", ""
"MAL.2.14", "Naaso hom ka dɛ, Ase nye dɛn? Ase nye dɛ EWURADZE ayɛ ɔwo na wo mberantsɛber mu yer no ntamu dasefo, ɔno na etwa no nkontompɔ, naaso ɔno nye wo kafo, na w’ahyɛmudzi yer.", ""
"MAL.2.15", "Ana Nyankopɔn annyɛ hom kor a no su wɔ hom mu? Ebɛnadze ntsi a? Dɛ hom bɔwo mba a wɔyɛ Nyamesurofo. Dɛm ntsi hom nhwɛ yie wɔ hom sunsum ho, na mma obiara nntwa ne mberantsɛber mu yer nkontompɔ.", ""
"MAL.2.16", "Na emi mikyir awargu, EWURADZE, Israel Nyankopɔn no, na ɔse, na nyia ɔdze emimdzi kata n’atar do, dɔm EWURADZE na ɔse: dɛm ntsi hom nhwɛ yie wɔ hom sunsum ho, amma hom eenntwa nkontompɔ.", ""
"MAL.2.17", "Hom dze hom nsɛm ama EWURADZE aberɛ. Naaso hom bisa dɛ, Ebɛnadze mu na yɛama ɔaberɛ? Dɛ hom ka dɛ, Obiara a ɔyɛ bɔn no, oye wɔ EWURADZE enyim, na hɔn ho yɛ no enyigye. Na hom bisa so dɛ, Atsɛmbu Nyankopɔn no, ɔwɔ hen?", ""
