"1CO.7.1", "Na dza ɔfa nsɛm a hom kyerɛwee brɛɛ me dɛ, Oye ma ɔbanyin dɛ ɔmmfa noho nnka ɔbaa no ho dze,", ""
"1CO.7.2", "nkyɛ oye naaso ndwamanyɛ ntsi, hom mma ɔbanyin biara nnya nankasa ne yer, na ɔbaa biara nnya nankasa no kun.", ""
"1CO.7.3", "Wɔmma okun no nyɛ n’asɛdze mma ɔyer no dɛ mbrɛ ɔsɛ, na ɔyer no so nnyɛ dza ɔsɛ dɛmara so mma okun no.", ""
"1CO.7.4", "Ɔyer no nnyi nankasa ne nyimpadua do tum, na mbom okun no a, na dɛmara so na okun no nnyi nankasa ne nyimpadua do tum, na mbom ɔyer no a.", ""
"1CO.7.5", "Mma hom mmfa homho nnkam homho, gyedɛ hom yɛ anokor wɔ mber bi, ama hom eenya asɔr no ho adagyer, na hom aasan ebehyia mu bio, amma hom ho a hom nntum nnsie ntsi, Satan aannsɔ hom annhwɛ.", ""
"1CO.7.6", "Na iyi meka no ɔkwanma afamu, na nnyɛ nhyɛdo bi a.", ""
"1CO.7.7", "Na mepɛ dɛ nkyɛ nyimpa nyina yɛ dɛ mbrɛ metse yi; naaso obiara wɔ n’adom akyɛdze fi Nyankopɔn hɔ: obi wɔ no dɛm, obi so wɔ no dɛm.", ""
"1CO.7.8", "Na meka kyerɛ esigyafo nye ekunafo dɛ, Oye ma hɔn dɛ wɔtsena hɔ dɛ emi.", ""
"1CO.7.9", "Na sɛ wonnyi ahohyɛdo a, wɔnwar: na awar ye kyɛn dɛ ibenya akɔndɔ bɔn.", ""
"1CO.7.10", "Na awarfo dze, mehyɛ hɔn, nnyɛ emi a, na mbom Ewuradze a, dɛ mma ɔbaa nngyaa no kun,", "#Mat 5.32; 19.9; Mar 10.11, 12; Luk 16.18"
"1CO.7.11", "(na sɛ ogyaa no a, ondzi sigyaw; annyɛ dɛm a, ɔnye no kun nkɔbɔ mu); na mma okun so nngyaa ne yer.", ""
"1CO.7.12", "Na nkaa no dze, emi na meka, na nnyɛ Ewuradze a, dɛ, Sɛ onua bi wɔ yer a ɔnnyɛ gyedzinyi, na sɛ ɔbaa no pen dɛ ɔnye no tsena a, mma ɔnngyaa no.", ""
"1CO.7.13", "Na ɔbaa so a ɔwɔ kun a ɔnngye nndzi no, na sɛ okun no pen dɛ ɔnye no tsena a, mma ɔnngyaa no.", ""
"1CO.7.14", "Na okun a ɔnngye nndzi no ho tsew ɔyer no mu, na ɔyer a ɔnngye nndzi no ho tsew okun no mu: ɔnntse dɛm a, nna hom mba ho wɔ fi, na afei dze hɔn ho tsew.", ""
"1CO.7.15", "Na sɛ nyia ɔnngye nndzi pɛ dɛ ogyaa kɔ a, ma ongyaa; onua kor no, anaa akyerɛbaa kor no wɔnnkyekyer no wɔ dɛm asɛm yi mu: na asomdwee mu na Nyankopɔn afrɛ hɛn.", ""
"1CO.7.16", "Na ɔyer, bi a sɛ ebɛgye wo kun nkwa a, ana inyim? Anaaso okun, sɛ ebɛgye wo yer nkwa a, ɔwo inyim anaa?", ""
"1CO.7.17", "Dɛ mbrɛ Ewuradze akyekyɛ ama obiara no, dɛ mbrɛ Nyankopɔn afrɛ obiara no, dɛmara na ɔmbɔ ne bra; na mbrɛ mehyehyɛ no wɔ asɔr nyina mu nye no.", ""
"1CO.7.18", "Sɛ wɔfrɛɛ obi na ɔyɛ twatsianyi a, mma ɔnndan monomonomnyi; sɛ wɔfrɛɛ obi na ɔyɛ monomonomnyi a, mma wonntwa no twatsia.", ""
"1CO.7.19", "Twatsiatwa nnyɛ hwee, na monomonomyɛ so nnyɛ hwee, na mbom Nyankopɔn ahyɛdze ne ndzido na ohia.", ""
"1CO.7.20", "Ɔfrɛ kor a wɔfrɛɛ obi wɔ mu no, wɔmma ɔntsena mu.", ""
"1CO.7.21", "Wɔfrɛɛ wo na eyɛ akowaa a, mma ɔnnyɛ wo asɛm, na sɛ ibotum enya wo fahodzi a, ɔno yɛ no dɛm.", ""
"1CO.7.22", "Na nyia wɔfrɛɛ no Ewuradze mu na ɔyɛ akowaa no, ɔyɛ Ewuradze ne dehyee; dɛmara so na ɔdehye a wɔfrɛɛ no no, ɔyɛ Kraest Jesus akowaa.", ""
"1CO.7.23", "Wɔdze bo tɔɔ hom: mma hom nnyɛ nyimpa nkowaa.", ""
"1CO.7.24", "Enuanom, biribiara a wɔafrɛ obi wɔ mu no, ɔnoara mu na ɔnye Nyankopɔn ntsena.", ""
"1CO.7.25", "Na hɔn a wɔnnwaree ho dze, minnyi Ewuradze hɔ ahyɛdze bi, na meka m’adwen dɛ nyia oenya Ewuradze hɔ ehumbɔbɔr dɛ ondzi nokwar.", ""
"1CO.7.26", "Na dza mususu dɛ oye nye dɛ sesei ahohia yi ntsi oye ma nyimpa dɛ ɔtsena hɔ dɛmara.", ""
"1CO.7.27", "Edze wo ho abata ɔyer ho anaa? Mma nnhwehwɛ dɛ ebɛsan. Ɔyer bi mmbata wo ho anaa? Mma nnhwehwɛ ɔyer.", ""
"1CO.7.28", "Na sɛ awar mpo a, ennyɛ bɔn, na sɛ ɔbaabun war a, ɔnnyɛ bɔn; naaso dɛm nkorɔfo no benya ɔhaw wɔ honam mu, na emi dze, mepɛ dɛ nkyɛ motwe hom fi ɔhaw no ho.", ""
"1CO.7.29", "Na iyi na meka enuanom, dɛ woetwa mber no tsia, ntsi afei hɔn a wɔwɔ yernom nyɛ dɛ wonnyi bi;", ""
"1CO.7.30", "na hɔn a wosu no nyɛ dɛ wonnsu, na hɔn a hɔn enyi agye nyɛ dɛ hɔn enyi nngye, na hɔn a wɔtɔ nyɛ dɛ wonnyi hwee,", ""
"1CO.7.31", "na hɔn a wɔdze wiadze ayɛ hɔndze, nnyɛ dɛ wɔmmfa nnyɛ nnhwee; osiandɛ wiadze no su rutwa mu.", ""
"1CO.7.32", "Na mepɛ dɛ nkyɛ hom nnkɛyɛ dadwen. Osigyanyi yɛ Ewuradze ndzɛmba ho dadwen, mbrɛ ɔbɛyɛ asɔ Ewuradze enyi;", ""
"1CO.7.33", "na ɔwarfo dze, ɔyɛ wiadze ndzɛmba ho dadwen, mbrɛ ɔbɛyɛ asɔ ne yer enyi.", ""
"1CO.7.34", "Na sorbi da ɔbaawarfo nye ɔbaabun ntamu: ɔbaa sigyanyi yɛ dadwen wɔ Ewuradze ndzɛmba ho, ama no ho aatsew wɔ nyimpadua nye sunsum so mu; na ɔbaawarfo dze, ɔyɛ dadwen wɔ wiadze ndzɛmba ho, mbrɛ ɔbɔsɔ no kun enyi.", ""
"1CO.7.35", "Homankasa hom yie ntsi na meka yi, nnyɛ dɛ merehyɛ hom, na mbom fɛw a ɔbɛyɛ, na ɔsom a hom bɔsom Ewuradze enyim dɛ biribi nnyɛ hom basabasa ntsi a.", ""
"1CO.7.36", "Na sɛ obi dwen dɛ ne ndzeyɛɛ wɔ ne baabun a ɔaso awar do mmfata, na sɛ ohia so a, wɔmma ɔnyɛ dza ɔpɛ; ɔnnyɛ bɔn, wɔmma wɔnwar.", ""
"1CO.7.37", "Na nyia ogyina n’akoma mu pintsinn, na ahohia bi nnda no do, na ɔwɔ nankasa ne pɛ do tum, na oesua n’akoma mu dɛ ɔbɛma ne baabun atsena hɔ no, ɔmmfomee.", ""
"1CO.7.38", "Dɛm ntsi nyia ɔwar n’esiwayer no yɛ no yie, na nyia ɔmmfa no mma awar no bɛyɛ yie asen no.", ""
"1CO.7.39", "Ber tsentsen a ɔbaa no kun tse ase no wɔakyekyer no, na sɛ no kun ka beebi a, nna odzi noho dɛ ɔwar obiara a ɔpɛ, mbom Ewuradze mu nko na ɔnyɛ.", ""
"1CO.7.40", "Na sɛ ɔtsena hɔ dɛmara a, iyi na ɔyɛ nhyira ma no, mbrɛ m’adwen tse nye no: na mususu dɛ mo so mowɔ Nyankopɔn Sunsum no.", ""
