"PSA.144.1", "Nhyira nka EWURADZE mo botan, Ɔno a ɔkyerɛkyerɛ me nsa na nsatseaba akodzi,", ""
"PSA.144.2", "M’adɔyɛ, na m’akoban, M’abantsentsen na me gyefo; Me kyɛm, na nyia motwer no; Ɔno a ɔbrɛ me man adze hyɛ m’ase.", ""
"PSA.144.3", "Ao EWURADZE, ɔdasanyi nye woana, na ɔwo edwen no do yi? Anaa ɔdasanyi ne ba, na ɔwo ibu no bi yi?", ""
"PSA.144.4", "Ɔdasanyi tse dɛ ehuhuw: Ne nda tse dɛ nwinwin a ɔresen.", ""
"PSA.144.5", "Ao EWURADZE, kontom wo sorsor, na si famu: Keka mbepɔw, na wobopun wusiw.", ""
"PSA.144.6", "Paapaa asenaman, na pansam hɔn; Totow w’egyen menaba na bɔ hɔn", ""
"PSA.144.7", "To wo nsa fi sor; Hwim me, na gye me fi esu akɛse mu, Fi ananaben nsamu;", ""
"PSA.144.8", "Hɔn na hɔn ano ka nsɛnhun, Na hɔn abanyimfa yɛ ator abanyimfa.", ""
"PSA.144.9", "Mobɔtow ndwom fofor ama wo, Ao, Nyankopɔn: Medze nsankutsen a no do nhoma du mobɔtow ayɛyindwom ama wo.", ""
"PSA.144.10", "Ɔwo a edze nkwagye ma ahemfo: Na egye w’akowaa David fi afona ndam ndam no ano.", ""
"PSA.144.11", "Hwim me, na gye me fi ananaben nsamu, Hɔn a hɔn ano ka nsɛnhun, Na hɔn abanyimfa yɛ ator abanyimfa.", ""
"PSA.144.12", "Ma hɛn mbabanyin hɔn mberantsɛber nyɛ dɛ atsɛndua a woenyin yie; Na hɛn mbabaa nyɛ kutuwdo abo a wɔasen no ahemfie dze no saso;", ""
"PSA.144.13", "Ma hɛn asan nyeyɛ amaama a ɔma adze horow nyinara; Ma hɛn nguan nwowo mpempem na pedu pedu wɔ hɛn haban mu;", ""
"PSA.144.14", "Ma hɛn anantwi nya apɔwmudzen; Mma wɔmmpon yafun anaa wɔnnyɛ asaa, Ma osu nkekamu biara mmba hɛn abrɔn mu;", ""
"PSA.144.15", "Esiarfo nye ɔman a wɔtse dɛm asetsena yi mu: Ampaara esiarfo nye ɔman a EWURADZE yɛ hɔn Nyankopɔn.", ""
