"PSA.35.1", "Ao EWURADZE, ɔwoara enye hɔn a wɔnye me dzi esi no nsi: Ɔwoara enye hɔn a wɔnye me ko no nko.", ""
"PSA.35.2", "Suo kyɛm na nkataenyim mu, Na soɛr gyina bɔboa me.", " #Dwom 7.12-13"
"PSA.35.3", "Twe peaa no so, na siw hɔn a wɔtaa mo do no kwan: Se me kra dɛ, Emi nye wo nkwagye.", ""
"PSA.35.4", "Ma hɔn a wɔrohwehwɛ mu wu no hɔn enyim ngu ase, na fɛr nka hɔn: Ma hɔn a wɔpɛ me bɔn no nsan hɔn ekyir na hɔn enyim ngu ase.", "#Dwom 40.14"
"PSA.35.5", "Ma wɔnyɛ dɛ ntsɛw wɔ mframa enyim, Na ma EWURADZE no bɔfoe no mbɔ hɔn ngu.", ""
"PSA.35.6", "Ma hɔn kwan mu nyɛ sum na ɔnyɛ tortor, Na ma EWURADZE no bɔfoe no ntsiw hɔn.", ""
"PSA.35.7", "Na gyan ara na woesua me efir ehuntsa wɔ mona mu; Gyan ara na woetu mona ama me kra.", "#Dwom 35.19"
"PSA.35.8", "Ma ɔsɛɛ ndwir hɔn do awora; Na ma n’efir a oesua ehuntsa no mpa hɔnara: Ma wɔnhwe ɔsɛɛ kor noara mu.", "#Dwom 9.15"
"PSA.35.9", "Nna me kra bedzi ehurusi wɔ EWURADZE mu: N’enyi bɛgye no nkwagye no mu.", ""
"PSA.35.10", "Me mbiew nyinara bɛse dɛ, Ao EWURADZE, woana na ɔnye wo sɛ? Ɔwo a egye ɔbɔbɔfo fi nyia ɔyɛ dzen dodow ma no no nsamu, Nyew, ɔbɔbɔnyi na hianyi no fi nyia ɔfa no afo no nsamu?", ""
"PSA.35.11", "Adasefo nkontompɔfo soɛr gyina; Wobisa me ndzɛmba a minnyim ho hwee.", ""
"PSA.35.12", "Wɔdze bɔn tua me papa kaw, Na wɔma me kra yɛ egyanka.", "#Dwom 38.20"
"PSA.35.13", "Naaso emi dze, wɔyaree no, mufuraa eyitam: Medze mbuadadzi haaw me kra; Na medze yaw bɔɔ mpaa dzendzenndzen.", "#Rom 12.15; Job 31.29"
"PSA.35.14", "Meyɛɛ m’adze dɛ gyama ɔyɛ me nyɛnko bi anaa mo nua bi: Mobɔɔ mo mu adze dzii awerɛhow dɛ obi a origyam ne na.", ""
"PSA.35.15", "Naaso emi dze mokɔr ahokyer mu no, hɔn enyi gyee, na wɔkaa hɔnho boaa ano: Akwasampafo no kaa hɔn ho boaa ano tsiaa me a nna minnyim; Tsetsew ara na wɔtsetseew me, na woenngyaa:", ""
"PSA.35.16", "Wɔtse dɛ aponto ho daadaa atwetwesifo, Wɔtwɛɛr hɔn se guu mo do.", "#Job 16.9"
"PSA.35.17", "EWURADZE, ebɔhwɛ ara ma ekodu dabɛn? Gye me kra fi hɔn nsɛɛe no mu, Gye me nkwa fi dɛm ngyata yi nsamu", "#Dwom 22.20"
"PSA.35.18", "Mebɛda wo ase wɔ mboanofo kɛse no mu: Mibeyi wo ayɛw wɔ aman dodow mu.", "#Dwom 22.22"
"PSA.35.19", "Mma mma hɔn a wɔyɛ m’atamfo atorfo no nnsi me atwetwe; Nkyii so mma mma hɔn a wokyir me kwa no mmbubu me enyikyiw.", "#Dwom 25.19; 69.4"
"PSA.35.20", "Osiandɛ wɔnnka asomdwee nsɛm: Na mbom wɔdwen ndaadaasɛm tsia hɔn a wɔdwe wɔ asaase do no.", ""
"PSA.35.21", "Nyew, wɔhanhan hɔn anomu petoo wɔ mo do; Wɔse dɛ, Ɔyɛ nokwar, hɛn enyiwa hun wo.", "#Dwom 40.15"
"PSA.35.22", "EWURADZE, ɔwoara ehu, mma nnyɛ komm: EWURADZE, mma mmfi me nkyɛn nnkɔ ekyir.", ""
"PSA.35.23", "Kenyan woho, na soɛr bobua me atsɛn, Mekyerɛ me Nyankopɔn na m’EWURADZE, bedzi m’asɛm ma me.", "#Dwom 44.23"
"PSA.35.24", "EWURADZE me Nyankopɔn, bua me atsɛn dɛ mbrɛ wo tsenenee tse, Na mma mma wonnsi me atwetwe.", ""
"PSA.35.25", "Mma mma wɔnnse wɔ hɔn akoma mu dɛ, Yɛɛ, dza yɛpɛ nye yi: Mma mma wɔnnse dɛ, Yɛamen no.", ""
"PSA.35.26", "Ma hɔn a hɔn enyi gye mo mbusu ho nyina hɔn enyi nto na hɔn enyim ngu ase: Ma enyito na fɛr mfura hɔn a wodzi mo do ekokrokosɛm no.", "#Dwom 35.4"
"PSA.35.27", "Ma hɔn a hɔn enyi sɔ me tsenenee mbɔ ose, na wondzi ehurusi: Nyew, ma wɔnse daa dɛ, Wɔntonton EWURADZE, Ɔno a n’enyi sɔ n’akowaa no prɔmprɔmyɛ.", "#Dwom 40.16"
"PSA.35.28", "Na me tɛkyerɛma bɛkasa wɔ wo tsenenee, Na w’ayɛyi ho adzekyee tsentsen nyinara.", ""
