"PSA.32.1", "Osiarfo nye nyia wɔdze ne mbrato akyɛ no, na wɔakata no bɔn do.", "#Rom 4.6-9"
"PSA.32.2", "Osiarfo nye nyimpa a EWURADZE mmbu emumuyɛ nngu no do, Na ndaadaa nnyi no sunsum mu.", ""
"PSA.32.3", "Aber a mekataa mo bɔn do no, me mbiew gurae Ɔnam m'apempen a midzii no adzekyee nyinara no ntsi.", "#Dwom 31.11; 51.8"
"PSA.32.4", "Osiandɛ adzekyee na adzesaa wo nsa yɛɛ dur wɔ mo do: Mo fɔɔfɔɔyɛ daan ɔpɛber kwaweeyɛ.", ""
"PSA.32.5", "Mekaa mo bɔn kyerɛɛ wo, na m'emumuyɛ no mammfa ennhuntsa: Mesee dɛ, Mebɛka me mbrato makyerɛ EWURADZE; Na ɔwo edze mo bɔn ho emumuyɛ kyɛ me.", "#Mbɛ 28.13"
"PSA.32.6", "Iyi ntsi wɔmma obiara a ɔyɛ nyamesuronyi nyi mpaa mma wo wɔ ahohiahiaber mu: Na sɛ ɔhaw pram dɛ esu akɛse a eyir a, orunndu ne nkyɛn.", ""
"PSA.32.7", "Ɔwo nye mo sumabea; ɔwo bɔkora me efi ɔfona mu: Ɔwo dze nkwagye ndwom botwa mo ho ehyia.", ""
"PSA.32.8", "Na ɔwo EWURADZE aka dɛ: Mebɛma esua na makyerɛkyerɛ wo kwan a ɔsɛ dɛ efa do: M'enyi wɔ wo do dɛ mubotu wo fo.", "#Dwom 25.12"
"PSA.32.9", "Mma hom nnyɛ dɛ pɔnkɔ, anaa asoasopɔnkɔ a wonnyi ntseasee: Wɔdze ndabraka na no ho ahoma to hɔn anomu twe hɔn, Annyɛ dɛm a nkyɛ wɔnnkɔtwe abɛn.", "#Mbɛ 26.3"
"PSA.32.10", "Yaw pii bɛka ɔdzebɔnyɛnyi: Na nyia ɔdze no werɛ hyɛ EWURADZE mu no dze, adom bɔbɔ no aprɔw.", ""
"PSA.32.11", "Hom atseneneefo, hom mma hom enyi ngye EWURADZE mu, na hom ndzi ehurusi: Na akomamutseweefo nyina hom mbɔ ose wɔ enyigye ntsi.", "#Dwom 33"
