"PSA.50.1", "Otumfo Nyankopɔn, mekyerɛ Nyankopɔn, EWURADZE no, akasa, Na ɔafrɛ asaase fi wipuei ekodu n’atɔree.", ""
"PSA.50.2", "Zion, ahoɔfɛw a ewie pɛyɛ no mu, Nna Nyankopɔn efi ahyerɛn.", ""
"PSA.50.3", "Hɛn Nyankopɔn reba, na ɔrennyɛ komm: Ogya bedzi n’enyim ahyew adze, Na ehum etu huu etwa no ho ehyia.", ""
"PSA.50.4", "Ɔbɛfrɛ ɔsorsor wɔ sor, Na asaase, dɛ orubobu ne man atsɛn:", ""
"PSA.50.5", "Hom mboaboa m’ahotseweefo no ano mma me; Hɔn a wɔnam afɔrbɔ do nye me edzi ahyɛmu no.", ""
"PSA.50.6", "Na ɔsorsor ka ne tsenenee kyerɛ; Dɛ Nyankopɔn noara na ɔyɛ tsɛmbuafo.", ""
"PSA.50.7", "Mo nkorɔfo, hom ntsie, na merebɛkasa; Israel e, tsie, na miribedzi wo dase: Emi nye Nyankopɔn, mekyerɛ wo Nyankopɔn no.", ""
"PSA.50.8", "Murunntwuw w’enyim wɔ wo kum afɔr ntsi, Eso wo hyew afɔr a ɔwɔ m’enyim daa no ntsi.", ""
"PSA.50.9", "Meremmfa wo fie ɔnantwisaa, Eso wo nguamban mu mpɔnkyenyin.", ""
"PSA.50.10", "Na kwaa mu mbowa nyina yɛ medze, Na mbepɔw pem do mbowa so.", ""
"PSA.50.11", "Minyim mbepɔw do ntumbowa nyinara: Na wiramu mbowadoma nyina so medze a.", ""
"PSA.50.12", "Sɛ ɔkɔm dze me a, merennka nnkyerɛ wo: Osiandɛ wiadze, na ne mayɛ, yɛ medze.", ""
"PSA.50.13", "Aso mibedzi anantwinyin nam, Anaa mobɔnom mpɔnkye bɔgyaa?", ""
"PSA.50.14", "Bɔ ndaase afɔr ma Nyankopɔn; Na tua w’anohobadze ma Ɔsorsornyi no:", ""
"PSA.50.15", "Na frɛ me wɔ hia da no mu; Mebɛgye wo, na ɔwo so ahyɛ me enyimnyam.", ""
"PSA.50.16", "Na ɔdzebɔnyɛnyi no dze, Nyankopɔn se no dɛ, Ebɛn tum na ewɔ dɛ eka m’ahyɛdze kyerɛ, Nna ɔwo afa m’ahyɛmu ato w’ano yi?", ""
"PSA.50.17", "Hwɛ dɛ ɔwo kor yi ara ikyir enyimtwuw, Naaso etow me nsɛm gu w’ekyir.", ""
"PSA.50.18", "Sɛ ihu owifo a, enye no fa nyɛnko, Na wo kyɛfa wɔ awartofo nkyɛn.", ""
"PSA.50.19", "Ɔwo edze w’anomu ma nsɛmbɔn, Na wo tɛkyerɛma hyehyɛ ndaadaasɛm.", ""
"PSA.50.20", "Ɔwo etsena ase na eka nsɛm dze tsia wo nua; Na idzi wankasa wo na ba ho anokum.", ""
"PSA.50.21", "Iyinom na ɔwo ayɛ, na meyɛɛ komm ntsi; Ɔwo isusuu dɛ meyɛ dɛ obi a ɔtse dɛ ɔwoara: Na mebɛka w’enyim, na mataataa no yie wɔ w’enyim.", ""
"PSA.50.22", "Afei hom ndwen iyi ho, hom a hom werɛ efir Nyankopɔn, Ma maanntsetsew hom mu esinesin a ɔgyefo bi nnyi hɔ.", ""
"PSA.50.23", "Nyia ɔbɔ ndaase afɔr no ɔhyɛ me enyimnyam; Na nyia osiesie no kwan yie no Mebɛkyerɛ no Nyankopɔn no nkwagye.", ""
