"MAT.23.1", "Nna Jesus kasaa kyerɛɛ nyimpadodow no nye n'esuafo dɛ,", ""
"MAT.23.2", "Kyerɛwfo nye Farisiifo no tse Moses egua do:", ""
"MAT.23.3", "dɛm ntsi adze nyina a wɔbɛhyɛ hom no, hom ndzi do, na hom nyɛ: mbom mma hom nnyɛ hɔn ndzeyɛɛ bi: osiandɛ hɔn dze, wɔka naaso wɔnnyɛ.", ""
"MAT.23.4", "Na wɔkyekyer ndzesoadze durdur a no soa yɛ yaw na wɔdze to nyimpa kɔn ho, na hɔn dze, wɔmmpɛ dɛ wɔdze hɔn nsatseaba mpo suo mu.", ""
"MAT.23.5", "Na hɔn ndwuma nyina wɔyɛ ama nyimpa eehu: wɔyɛ dza wɔkyerɛw nyamesɛm hyɛ mu bobɔ hɔn enyim no atɛtɛr, na woyi hɔn ntar ano ndwow akɛse,", "#Mat 6.1; Deut 6.8; Nka 15.38"
"MAT.23.6", "na wɔpɛ mpanyin tsenabea wɔ edzidzi ase, nye mpanyin ngua wɔ nhyiamudan mu", ""
"MAT.23.7", "nye gua do nkyiakyia, na dɛ nyimpa bɛfrɛ hɔn Rabae (Kyerɛkyerɛfo).", ""
"MAT.23.8", "Na hom dze, mma wɔmmfrɛ hom Rabae; na ɔbaako na ɔyɛ hom kyerɛkyerɛfo, na hom nyina yɛ enuanom.", ""
"MAT.23.9", "Na mma hom mmfrɛ obi hom egya wɔ asaase do: na ɔbaako nye hom Egya, ɔno nye nyia ɔwɔ sor no.", ""
"MAT.23.10", "Eso mma wɔmmfrɛ hom akwankyerɛfo: na ɔbaako nye hom kwankyerɛfo, ɔnye Kraest no.", ""
"MAT.23.11", "Na nyia ɔyɛ kɛse wɔ hom mu no, ɔbɛyɛ hom somfo.", "#Mat 20.26, 27; Mar 9.35; 10.43, 44; Luk 22.26"
"MAT.23.12", "Na obiara a ɔbɛma noho do no, wɔbɛbrɛ no adze, na obiara a ɔbɛbrɛ noho adze no, wɔbɛma no do.", "#Luk 14.11; 18.14"
"MAT.23.13", "Hom ndue! Akyerɛwfo nye Farisiifo, ndabrabafo! Na hom tow ɔsor ahenman mu wɔ nyimpa enyim, naaso homankasa hom nnkɔ mu, eso hɔn a wɔrokɔ mu no hom mma hɔn kwan mma wɔnnkɔ mu.", ""
"MAT.23.14", "(Hom ndue, Akyerɛwfo nye Farisiifo, ndabrabafo! Hom na hom bɔ ekunafo epoo, na hom petuw bɔ mpaa atsentsen kyerɛ: dɛm ntsi hom benya afɔdzi kɛse.)", "#23.14 Tsetse Akyerɛwfo binom mmfa nkyekyɛmu 14 yi nnka ho."
"MAT.23.15", "Hom ndue, Akyerɛwfo nye Farisiifo, ndabrabafo! Dɛ hom bɔ po ho nye asaase do aprɔw kɛyɛ nyimpa baako hom fɛkuwnyi; na sɛ ɔyɛ dɛm a, hom ma ɔyɛ amandzehu kurow mu ba mbɔho ebien kyɛn homankasa.", ""
"MAT.23.16", "Hom ndue! Enyifurafo akwankyerɛfo a hom se dɛ, Obiara a ɔbɛka asɔrfi no ntam no nnyɛ hwee; na obiara a ɔbɛka sika a ɔwɔ asɔrfi no mu no ho ntam dze, ɔda no do.", ""
"MAT.23.17", "Nkwasea nye enyifurafo! No mu dza ɔwɔ hen na ɔso, sika no anaa asɔrfi no a ɔtsew sika no ho no a?", ""
"MAT.23.18", "Na obiara a ɔbɛka afɔrmbukyia no ntam no, ɔnnyɛ hwee; na obiara a ɔbɛka ayɛyɛdze a ɔwɔ do ho ntam no, ɔda no do.", ""
"MAT.23.19", "Enyifurafo! Dza ɔwɔ hen na ɔso? Ayɛyɛdze no anaa afɔrmbukyia a ɔtsew ayɛyɛdze no ho no a.", ""
"MAT.23.20", "Dɛm ntsi nyia ɔka afɔrmbukyia no ntam no, ɔka ɔno nye dza ɔwɔ do no nyina.", ""
"MAT.23.21", "Na nyia ɔka asɔrfi ntam no, ɔka ɔno nye nyia ɔtse mu no.", ""
"MAT.23.22", "Na nyia ɔka ɔsor ntam no, ɔka Nyankopɔn n'ahengua nye nyia ɔtse do no.", "#Isa 66.1; Mat 5.34"
"MAT.23.23", "Hom ndue, Akyerɛwfo nye Farisiifo, ndabrabafo! Na hom yi eme nye nunum nye mprɛgowamba mpo ho ebupɛn du du ma, naaso hom egyaa mbra no mu dza ɔsom bo yie no a ɔyɛ atsɛmbu, ehumbɔbɔr nye gyedzi no; iyi na ɔsɛ dɛ hom yɛ, ber a hom nndan nkaa no so nngya.", "#Lev 27.30"
"MAT.23.24", "Enyifurafo akwankyerɛfo a hom sɔn ntonton do, naaso hom men efupɔnkɔ!", ""
"MAT.23.25", "Hom ndue, Akyerɛwfo nye Farisiifo, ndabrabafo! Hom twuw nkɔɔpow nye mprɛtse ekyir, naaso no mu dze, apempensi nye edzifodze ahyɛ ma.", ""
"MAT.23.26", "Farisiinyi onyifurafo, dzi kan twuw kɔɔpow nye prɛtse mu, ama n'ekyir so eefir.", ""
"MAT.23.27", "Hom ndue, Akyerɛwfo nye Farisiifo, ndabrabafo! Na hom tse dɛ nda a wɔahoa ho, na n'ekyir pue fɛfɛɛfɛw, na no mu dze efun mbiew ɔnye fi nyina ahyɛ ma.", "#Ndwu 23.3"
"MAT.23.28", "Dɛmara so naaso hom yɛ dɛ nyimpa tsenenee wɔ nyimpa enyim na hom mu dze, ndabraba nye emumuyɛ nyina ahyɛ ma.", ""
